user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
yeoe****,6WrBu,와 연설문 진정성에 감탄했다   518 정신의 민주주의를 지금의 양당에서는 찾아 볼수가 없다 극단적 혐오적 정치뿐이다  한동훈의 이런 선명하고 확장적정치를  앞으로 많은 국민이 같이 해줬으면 한다,True,1,2025-05-29T21:54:44+0900,860967516430663961,24,0,0
haru****,5mpkC,"진짜 한동훈이 대선후보였어야했다.
사기경선한 보수의 암덩어리 권성동이랑  친윤떨거지들 당장사퇴해라",True,1,2025-05-29T22:21:23+0900,860969233578721444,25,4,0
1104****,2bRNJc,여 야 통 털어 가장 정상적인 제데로된 정치인은 한동훈이 유일하다  이재명과 김문수 참담하다 다들,True,1,2025-05-30T00:02:11+0900,860975728089366583,19,2,0
soon****,dmV5D,"오직  대한민국을  구해낼 인물   천재한동훈!
한동훈을  지지합니다   한동훈화이팅 !👍",True,1,2025-05-30T00:01:51+0900,860975705859555527,19,2,0
sooy****,4mMsl,광주에서도 환영받고 인파가 모이고 사진요청이 쇄도하는 유일한 보수우파 정치인 한동훈,True,1,2025-05-29T21:42:15+0900,860966713036898423,18,1,0
sunn****,2xrqs,광주에서 환영 받는 보수 정치인 이라니 ㄷㄷㄷ진짜 한동훈이 후보였으면 이재명 이겼다. 친윤 떨거지들아 니들은 나라를 이재명한태 팔아 먹은거야 이 매국노들아 용서 안한다,True,1,2025-05-29T21:52:31+0900,860967373690110186,17,0,0
lbbs****,2dhx3s,"윤석열도 이재명도 정치권에서 영원히 사라져야 할
사람들입니다",True,1,2025-05-30T05:24:47+0900,860996510664360001,19,3,0
aria****,3fUMf,"오늘 광주 연설은 정말 최고였음. 나를 연설로 설득시키고 연설로 감동을 줄 수 있는 유일한 정치인, 한동훈 ...",True,1,2025-05-29T23:03:52+0900,860971970563408135,17,1,0
kkjj****,4LUJP,"보수를 망친 친윤떨거지들 사라져야 보수가 살수있고 중도의 지지를 받을수있습니다!!지나고 보면 한동훈이 다옳았습니다!!!
호남에서도 환영받는 보수정치인 한동훈 지지합니다!!!!",True,1,2025-05-29T20:44:07+0900,860962967875747889,17,2,0
type****,2raom,"대한민국에서, 극우 극좌들 정치권에서 퇴출시키고 보통의 국민들 보통의 하루를 보내고 대한민국의 국격과 경쟁력을 일으킬 유일한 정치인 한동훈",True,1,2025-05-29T21:39:40+0900,860966546372034842,16,1,0
tjjh****,dbq1s,한동훈이  광주에서  했던 감동적 명연설의 전문을 3번이나 읽으면서  한동훈을 더욱 응원하게 됩니다!!     국힘에 있는   악마보다 사악하고  비열한  친윤떨거지들은    이번 사기경선과   후보교체 쿠데타의 책임을   반드시 져야  할겁니다!!!!      권성동과 윤상현을  짜르지 않는 김문수는   윤석열 씨즌2  하려합니까??????    그럴거면 국힘은  차라리  망하고~  다시 재건 해야 합니다!!!,True,1,2025-05-29T21:04:55+0900,860964307419005293,16,1,1
ikk1****,2nN8Z,"역시 한동훈이네
광주를 품을 수 있는 유일한 보수 정치인",True,1,2025-05-29T21:52:48+0900,860967392749027668,15,0,0
jook****,a2E3w,이념이 아닌 국민만을 보고 가는 한동훈의 정치를 응원합니다.,True,1,2025-05-29T21:57:06+0900,860967669539536936,21,7,1
suk8****,2clk7D,광주에서 한동훈 연설은 역대급이었다 존경합니다 힘내십시오,True,1,2025-05-30T00:30:11+0900,860977531807858733,18,4,0
hyh4****,AkdM,한동훈 처럼  떳떳한사람 나와보라구  이죄명   윤거니  제발  무인도에 보내라,True,1,2025-05-29T22:39:15+0900,860970385217159244,15,1,0
firs****,iKoI,한동훈이 대선 유세에 제일 적극적이다. 나머지것들은 당권애 눈이먼것들,True,1,2025-05-29T21:31:03+0900,860965991163625497,15,1,0
seen****,3ClqB,이번 선거 포기하고 한동훈 정치에 표 던질거다,True,1,2025-05-29T21:08:15+0900,860964522653909107,15,1,0
cand****,2Ai41,한동훈은 국민이 먼저인 참된 정치인 그는 큰정치인이 되어 있다. 오늘 연설 감동적 이였습니다. 앞으로도 응원합니다,True,1,2025-05-29T20:33:20+0900,860962272644694155,15,1,0
wldm****,7nMDR,오늘 광주에서의 연설 정말 좋았습니다,True,1,2025-05-29T21:41:20+0900,860966653461004433,14,0,0
bara****,6ySvb,친윤 떨거지부터 정리하고 보수재건합시다... 큰정치 바른정치 하시는 한대표님 화이팅!!!!!,True,1,2025-05-29T20:19:22+0900,860961373402693757,14,0,0
snoh****,bsqIj,"한동훈 광주에서 사전투표,지원유세에 어마한 인파들 모였더라 차기대통령 꼭 갑시다",True,1,2025-05-29T20:08:29+0900,860960671511085234,16,3,0
kkye****,1v0HW,한동훈이였으면 이겼다고 국힘 친윤떨거지들아 니들이 무슨 짓을 했는지 봐라 혹시 이재명이 한동훈 떨구면 내란특검에서 빼준다 딜친거냐??귄성동 니찐친 이재명 위해 경선 그 꼬라지 시킴? 이재영 내린특검 명태균특검 어떻게 하는지 지켜본다,True,1,2025-05-29T22:12:58+0900,860968691305546098,14,1,0
gkfo****,cHATG,윤석렬과 이재명을 동시에 보내야 대한민국의 모든것이 제대로 돌아갑니다.,True,1,2025-05-29T21:09:08+0900,860964578706587714,14,1,0
hove****,5ayrR,국힘은 극혐이지만 한동훈은 지지합니다,True,1,2025-05-29T21:46:09+0900,860966963403292734,13,0,0
skjk****,aepfq,윤석열 이죄명 극혐 인간중 한놈 윤은 곧 감방갈거고 이죄명 치울 좋운 기회였는데 사기경선으로 한동훈님 김문수에게 후보자리 뺏김 ㅠ 무능한게 후보자리 꽤차고 존재감도 없고 이재명 당선은 확율높고 대선이후 친윤 이죄명 한동훈님과의 본격 싸움 가시밭길 저도 동합니다 보수 하면 한동훈님 뿐입니다,True,1,2025-05-29T21:52:51+0900,860967395601154402,13,1,0
jcj5****,1MP7y,"광주도 변해야 나라가 균형있게 발전합니다
중도보수 한동훈 지지합니다",True,1,2025-05-29T21:43:06+0900,860966766891761716,13,1,1
allo****,L9By,정치 리셋 진짜 절실히 필요한 때입니다. 후진 사람들에게 지배당할 수 없잖아요.  헌법84조 법관들의 직업적 양심을 기대합니다.  그리고 보수는 한동훈으로 재건해야 합니다.,True,1,2025-05-29T20:49:56+0900,860963341957333339,13,1,0
leey****,6fMHF,맞말이다  그니저나 사기경선한 쌍권지도부는 조사받고 권선동은 사퇴해라,True,1,2025-05-29T22:07:28+0900,860968337272733878,12,0,0
jsuk****,1WSEb,광주 현장에서 한동훈의 절규에 가까운 연설을 들었다 한동훈은 오직 나라걱정밖에 없는데 기득권 구태들아 니들은 천벌받아라,True,1,2025-05-29T22:28:45+0900,860969708474597613,16,5,0
cga1****,bXNjx,"정지훈기자님 감사드립니다  한동훈의 기사는 늘  진실하게 써주신  유일한 분이세요
다시한번 감사드립니다",True,1,2025-05-29T20:41:52+0900,860962822685720975,12,1,0
ch67****,cT5Pj,"이준석  쓰레기보다  한동훈이  백배 천배낮다
한동훈  지지한다",True,1,2025-05-29T20:39:42+0900,860962682394640715,12,1,3
cyj8****,15bfj,"진리다 진리. 윤, 이 둘다 퇴출되어야 하고 친윤떨거지들도 반드시 함께 퇴출되어야 나라가 정상화된다.",True,1,2025-05-29T22:04:53+0900,860968171077632400,11,0,0
tjwl****,57nfY,"썩열이 죄명이 둘다 감빵 이나 가라
진짜 정치인은 한동훈 하나밖에 없다",True,1,2025-05-29T20:47:55+0900,860963212101681506,11,0,0
onio****,401DE,맞는 말 하셨구만 ~  윤석열 갔으니 이재명도 가야지 나라가 조용하지,True,1,2025-05-29T19:58:25+0900,860960023608557727,11,0,0
magd****,341kx,한동훈 이분 정말 대단 하신 분 입니다. 국가를 위해 따님께서 2만 시간이나 봉사를 하셨습니다. 이게 주 40시간 10년간 해야지만 가능한 숫자 입니다. 따님의 나이를 대충 가늠해본다면 20대이니 10대 때부터 꾸준히 주40 시간을 대한민국을 위해 봉사를 했다는 뜻입니다. 그리고 또 하나의 능력은 잉크 산화 능력입니다. 제가 들고 있는 10년 영수증도 잉크가 선명히 남아있는데 한동훈이 대한민국 대통령 되면 외국 주요 기관과 협정에 불리한 문서들 잉크를 산화 하여 국익 증대에 도움이 될 수 있습니다.,True,1,2025-05-30T10:14:07+0900,861015151057305641,15,5,8
feel****,2cCnOJ,대한민국의  새희망  한동훈과 함께  보수를  다시 정비하여 대한민국의  등불이   되리라  확신하며  나의 아름다운  나라  한동훈과  함께  지켜지기를  소망합니다,True,1,2025-05-29T22:34:27+0900,860970075224539312,13,3,0
8672****,eAQNN,국민들은 원한다...!     너가 퇴출되기를...,True,1,2025-05-30T07:25:51+0900,861004311029612689,12,2,0
lygo****,EBTd,맞는말아닌가? 국힘에 극우 이미지 있어봤자 도움되는거 하나없다.국민의 80프로가 계엄은잘못됐고 탄핵은 잘된거라고하는데 저렇게 말하는 한동훈이 있어야 중도가 국힘에 표를 던질수있는거다. 극우들아 표 깎아먹기싫으면 아닥하고있어줄래?,True,1,2025-05-30T04:37:14+0900,860993447597703180,12,2,0
kjw8****,59tOU,가슴이 뭉클해지고 뜨거워 지네요 광주에서 기적이 일어날듯 합니다,True,1,2025-05-29T22:05:57+0900,860968239813886367,12,2,0
big2****,2oO3H,한동훈 같은 정치인은 처음 봅니다. 희망이자 등불입니다.,True,1,2025-05-29T20:39:35+0900,860962675784417540,11,1,1
kkhe****,1tUj3,광주 명연설 감동이었습니다. 이제 윤석열 이재명 구세대는 역사 속으로 흘러 보내고 새시대의 개혁자 한동훈 중심으로 탈바꿈 해야만 보수가 역동적으로 살아날 것임을 믿어 의심치 않습니다. 적극 지지 응원합니다.,True,1,2025-05-29T21:01:39+0900,860964097250820322,10,0,2
luja****,BZ8y,"한동훈 화이팅
이게 보수의 정신입니다
고군분투해서 대한민국을 정치 선전화를 이루워 주소소",True,1,2025-05-29T22:45:17+0900,860970773207056485,13,4,0
ghdv****,fhhs,합리적이고 정의로운 한동훈이야 말로 이나라에 필요한 정치인이 맞지..그러니깐 국힘출신이라도 광주한복판에서도 자신있게 연설하는거다.,True,1,2025-05-29T21:47:35+0900,860967056583950573,13,4,1
j2h1****,3lnbo,한동훈 나왔으면 ㄹㅇ 이재명 이겼다 현재 대한민국 대선 후보 포스트 붙어 있는 거 보면 너무나 수치스럽다  범죄자들이 대통령 후보인 나라 곧 범죄자가 독재 예정,True,1,2025-05-29T22:16:09+0900,860968896188907598,12,3,0
k2y7****,3uc3s,어떻게 대선 후보들 수준이 하나같이 더ㅡ럽 한동훈 후보였으면 이번 대선 승리했다 국힘 친윤 범죄자들 범죄자 이재명 당선 도우미질 착착 진행한 죄 그 죄값 받길 바란다 이재명이 봐주기 딜이라도 친듯 이재명 선대위 노릇 진심이였지,True,1,2025-05-29T22:19:56+0900,860969139945079191,11,2,0
yhap****,3EE3h,한동훈이 있어 대한민국 희망을 봅니다,True,1,2025-05-29T21:35:56+0900,860966305820311919,11,2,1
kyun****,cJpoB,윤석렬 이재명 없는 세상에서 살고싶다 한동훈 화이팅,True,1,2025-05-29T21:00:44+0900,860964037976916264,11,2,0
ryue****,EtVb,한동훈만이 어지러운 나라를 바로 잡을 수 있었는데 사기 경선으로 기회를 빼앗겼네요. 난세의 영웅을 기다리는 국민이 많으니 썩은 보수를 일으키고 좋은 나라 만드시기를 기대할게요. 인성이 곧고 공적 마인드가 강하다 보니 질투하는 인간들이 많네요.,True,1,2025-05-29T20:00:56+0900,860960185894568301,11,2,0
wmh4****,bA8wq,한동훈 응원합니다 힘내세요 👍🏻,True,1,2025-05-29T20:43:17+0900,860962913249132655,10,1,0
heey****,1REDD,친윤극우 이번 대선에 밀어내고 국민 선택받을 수 있는 유능하고 명분있는 보수로 한동훈이 재건하자,True,1,2025-05-29T23:26:23+0900,860973421356384360,9,0,0
okye****,dHEP4,한동훈이 대한민국 대통령 자격있다 응원합니다,True,1,2025-05-29T21:51:37+0900,860967315724828947,9,0,0
matk****,cZJOg,"너무 아쉽다  친윤들  수작부려서 한동훈 후보떨어트린거 후보됐으면 이번에 당선됐을텐데
친윤 니들은 천벌받을거다  곧 다가온다  나라걱정 보다는  지들 밥줄 권력 잡는데만 작당을 해서
이번에는 국민이 다보고있다 두고보자.",True,1,2025-05-29T21:24:18+0900,860965556063305841,9,0,0
ymh2****,3zUPK,"대한민국의 진정한 지도자이십니다 
존경합니다 한동훈대표님",True,1,2025-05-29T20:50:04+0900,860963351201579032,9,0,0
jano****,553uX,보수 정친인중 호남에서 환영받는 유일한 정치인,True,1,2025-05-29T20:32:45+0900,860962234728186125,9,0,0
yuri****,zxrh,윤석열도 이재명도 퇴출되는것이 시대정신이고 우리는 앞으로 나가야 하지만 그것은 또한번의 지옥을 경험한후가 될지도 모르겠네요.  보수가 망가지면 나라가 이렇게 더 힘들어집니다.  한동훈이 진짜 보수를 재건해 나쁜권력이 국가를 망치지 않도록 견제해주길 바랍니다.,True,1,2025-05-30T03:27:00+0900,860988923201978369,15,7,0
bake****,1TMVO,캬~ 멋지다 이게 진짜 정치지,True,1,2025-05-30T02:45:38+0900,860986257537237043,13,5,0
chfo****,bVsVK,국힘은 해산 너또한 퇴출,True,1,2025-05-30T08:50:03+0900,861009735556530200,11,3,2
mrsg****,esRS,다음엔 한동훈으로 해서 대한민국 리셋하자..,True,1,2025-05-29T21:27:07+0900,860965737995436082,10,2,0
dch6****,aSAUl,한동훈의 시대가 올것이다 우리 힘냅시다,True,1,2025-05-29T20:46:48+0900,860963140144202055,10,2,2
kli8****,rIKO,"전남고흥이지만 한형제빼고 다 김문수 지지함. 도저히
이재명은 안된다는게 일치함",True,1,2025-05-30T18:00:10+0900,861045176737464383,9,1,0
sjhe****,5xIHH,극우 극좌 모두 청산 지역주의 청산할 정치인 한동훈,True,1,2025-05-29T21:35:22+0900,860966269447307404,9,1,0
ooor****,2yPTg,한동훈 화이팅!!,True,1,2025-05-29T19:19:35+0900,860957521202905285,9,1,0
dldu****,5486k,한동훈 만큼만해라  나라가 좋아진다   시기질투  억까하면서  정신승리하지말고  눈깔똑바로뜨고  봐  뭐가진실인지~~  부러우면 지는겨~~  ㅉㅉㅉ,True,1,2025-05-30T06:53:40+0900,861002236963061890,8,0,0
ggal****,izro,윤석열 퇴출하려면 김문수도 퇴출해야하지 않나? 계엄 옹호하고 전광훈 추종하고 같은 뉴라이트 역사관을 가지고 있고 내란에 동조한 권성동 윤상현 나경원 전부 그 자리 그대로인데???,True,1,2025-05-30T02:46:24+0900,860986307365568545,8,0,0
sihy****,1MTFt,역시 한동훈,True,1,2025-05-29T21:53:04+0900,860967409727569940,8,0,0
myko****,2gacg,대단한 힌동훈. 추후 좌우를 아우를 정치인.,True,1,2025-05-29T21:45:38+0900,860966930268291337,8,0,0
verd****,1SKGk,기자님의 편향되지 않은 언론관을 존중합니다!,True,1,2025-05-29T21:13:16+0900,860964845682425972,8,0,0
gkfo****,cHATG,반드시 그리 되어야 대한민국이 삽니다.,True,1,2025-05-29T20:30:13+0900,860962071603314776,8,0,0
rldn****,1cZT1,"김지훈기자님, 좋은기사 감사하게 보고 있습니다. 한동훈대표의 정치는 상식적이고 합리적인 대한민국 절대다수의 일상을 살아가는 국민들이 바라는 국민의 국민에 의한,국민을 위한 정치입니다. 오늘 광주 충장로 연설에서 밝힌바대로 양극단의 적대적 공생관계로 나라와 국민들의 삶을 망친 두 빌런은 함께 과거로 보내고 이 나라가 앞으로 나기길 간절히 바랍니다. 이 중대한 역사적 전환기에 이 나라를 제대로 이끌 사람은 한동훈대표가 최적임자입니다. 한동훈이라는 천재의 놀라운 점은 모두에게 선명하고, 명쾌하게 솔루션을 제시 해왔고, 옳았다는 겁니다.",True,1,2025-05-30T01:34:24+0900,860981668800888881,12,5,0
pkk9****,cXCep,현재 대한민국을 위기에서 구해낼 사람은 한동훈밖에 없다. 인위적으로 대선후보 선출 부당행위를 한 친윤 지도부는 국민에게 석고대죄하고 당장 정계 은퇴해야 구카와 보수가 살아날수있다,True,1,2025-05-29T23:38:39+0900,860974211798139027,12,5,0
slso****,5vFBh,"한대표의 지극히 맞는 말, 대한민국의 미래는 한동훈이다.",True,1,2025-05-30T18:31:11+0900,861047174870335576,11,4,0
akog****,24hvE,보수리셋을  위한 한동훈의 정치 지지합니다.,True,1,2025-05-30T05:10:46+0900,860995607915921463,11,4,0
happ****,Udvi,윤석열 밑에서 충성 콩꼬물로. 법무부장관. 당대표 해먹은놈이 할소린아니지...,True,1,2025-05-30T14:47:02+0900,861032734317871125,10,3,0
happ****,6rayf,"완정공감
윤석열
이재명
둘다퇴출
광주도
변할거예요
한동훈파이팅",True,1,2025-05-30T11:06:22+0900,861018517372141731,9,2,1
spri****,enVa5,역시 한동훈님 같은 능력과 실력이 두루 갖춘분이 대통령이  되면 나리가 부흥할겁니다 기대합니다 응원합니다  그날이 오기를 !,True,1,2025-05-29T19:59:15+0900,860960077429866596,9,2,0
kjw1****,aTEwl,너도 나가리 싸우는거 구경하다 이제와서 지가 대단한것 처럼 떠들어대네 먹방유툽이나 열심히 해라 먹는것도 맛없게 먹더만,True,1,2025-05-30T12:36:36+0900,861024330593599760,8,1,0
hoho****,cJzcV,진짜 보수는 한동훈,True,1,2025-05-29T22:50:54+0900,860971135309709563,8,1,0
yspa****,4XkdD,대선 후보자리 날치기 안당했으면 한동훈 호남표도 많이 받았을건데 정말 아쉽다!,True,1,2025-05-29T20:06:53+0900,860960569035850073,8,1,0
sunk****,,,False,1,2025-05-30T09:56:00+0900,861013984285818885,0,0,0
myko****,2gacg,사기경선 당하고도 당 위해서 열심히 선가운동. 제대로 정신 박힌 유일한 국힘 사람이 힌동훈.,True,1,2025-05-29T21:51:16+0900,860967293327245425,7,0,0
chun****,1lZqi,"사기경선 피해자 한동훈! 3류,구태 정치 끝내고 원칙과 실력의 한동훈과 함께 역동적인 대한민국을!",True,1,2025-05-29T21:28:01+0900,860965795809722377,7,0,0
cms5****,cEVld,"한동훈정치는 아직 앞을막고있지만 구태 떨거지들 청산하고
국민만 보고 나가면 길이됩니다
끝까지응원합니다",True,1,2025-05-29T21:12:42+0900,860964808504115489,7,0,0
mns1****,2vKmr,광주  전라도  다같이  한동훈믿고  따라갑시다,True,1,2025-05-29T20:53:16+0900,860963556974133351,7,0,0
