user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
kyok****,CioL,야당에는 카더라 기소도 남발하는 검새가 증거가 차고 넘쳐도 수사를 안 하니 그런거 아님? 양심이 있으면 국짐이 아니지만,True,1,2024-11-20T18:10:02+0900,843326495182028816,143,6,5
dbse****,,,False,1,2024-11-20T18:11:38+0900,843326598395461839,0,0,3
dalb****,o6fN,"특검수용하고 수사해도 문제없으면 야당이 탄핵의 탄자도 못꺼낼 것 아닌가?....  상식적으로 김건희특검, 채해병특검은 거부하니까 더의심 받는거 아님?",True,1,2024-11-20T18:16:07+0900,843326887081017377,51,0,0
so02****,3htmh,거부권으로 막고 검찰 우두머리로 깡패짓하고 있는게 누군데 국정이 장난이냐? 니들 밥그릇으로 싸움걸지 마라!  밤죄자 옹호 더이상 못뵈주겠다.,True,1,2024-11-20T18:10:31+0900,843326526286987423,32,1,0
dail****,2Ij9g,국짐당엔 신뢰가 없다 다 사기꾼이다,True,1,2024-11-20T18:10:05+0900,843326498000601116,32,6,0
hkw5****,,,False,1,2024-11-20T18:19:32+0900,843327106761883817,0,0,0
lcys****,vvj0,증거 나열하면 입만 아픈데 무슨 카더라냐.. 진짜 뻔뻔한 인간이네..국힘 니들이 살 길은 윤석열 탈당시키고 같이 탄핵에 힘을 실어야한다..안그러면 또 국민앞에 엎드려 사죄해야 할 날이 또 올것이다.,True,1,2024-11-20T19:04:22+0900,843329994892509296,5,0,0
dano****,2Fc1T,"수사는 알아서 안해, 특검은 무조건 거부해... 국힘 너희들이 카더라 라고 우기는 근거가 너무 치졸한거라 생각하지 않나?",True,1,2024-11-20T18:15:38+0900,843326855657291961,4,0,0
aisy****,2ntKp,국짐아 니네들 말대로라면 촛불들고 나온 국민들은?  시국선언한 각 대학들은? 모두  생각이없어서 그러냐? 멍청한 국짐당아,True,1,2024-11-20T19:18:00+0900,843330873414647811,3,0,0
ljk3****,2bFgXL,국짐 니들도  디질준비해라..,True,1,2024-11-20T18:20:55+0900,843327195697905950,3,0,0
djhj****,SKnk,대통령이 대통령 같아야 대접을 받을거 아닙니까ㅡ국민의 75%가 반대하고 탄핵을 바랍니다 그리고 국민위한 대통이 아니라 지마누라 장모 위해 하는 자리인데 해외인들 인정 할까 ㅡ더이상 저렇게 다니는꼴 못보겠습니다 윤석열을 탄핵하고 김건희최은순을 구속 합시다,True,1,2024-11-20T21:15:35+0900,843338449267196094,2,0,0
bizz****,1kIT8,국짐 이것들은 국민들이 빙다리 합바지로 보는구나. 너네  딱 기다려 3년뒤에 너희  국짐당 국짐2중대 정의당 처럼  만들어 줄 것이다.,True,1,2024-11-20T19:22:00+0900,843331131280457731,2,0,0
rshd****,,,False,1,2024-11-20T19:09:44+0900,843330341040029903,0,0,0
wony****,2spum,국짐은 증거가 차고 넘치는데 또 거짓선동이나 대단하다,True,1,2024-11-20T19:05:53+0900,843330093274104054,2,0,0
h438****,bz7BP,"진짜 이런 대통령은 처음이다,  경제,외교,안보 무엇하나 제대로 알고있는게 없는데 이대로 가만 놔두면 안된다.  진짜 탄핵시켜야된다,  탄핵이 안되면 모가지 끌고라도 내려오게 해야한다. 나라를 삼류국가로 전락시킨것도 모자라,  국민과 나라의 생존에 위협을 주는 대통령은 정말 필요없다.",True,1,2024-11-20T19:04:28+0900,843330001670504559,2,0,0
biop****,,,False,1,2024-11-20T19:03:57+0900,843329968988487970,0,0,0
sixb****,F8XJ,국힘은 정신 차릴 대상이 아니무니다~ 청산해야 할 적폐중에 적폐이무니다~,True,1,2024-11-20T18:44:20+0900,843328705177583727,2,0,0
lees****,2x5mh,"응 ~ 빼박 증거가 차고넘치다 못해  강을 이뤄 ~ 
카더라는 너네가 하고 있으면서 뭔 떨아이같은 소리냐 ,?
정신 챙기고 자식들 보기 부끄러운줄 알아라 권력의 비굻고도 비굴한 개짐당아",True,1,2024-11-20T18:42:23+0900,843328579147137168,2,0,0
sw61****,u3dH,니들은 조작의 논지 흐리고 그걸 논평이라 말하는 넘들인데 뭔 말을 못하겠냐. 개검이 수사를 안하니 의혹뿐인거지. 특검 들어가봐 니들 쥐구멍만 찾아다닐걸?,True,1,2024-11-20T18:40:08+0900,843328434208768039,2,0,0
dong****,2Luzq,"확증을 내민어도 조작됬다고 하는 국짐입니다. 이제 국짐은 대구경북에서도 설자리를 잃어가고있습니다. 최후의 발악입니다. 국민여러분 이제 국짐을비롯한 가짜 보수, 친일매국세력을 몰아내야히",True,1,2024-11-20T18:33:33+0900,843328010097524898,2,0,0
licj****,1yctn,국민 세비로 할줄 아는게 저짓뿐아니카 싶다,True,1,2024-11-20T18:28:13+0900,843327666550472769,2,0,0
yb78****,,,False,1,2024-11-20T18:18:21+0900,843327030442328169,0,0,0
dlsr****,3OsD1,"혁신당이 이름값을 하네요
소수당이지만 의원들이. 모두 일당백하십니다~
응원합니다",True,1,2024-11-20T19:20:09+0900,843331012397105205,2,1,0
e493****,1YVYV,단순하게 생각해보면  지금은 조사도 못하게 하지만 임기 끝나면 깜빵가는건 확실하잖아. 그치? 그런데 앞으로의 2년반동안 대한민국 국정을 계속 맡기는게  맞는거냐??,True,1,2024-11-20T19:01:45+0900,843329827204235470,2,1,0
gtye****,1xhlD,왜? 증거가 없어 차고 넘치구만,True,1,2024-11-20T19:50:23+0900,843332959627903083,1,0,0
rhdm****,i1I5,"명태균과의 명백한 녹취가 나와도 모른척. 대통령이 실언한 바이든 쪽팔리면을 대놓고 날리면으로. 김건희의 명품백 뇌물수수 영상 증거가 나와도 함정수사 운운하며 부정. 검찰 출신 대통령이 임명한 정치검찰 사단이 중앙지검을 꽉쥐고 제대로된 수사 자체를 아예 안 하는데, 적반하장 식으로 나오는 꼴이 참 ㅉㅉ",True,1,2024-11-20T19:39:15+0900,843332242888458329,1,0,0
zeph****,1dI7W,죄를 지었으니까 거부하는겁니다,True,1,2024-11-20T19:22:49+0900,843331183893807342,1,0,0
kish****,1WDfX,굥거니의 방탄견이자 똥개인 국짐 놈들  굥거니와 같이 전부 사형시켜야 나라가 바로 선다.,True,1,2024-11-20T19:18:28+0900,843330903965958280,1,0,0
sigm****,2ByBW,그카더라가 차고 넘쳐서 증거수준이란다. 국민의짐당아,True,1,2024-11-20T19:16:49+0900,843330797464191212,1,0,0
hime****,3XJGr,우리는 내시집단임이 자랑스럽습니다?,True,1,2024-11-20T19:13:40+0900,843330594443100363,1,0,0
jjt4****,63Kki,국힘아 국민이 다 보았고 들었다,True,1,2024-11-20T19:13:38+0900,843330591976849577,1,0,0
aa27****,ajbKg,윤석열의 육성 파일은 명백한 공천개입 이는 법률위반이고 탄핵사유다.  거부권을 남용하고 대법원의 판결을 엎은 제3자 변제는 위헌이고 이는 탄핵 사유다. 박근혜 최순실과는 비교불가 압도적인 탄핵 사유다.  국힘은 국민의 탄핵 민심을 받아야 한다,True,1,2024-11-20T19:10:36+0900,843330396740386986,1,0,0
dgmi****,36e9R,"TK, 국짐당! 가재는 게 편이라고 성렬,거니 두둔하는건 유독,유별나게 야들밖에 없으니 한심 그자체이며, 야들은 같이 죽게 생겼을때도 이렇게 할란가? 크으~참 보잘것없다.",True,1,2024-11-20T19:03:39+0900,843329949040378023,1,0,0
exfe****,2l8qG,"근데....왜..그 카더라인지.진실인지 의혹 밝히는 특검은 막냐,,,,,윤씨의 영서니 회줘라 했는데...국짐에선 와규 주라고 난리네..이것도 카더라냐",True,1,2024-11-20T19:03:14+0900,843329922532376644,1,0,0
