user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
alma****,2cZycx,내란수괴 윤석열 사형 공감하시면 👍 👍 👍 👍 👍,True,1,2025-05-15T20:00:29+0900,859661357836927152,193,4,2
ko1t****,2HK1L,추견호 나경원이 왜 이리 내란 옹호와 탄핵막으려 했는지 퍼즐이 풀리네...,True,1,2025-05-15T20:20:04+0900,859662619953332255,135,3,2
cho5****,3ULzj,"추경호, 나경원은 직접가담이 상당히 의심되고.... 극우 유튜버들도 깊숙하게 연관되어 있다고 본다.... 내란수사는 시간을 충분히 가지고 샅샅히 파 헤쳐서 모조리 구속시켜야 한다.....",True,1,2025-05-15T22:51:44+0900,859672390920044762,80,1,0
jay_****,24pfK,추경호와 나경원을 내란죄로 기소하라. 누가봐도 추경호와 나경원이 계엄해제 표결을 막으라고 내란수괴 지령을 받고 국회 본회의장에 안들어갔을 뿐만 아니라 내란특검과 내란수사를 필사적으로 막았다.,True,1,2025-05-15T21:48:15+0900,859668300718669913,63,1,0
lsb7****,,,False,1,2025-05-16T06:38:21+0900,859702452251787309,0,0,0
unic****,ORlq,추씨나씨 떡수는물론 문수삼모기 쌍권등국짐 전부 내란공범 구속 사형집행이 시급하다.,True,1,2025-05-16T07:41:43+0900,859706534819528835,11,0,0
bole****,bXQiF,"추경호, 나경원은 내란 수괴 협조자로 조사가 필요하며 계엄 해제 방해 음모 공모자로 구속 수사가 필요하다.",True,1,2025-05-16T06:49:55+0900,859703197495722116,9,0,0
youi****,6f6Au,정권 바뀌면 특검으로 내란공모자 동조자 옹호자들 모두 발본색원해서 처단해야 내란재발을 막는다.,True,1,2025-05-16T06:51:29+0900,859703298662334538,5,0,0
gins****,aTfan,뭔가 구린내가 나니까 은폐하려고 비화폰을 쓴거지. 룸살롱 접대 지귀연 놈 당장 직권 구속하라. 그리고 어차피 사형당할 놈에게 경호원 65명 증원 말이나 되냐?혈세낭비 말고 즉각 사형에 처하라.,True,1,2025-05-16T06:43:29+0900,859702783601803338,5,0,0
cccj****,,,False,1,2025-05-15T19:58:49+0900,859661251083501827,0,0,0
jyyo****,2ESfv,한 나라의 대통령이란 자가 애타게 찾은게 고작 극우 유투버냐?  참 저렴한 놈,True,1,2025-05-16T07:40:28+0900,859706453919793265,4,0,0
kbli****,,,False,1,2025-05-16T07:25:43+0900,859705503624724591,0,0,0
cjl0****,1rfrs,사형해라,True,1,2025-05-15T20:25:08+0900,859662946807054389,4,0,0
dlwj****,2QxIG,집회에 참여하고 한남동으로 찾아간 내란당 의원들 모두가 내란중요종사자 라고 봅니다. 윤건희를 옹호하는게 아니고 본인들의 범죄 사실을 옹호하기 위해 모였다고 봅니다. 범죄자 집단,True,1,2025-05-16T08:04:13+0900,859707984287105074,3,0,0
kiho****,1lPzV,내란수사의 종결은 국짐당의 위헌정당 해체가 답일게다.,True,1,2025-05-16T07:33:33+0900,859706008803475556,3,0,0
love****,1xtAa,추경호 저건 공범이 아니라 내란주범으로 무기징역 .. 꼭,True,1,2025-05-16T06:35:16+0900,859702253542440996,3,0,0
1chr****,2Jkxc,내란당의원들 줄줄이 더 나올수도,True,1,2025-05-15T21:55:26+0900,859668764105375921,3,0,0
ham7****,21nMD,내란정당 국짐은 해체가 답이다.,True,1,2025-05-16T08:00:08+0900,859707721455239204,3,1,0
ph80****,3aMjn,"사형만이 내란종식이다. 추경호, 나경원 등등 전부 내란동조 세력이다.!!!?",True,1,2025-05-16T07:05:29+0900,859704200269922386,2,0,0
bsj7****,3ZVfV,이더럽고 추악한 빠루 나씨 또 어떻게 빠져나갈까!,True,1,2025-05-16T06:56:46+0900,859703638568730729,2,0,0
sjmd****,1mJ4k,나베도 조사 좀 받아야 하겠군.,True,1,2025-05-16T06:47:13+0900,859703023599878165,2,0,0
jino****,2CBcl,내란가담자였고. 내란업무 주요종사자 였어.. 내란남북도 것들...,True,1,2025-05-15T21:08:22+0900,859665731606806678,2,0,0
jdas****,2ee7U,쥐귀연 빨리 조사해서 감옥보내라!,True,1,2025-05-16T08:15:14+0900,859708694248554558,1,0,0
mrka****,cV02x,"내란세력 검찰추가









동조 협력한 개검놈들 







뿌리뽑아 국기문란으로








사형시켜라",True,1,2025-05-16T08:09:56+0900,859708352647659766,1,0,0
its7****,3WoVE,경호처 압수수색 드가자,True,1,2025-05-16T07:56:26+0900,859707482648346731,1,0,0
sml7****,,,False,1,2025-05-16T07:50:57+0900,859707130276479179,0,0,0
jinh****,aTLqQ,사형!!!!  내란공범들  무기징역!!!!!!!!!!!!!!!!!,True,1,2025-05-16T07:40:47+0900,859706474908090536,1,0,0
i0y9****,1nUD9,내란수괴 사형.,True,1,2025-05-16T07:36:28+0900,859706196943175739,1,0,0
74ya****,gCzC,결국 국회로 가지 않고 눈치만 살피며 교란 .. 한패였던 거임… 그러니 방탄하느라 그리 정신이 없었지,True,1,2025-05-16T07:24:38+0900,859705433814728815,1,0,0
itsi****,c7NOP,계엄 실패 이틀 뒤 고성국에 5차례 전화…유튜버 '직접 교류' 확인,True,1,2025-05-16T07:23:23+0900,859705354257170511,1,0,0
upjk****,1ATQ6,내란잔당 윤석열일당 심우정 조희대등 관련자 척결이 최우선과제다.,True,1,2025-05-16T07:16:54+0900,859704935749517457,1,0,0
dmz7****,TN29,윤석열의 내란 행위은 이미 여러 정치인과 정부 인사들이 공모하고 계획했다..... 이번에 반드시 발본색원하고 두번다시 이런 사태가 반복되지 않아야 한다,True,1,2025-05-16T07:13:22+0900,859704708418240574,1,0,0
cafe****,3hRBu,10석열과 내란세력들 끝까지 찾아내서 처벌 해야한다,True,1,2025-05-16T07:04:45+0900,859704153847365739,1,0,0
gusx****,1Kvmx,그것이알고싶다 계엄 내란 공모세력을 ? 서서히 전모가 드러나고 있구나 중범죄자들 샅샅이 찾아내 엄벌해야 대한민국 정의가 바로선다.,True,1,2025-05-16T07:00:05+0900,859703852427902994,1,0,0
jjun****,1GyO6,특검 가즈아~~~~!!,True,1,2025-05-16T06:47:25+0900,859703037038428217,1,0,0
sams****,1l2r5,내란을 일으킨 놈은 저렇게 아무일 없는 듯 잘 싸돌아 다니고 그에 따른 고통은 국민들이 모두 감당해 내야하는 현실이 짜증난다.,True,1,2025-05-16T06:46:09+0900,859702954796515350,1,0,0
