user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
ssat****,6B0IN,사법농단 실토했네 ㅋㅋㅋㅋ 사형시켜 ~~~~~~~~~~~~~~~~~~~~~~ 푸 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,True,1,2025-05-06T07:00:57+0900,858776195175546986,174,61,6
ehsw****,,,False,1,2025-05-06T09:28:04+0900,858785673765715981,0,0,3
skfv****,4qooK,개인의 의견은 다 다를 수 있는데 결국은 문형배가 윤석열탄핵에 앞장섰다는거네ㅋㅋ문형배 이딴 놈이 헌법재판소장하고 있었으니ㅋㅋ,True,1,2025-05-06T09:41:15+0900,858786522340524084,106,37,1
hot_****,6WD0D,이거야 말로 사법농단아니냐?ㅋㅋㅋㅋㅋㅋ 개딸들아 좌파들아 어디한번 씨부려봐봐 ㅋㅋㅋㅋ,True,1,2025-05-06T09:59:58+0900,858787728588800225,82,15,4
yoon****,cOWu,공산당이여? 무슨 만장일치여 에혀..,True,1,2025-05-06T09:31:42+0900,858785907455557797,58,12,4
blue****,,,False,1,2025-05-06T10:34:11+0900,858789932896878663,0,0,0
pywo****,3QXhy,"법대로 각자 해석해서 의견을 내놓는게
아니라 그냥 회의를통해서 입맞추는걸 전국민에게
까발리네 그냥없애라 ㅋㅋㅋㅋ저게무슨 말이냐 막걸리냐 필요도없네 ai로 대체해야한다",True,1,2025-05-06T10:20:58+0900,858789081973260554,18,2,0
kook****,2GXXs,만장일치를 위해? 공산당이네,True,1,2025-05-06T10:35:38+0900,858790026882842794,15,1,0
godd****,3qDYI,대한민국은 자유와 평등의 권리와 공정과 정의의 책임으로 질서가 유지되고 사회가 운영되는 국가인데 이런 국가의 헌법재판소에서 국민의 자유의지에 의하여 선출된 최고위직 대통령을 탄핵하느냐 마느냐 하는 재판에 재판관 각자의 심리를 그대로 반영치 않고 시간을 끌면서 사회공산주의 조직에 공산당들의 결정기구에 결정방식인 만장일치제로 탄핵반대 의견을 갖은 국민들의 목소리를 명분없게끔 만들려고 한거였네! 니가 스스로 자백한 조작정황으로 이번 탄핵재판은 무효소송으로 갈 것이다! 조기대선 멈춰 세울 것이다!,True,1,2025-05-06T09:56:43+0900,858787518823268544,14,2,0
ipho****,,,False,1,2025-05-06T11:03:22+0900,858791813505351804,0,0,0
lmj8****,4Smy2,"왜 굳이 만장일치? 민주주의 국가에서...
조작과 회유를 인정하는 꼴..",True,1,2025-05-06T09:55:15+0900,858787424585646134,11,1,0
lgrd****,2tX2K,내란당과 협잡했다고 자백하는거냐? 역시 못난놈. 이거 임명한게 양산 간첩 이지? 끼리끼리.,True,1,2025-05-06T10:31:40+0900,858789770627645621,11,2,0
yasa****,,,False,1,2025-05-06T09:59:06+0900,858787672787779613,0,0,0
lds7****,okeS,좌파 판사의 고백! 이런 쓰레기판사를 탄핵해야 하지 않나,True,1,2025-05-06T09:43:11+0900,858786647548887094,11,5,0
okse****,bsiqs,결국 기각의견이 있었다는것...,True,1,2025-05-06T11:33:41+0900,858793766658506934,6,0,0
snoo****,qVAO,나는 저분만 보면 아동성애자라는거 밖에 안떠오르네요.,True,1,2025-05-06T10:16:36+0900,858788800183140510,8,3,0
hoki****,8fO0X,내란형배는 사형이 답이다,True,1,2025-05-06T10:08:45+0900,858788294400409795,6,2,0
tkdw****,2P0ai,인민재판?,True,1,2025-05-06T09:31:57+0900,858785923293249759,4,0,0
o21c****,6DVMP,"진짜어른이 진짜어른을 키운다 존경합니다 
우리사회에서 진짜 어른들이 필요합니다",True,1,2025-05-06T10:57:41+0900,858791446973513962,4,1,0
70hs****,,,False,1,2025-05-06T10:48:55+0900,858790882134982939,0,0,0
hjkp****,jNXs,만장일치.... 문형배는 제대로  충분한 절차 속에 재판이 이루어지지 못한  대통령 탄핵사건이라는 흑역사를 남겼다.  가장 왼쪽에  있다는 문형배   자신의 이념속에  대법관으로 포장된 이미지에 불과하다고  느껴지는 문형배 전 헌법재판소 권한대행의  만장일치에  대한  변명이라고 본다.,True,1,2025-05-06T10:33:52+0900,858789912848105706,4,1,0
kira****,la19,법대로 해야지 저런 판결 누가 믿냐  사법부 신뢰를 떨어뜨린 장본인,True,1,2025-05-06T10:28:32+0900,858789569267499163,4,1,0
ikgg****,SFin,공산당이세요?,True,1,2025-05-06T11:33:44+0900,858793769124757715,3,0,0
ddib****,GnP8,탄핵심판은 빨리 선고하라고 독촉하고 본인들 후보 형사재판은 늦추라고 엄포놓고 협박하는 이분법적인 사고를 보면 절대 저게 정상적인 정당이고 정치활동이라고 생각을 못할텐데...,True,1,2025-05-06T10:50:25+0900,858790978452979834,3,0,0
ppas****,3e5ds,이제 법관들도 공산화되었구나. 법관들 개인의견은 무시하고 만장일치? 웃기고 자빠졌구나.,True,1,2025-05-06T10:45:18+0900,858790649434996813,3,0,0
zimo****,3o5YA,와 소름돋네 문형배가 결국 탄핵기각판사를 설득했다는 말이네,True,1,2025-05-06T10:35:55+0900,858790044851241212,3,0,0
powe****,m1h8,야이 쓰레기같은 민주주의란 다른 의견도 수용하는게 민주주의다 니가 말하는건 전체주의다 모두의 생각이 같아야한다는 헌재란 놈이 지입으로 다른 의견이 있었음을 실토하네?,True,1,2025-05-06T12:20:48+0900,858796801489109226,3,1,0
ekfo****,iHlL,헌재선고를 국힘이 존중했듯이 대법선고 민주당이 존중해야된다 ㆍ안그러면 대선때 필히 국힘찍을거다,True,1,2025-05-06T11:59:46+0900,858795446796026100,3,1,0
kkok****,1VA64,"""만장일치 파면을 위해 숙고와 인내의 시간이 필요했다고...""
답정너였네..
이재명과 꼬붕들과 맹목적인 추종자분들 제발 좀 깨어나시죠..
윤석열도 아니지만, 이건 선을 씨게 넘은거 아닌감요??",True,1,2025-05-06T11:32:18+0900,858793676816515165,3,1,0
kjh8****,1bgT0,나쁜넘이네,True,1,2025-05-06T11:03:56+0900,858791849492480255,3,1,0
jwma****,4ieyG,너네 자식들 반응이 궁금하다,True,1,2025-05-06T11:03:48+0900,858791841338753243,3,1,0
