user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
rsw7****,2bN4i,이렇게 나라를 망쳐놔도 다시 찍어주는 것들이 40%나 되다니..진짜 답없는 대한민국. 제2의 노무현이 되어 사심없이 대한민국을 이끌어주시길.,True,1,2025-06-04T02:44:31+0900,861450042735591498,28,10,2
ingu****,6zoac,응 불법계엄 내란질해대도 40% 정도는 괜찮다는 거구나...,True,1,2025-06-04T03:24:48+0900,861452637650813022,10,3,2
bong****,10fek,저 놈들이 없어져야 대한민국이 좀더 성장할텐데 ㅠㅠ 꼴통 꼰대 친일파들...,True,1,2025-06-04T04:21:33+0900,861456293808832564,7,0,0
whw3****,5Jqk6,나라 잘 돌아가겠다...범죄자 부부 뽑아서...하악쉬,True,1,2025-06-04T04:04:44+0900,861455210654990457,8,2,1
shjr****,2jLE8,5.18 광주에서 수없이 많은 국민이 참혹하게 피흘려 죽어갔는데 그걸 역사에서 책과 영상에서 배워 놓고도 계엄을 저지른 그당에 또 다시 표를 줄 수 있는건지..  내나라 안의 국민이지만 내지역만 아니면 내 이웃만 아니면 내가족만 아니면 된다는 심보인건가.,True,1,2025-06-04T03:40:19+0900,861453637925208108,12,8,1
ksb4****,3BbUK,내란을 옹호하는 정신병자들 보다는 다행히 올바른국민이 많아서 대한민국을 지킬수 있었습니다.내란당에 40%나 표를준 국민들이 있다는거에도 한편 놀랐네요.!! 그놈에 지역감정~~,True,1,2025-06-04T03:51:53+0900,861454383034925140,11,7,2
sinn****,4avgu,국가 부체 1000조에서 2000조로 가는 선택 니들과 니들 자식들이 받을 빚이다,True,1,2025-06-04T03:25:38+0900,861452691925106748,7,3,0
asso****,Dauy,2찍 정신병 맞다니깐,True,1,2025-06-04T02:01:49+0900,861447291557380293,14,11,1
dhsm****,1ODNQ,이준석이 다 조져놨다,True,1,2025-06-04T01:34:10+0900,861445510521684025,12,9,5
ppok****,25pqs,이제 앞으로 일어날일 :  윤석열 살자당함(범인은 당연히 김건희),True,1,2025-06-04T04:14:50+0900,861455861610971221,3,0,0
mylo****,17PKz,출구조사 완전히 틀렸는데. 다 틀린 출구조사를 틀린 결과가 나온 뒤에도 마치 사실인양 기사를 쓰는건 뭔가? 대놓고 답정너 세뇌를 하나?,True,1,2025-06-04T01:56:03+0900,861446919942045713,3,0,0
repk****,50bTM,팩트로 기사쓰쇼,True,1,2025-06-04T01:39:05+0900,861445827057418279,3,0,0
gona****,6uN17,자질과 능력이 제일 떨어지자나 정신나간 4050,True,1,2025-06-04T04:28:01+0900,861456710085115909,7,5,2
whw3****,5Jqk6,이제는 죄명이의 신세계가 펼쳐 질거야...아수라,True,1,2025-06-04T04:08:22+0900,861455444361609267,6,4,0
lje8****,1tlyZ,10석렬한테 계엄당하고 성조기흔들며 살아야할듯ㅋㅋㅋㅋㅋ,True,1,2025-06-04T04:21:32+0900,861456292600873009,3,1,0
sooy****,7YKtp,"지지정당을 바꾸는 사람들은 전국민 5프로도 안 되는 것 같은데, 결국 지지자들 투표장으로 가게 만드는 게 중요해 보임. 말로만 부동층이 너무나 많음",True,1,2025-06-04T04:29:17+0900,861456792394137622,1,0,0
khk9****,4wGV6,재명아 다  쓰러 버려 다오  개엄 찬성한 쓰래기들과 동조자들,True,1,2025-06-04T03:49:17+0900,861454215564754967,0,0,0
chos****,4rBYf,2찍 친일 경상현은 걍 뒤져라,True,1,2025-06-04T03:11:00+0900,861451748508696578,0,0,0
tkwp****,,,False,1,2025-06-04T02:42:56+0900,861449940646232227,0,0,0
ehd7****,3MGae,소시오패스 아수라세상 찢죄명세상. 만끽해봐야 정신이 들지.,True,1,2025-06-04T03:28:01+0900,861452844849430531,10,11,0
miso****,bC6TE,강냉이도는 이제 불 나서 쫄딱 망했다고 이재명 찾지 마라 문수리 찾던지 준썩렬이 찾던지 해라 핵노답 지역중 하나,True,1,2025-06-04T01:42:35+0900,861446051955998897,3,4,0
wjsv****,4H4q,저 빠진표가 한딸들이지,True,1,2025-06-04T02:52:22+0900,861450548417658931,2,3,1
tact****,1sO4U,이게맞죠 내가 선택한 사람 뽑는 이유가 그 당사자때문이어야지 다른사람이 이유여선 안되죠 대통령 뽑는건데,True,1,2025-06-04T04:02:38+0900,861455074809872496,0,1,0
seon****,4ut0M,윤석열과 국힘당 심판한거다 현재 윤석열에 대한심판과  국힘당의 쌍권을 몰아내지 못하면 국힘당은 앞으로 설 자리가 없다 그리고 이준석과 합당해라 그것만이 국힘당의 새로운 변화에 대해 국민은 반응할것이다 현재의 국힘당은 수구다 윤석열의 패악질과 국민을 생각하지 않는 태도가 니들을 100석에 머무르게 했다 그리고 민주당이 잘해서 그런게 아니라 국힘에 대한 반대로 얻은 성과를 니들이 잘한걸로 착각하지 마라,True,1,2025-06-04T03:15:44+0900,861452053652701265,1,3,0
figh****,bjqeG,부정선거,True,1,2025-06-04T01:51:44+0900,861446642077794525,12,15,5
kims****,bGLcT,내란견들 ㅂㄷㅂㄷ ㅋㅋㅋㅋㅋ,True,1,2025-06-04T02:02:32+0900,861447337929605232,5,8,1
df19****,1Dgil,이제 행정집행의 대가가 행정이 뭔지 보여 줄것이다. 쫄지마라!,True,1,2025-06-04T01:39:03+0900,861445824842825752,1,8,2
