user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
6435****,3zqjc,2찍들아 쪽팔 리지도 않냐  전과 전과 비아냥 거리더만 지들은   전과7범 을 뽑앗네 ㅋㅋㅋㅋㄲㅋㄲ,True,1,2025-05-04T07:18:01+0900,858591752351645699,1276,18,24
6435****,3zqjc,지부모국적은 일본국적이라고 하며 전과7범 김문수를 뽑는 2찍들 수준 참대단하다  하긴 전과20범 이명박도 뽑은 놈들이긴하지 ㅋㅋㅋㅋ,True,1,2025-05-04T07:19:10+0900,858591826590826517,638,8,10
kimm****,6ez7l,이재명 사법 리스크 보다 더 심각한 내란동조 극우 리스크 어떻게 감당할려고 김문수를 뽑냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-05-04T07:17:47+0900,858591737252151393,364,7,4
belc****,5BxVl,한뚜껑 잘가라.멀리 안나간다 ㅋㅋㅋ 배현진은 홍에 붙었다 윤에 붙었다 한에 붙었다 낙동강 오리알 됬네 꼴좋다 ㅋㅋㅋ,True,1,2025-05-04T07:18:50+0900,858591805652861032,273,17,4
shak****,11AnA,이건뭐.. 국힘은 내란당이네,True,1,2025-05-04T07:18:09+0900,858591760740253724,212,5,0
tlar****,,,False,1,2025-05-04T07:32:56+0900,858592713585459332,0,0,7
donb****,2OBtc,ㅋㅋㅋ 세상에 살다살다. 난데 도지사 갑질하고 일제강점기때 일본인이라고 떠들고 다니는 놈을 대선 후보로 뽑다니 폭망각이다.,True,1,2025-05-04T07:47:54+0900,858593677738508424,73,1,0
rhdm****,i1I5,"산불 났는데, 본인 정치 행사 참석한다는 이유로 소방헬기를 동원한 '나 도지사 김문수요""가 대선후보 ㅋㅋㅋㅋㅋㅋ 니들은 피습으로 목에서 피가 철철 나던 이재명 전 대표가 소방헬기 썼다고 세금낭비라 개거품 물지 않았었냐? 이딴 놈들이 기득권을 놓지 않으려고 법조 카르텔과 언론 동원하여 이권을 독식하고 자빠졌으니, 나라 꼴이 참 ㅉㅉ 정당해산 당해도 모자랄 놈들인데 선출한 후보마저 최악이구나 x2",True,1,2025-05-04T07:32:32+0900,858592687278784590,65,4,0
bomb****,4RxLk,"갑자기 김문수가  지지율 1위하더니 결국  후보가되었네
이건 거대한 계획이 있다    박근혜 운석열때 처럼 모지리앉여놓고  해먹을려는  무리가가  있다   사법계+언론+재벌+종교계",True,1,2025-05-04T07:44:27+0900,858593455960490048,47,1,0
jks8****,1YM0V,내란의힘당에서 누가 나오던 상관없음. 범죄집단 없앨 이재명만 후보자로 보임,True,1,2025-05-04T07:29:37+0900,858592499625623618,38,2,0
dmdm****,CY4l,스스로 해체했어야 할 놈들이 윤석열 출당조차 안시키고 대통령후보를.. 철면피들!!!,True,1,2025-05-04T07:29:08+0900,858592468420001811,26,0,0
day8****,6rl7d,이재명한테 대패 당할듯.,True,1,2025-05-04T07:37:30+0900,858593007841050690,22,0,0
adie****,,,False,1,2025-05-04T07:20:26+0900,858591908430086195,0,0,1
jeom****,4Tzt1,국힘 지지자들 수준이 이런데도  아직은 국회 2당이라 방송 타서 대선에서 20~30%를 득표 하는 일이 생길수도 있겠죠..국민은 정치수준의 하향을 원하는 국힘당 후보를 이번 선거에서는 정말 퇴출시켜야 한다. .국힘후보 지지하는 한표가 계엄과 같은 독재를 지지 하는 한표라는걸 잊지 말고 선거하자.,True,1,2025-05-04T07:48:22+0900,858593707266408498,16,0,0
pask****,,,False,1,2025-05-04T08:11:04+0900,858595169920876557,0,0,0
airl****,4pjQn,전국  소방서  상황실 어쩌나?   ㅋㅋ,True,1,2025-05-04T07:20:55+0900,858591939870589038,12,0,0
rose****,2yYiN,친일극우 내란동조자가 대한민국 대통령 출마라니.... 중요한 것은 상대방이 말을하면 말귀를 못알아들음. 본인은 고문후유증이라는데 새빨간 거짓으로 보임. 안들리는거와 이해못하는 것은 다름.,True,1,2025-05-04T07:21:52+0900,858592000520224855,11,0,0
jdh5****,3zBiH,"전과 4범이라고 비아냥 거리더만 전봐 7범을 뽑았네
2찍들 수준 알만하다ㅋ",True,1,2025-05-04T08:30:08+0900,858596398315077657,10,0,0
vvca****,,,False,1,2025-05-04T08:34:16+0900,858596665374801971,0,0,0
pbj1****,6oyOt,자칭  일본인이 대한민국 대선 후보? 망해가는 국힘당. 다시  또 광복운동 벌여야 할 판.,True,1,2025-05-04T08:32:08+0900,858596527700967458,6,0,0
bakg****,2a4dX,이재명 대통령 확정된 기사같다,True,1,2025-05-04T10:40:40+0900,858604807726825619,5,0,0
seo_****,3QXAX,여보세요.  어 나 김문순데. 네?  김문수 라고. 이런 그런데 어쩌라구?  소방서 콜센터에 바뻐 죽겠는데 김문수. 갑질 하고있는 통화내용.   이런 정신 나간 김문수가 대통령 한다고 개소리 한다.  ㅋ,True,1,2025-05-04T09:33:28+0900,858600478735335529,5,0,0
life****,6pe0y,참 너네 인물없다.  ㅋㅋㅋ 김문수가 후보래 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-05-04T08:07:44+0900,858594955038294175,5,0,0
asia****,,,False,1,2025-05-04T07:27:13+0900,858592345476562982,0,0,0
yong****,2GpEx,언제쩍 김문수냐. 내란국무 한덕수랑 짜고 치는 고스톱 다 안다.  참 가지 가지 한다. 노인네들..ㅋㅋ,True,1,2025-05-04T11:22:39+0900,858607513304563866,4,0,0
you2****,2cVLB,국회에서 계엄 사과하라고 할때 유일하게 사과 안하고 의자에 뿌리박고 앉아있던 자. 코로나 초창기때 사랑제일교회 예배에 참석한 사람들 동행한 이도 검진대상자였으나 경찰에게 고성지르며 나 국회의원 3번한 사람이라고  갑질한자.  박근혜 탄핵 반대에 앞장섰던 자. 119전화 갑질했던 자. 식민지 안됐다면 오늘날 대한민국은 없었을거라고 떠든 자. 정치적 철새 행보하는 자. 세월호 추모를 두고 '죽음의 굿판 '이라고 떠든 자.쌍용차 노조를 자살특공대 라고 떠든 자. 유세중 차량 역주행 하던 자? 누구지? 이게 국짐당의 수준이구나,True,1,2025-05-04T10:06:33+0900,858602610028970106,4,0,0
ibbe****,2kpXr,전과7범 축하해~~~~ 극우들 내로남불 쥑이죠~~ ㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-05-04T08:30:52+0900,858596445526163604,4,0,1
sunz****,1ryaj,문수 떡수 e c boo rel 🐕 se ki dl ㅋ,True,1,2025-05-04T08:28:01+0900,858596261916311556,4,0,0
kime****,1nhOM,나올 놈이 그리도 없냐? 문수 저런게 나오다니~~,True,1,2025-05-04T08:21:30+0900,858595842200698955,4,0,0
akse****,1DHRy,이재명이 그냥 대통령 시킬려고 작정을함 ㅋㅋ,True,1,2025-05-04T07:42:09+0900,858593307498905629,4,0,0
gmls****,,,False,1,2025-05-04T07:19:52+0900,858591872107413620,0,0,0
cs******,3Ym,"내란세력으로 평생 낙인 찍힌 내란당!! 이제 국민의힘이 아니라 그냥 ""내란당""으로 부르겠다!!",True,1,2025-05-04T07:18:26+0900,858591778926755910,4,0,0
kjoo****,,,False,1,2025-05-04T08:21:12+0900,858595822604910624,0,0,0
yoon****,4eG4h,국힘은 정당해산 절차를 착착 밟아 나가는구나 ㅎ,True,1,2025-05-04T07:23:29+0900,858592104354414656,4,1,0
room****,1NXge,아직도 내란당은 정신못차림. 지들의 권력 과 욕심땜에 제대로 된 후보도 못내고있는데 이재명 전과 4범이라고 이찍들 발악을 하더니 전과7범을 대선후보로 내는 저쪽당 대단하다 ㅋㅋㅋㅋㅋㅋㅋㅋ 그리고 한덕수가 나오겠디 ㅋㅋㅋ 왜 한덕수냐? 정치공학적으로 한덕수 와이프가 김건희 연관 무속인이랑 같이 연결되어있거던 ㅋㅋ,True,1,2025-05-04T17:05:37+0900,858629608545714456,3,0,0
rokm****,v6AR,"이번 대선에서 국민들이 어떤 선택을 하는지 똑똑히 두고 보십시오.
국민들이 어떤 심판을 할지 꼭 살펴보십시오.",True,1,2025-05-04T12:09:57+0900,858610560147652849,3,0,0
jsp2****,NXW5,"토착왜구들이 드디어 왜놈 국적자를 자당 대선 후보로 뽑았구나.
놀랍지는 않지만 이제는 대한민국 국적을 포기해 주면 안되겠니.
친일 반민족 행위는 내란 쿠테타로 계속 이어 지고 있다.
하루 빨리 저들을 척살 하여 진정한 자유독립을 이루는 완전한 대한민국을 보고 싶다.",True,1,2025-05-04T11:44:01+0900,858608888935612428,3,0,0
suna****,ecNXb,대한독립 만세!!!  광복군과 국민이 대한민국 주권을 찾았을 때 친일 매국놈들은 나라를 팔았다! 친일매국 놈들을 살려 줬더니 다시 나라를 팔아 먹겠다 겨나왔다! 뉴라이트! 매국놈들! 뿌리를 뽑아내자! 촛불은 봉화가 되었다!!!,True,1,2025-05-04T09:28:20+0900,858600147804749904,3,0,0
cody****,1JkvQ,내란 범죄자들 집합소냐? 가증스럽네.,True,1,2025-05-04T09:03:42+0900,858598561451868302,3,0,0
ligh****,2jjVf,통진당이랑 국힘 당원이랑 같은 사람들 아닌가 싶다. 지금 국힘이랑 통진당이랑 다른점이 뭐 하나 있냐? 심지어 허경영당이랑 수준이랑 비슷한 것 같은데.,True,1,2025-05-04T08:32:41+0900,858596562480136299,3,0,0
cen3****,,,False,1,2025-05-04T08:27:28+0900,858596227053256785,0,0,0
mada****,4tMxu,탄핵반대 하는 애를  뽑는다는게 민심을 모른다는것,True,1,2025-05-04T08:20:22+0900,858595769823789130,3,0,0
melt****,4I7mi,"역시 국짐은 막장 맞다.
혹시나 했는데 역시나.
노령층 제외하고 석열이 두둔하는 자들은 민주주의적 지능이 기준 이하인 것.",True,1,2025-05-04T07:47:00+0900,858593619940999171,3,0,0
izan****,c4kFy,게임 끝이네. 고맙다 국짐^^,True,1,2025-05-04T07:18:43+0900,858591797968896093,3,0,0
love****,,,False,1,2025-05-04T17:24:42+0900,858630838097543417,0,0,0
cuca****,,,False,1,2025-05-04T09:54:36+0900,858601839921201305,0,0,0
ebbu****,2K6et,"저런  인간이  대통령  후보라니
정말  기가  찬다
초등생 반장선거도  저정도  수준은  아닌데",True,1,2025-05-04T07:59:25+0900,858594419509559367,3,1,1
ghy1****,,,False,1,2025-05-04T07:31:08+0900,858592597772337172,0,0,0
