user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
alma****,2cZycx,내란의힘은 위헌정당 해산되어야한다 까도까도 끝이없다 양파20kg 까도 범죄가더많을듯 ㅋㅋㅋㅋㅋ,True,1,2025-05-07T20:54:29+0900,858922666931781843,1787,12,10
june****,66H2i,발정이 말이 맞다. 국짐에서는 제일 무식하고 만만한 놈을 뽑아놔야 조종하기 쉬우니까 뭉수를 공작해서 선출한거다. 뭉수는 아는 게 없다. 딱 갖고 놀기 좋다. 뭣도 아닌 뭉수가 갑자기 왜 튀어나오게 됐는지부터 생각해봐라. 공작이지. 뒤에 누가 있겠나? 윤돼지 줄리 광후니 이만희 딱 저같은 것들이지. 누가 봐도 뭉수가 대통 깜이 안 되는 건 알잖아?,True,1,2025-05-07T20:42:56+0900,858921922711257470,1114,20,5
luvt****,2nO9S,"무임승차 방법이 있는데, 경선 참여하면서 수억 낸 사람들 빙다리XXX로 보이네. 11일까지 단일화 안되면 대선 안나간다는데 얍삽한 것 아니냐? 뭔 대선이 장난도 아니고 뭔 의지가 있는 것 도 아니고 저런 사람에게 나라를?",True,1,2025-05-07T20:40:11+0900,858921745527078991,854,4,5
thin****,222EU,홍준표의 작심비판이 국짐당 몰락의 에너지로 작용하길 빕니다,True,1,2025-05-07T20:33:28+0900,858921313060782293,573,9,3
yohy****,nq8e,그런것한테 90도로인사한 너도사과해야지,True,1,2025-05-07T21:39:29+0900,858925565900488926,396,14,5
keep****,coSr8,가끔 준표형은 제 정신으로 돌아온다,True,1,2025-05-08T00:16:59+0900,858935713347928274,124,0,4
danc****,20lO9,"나라를 망쳐놓고, 이제 당도 망치고, 보수진영도 망치려고 하느냐, 이념 집단이 아닌 이익 집단에 불과하다""고 맹비난하며 ""한덕수는 '윤석열 아바타'다, 윤석열이 나라도 망치고 당도 망치고 있다"" 다 맞는말이긴 한데 할배요 얼마전까지 윤돼지 파면선고도 기각 될꺼라며 물고 빨지 않았어? 그땐 맞고 지금은 틀리다? 너무 속보인다 홍할배",True,1,2025-05-07T20:22:34+0900,858920611068510427,97,1,2
k100****,2p2AZ,"준표야!!!!!     너무 늦었다.    이미 썩을대로 썩어빠진 국힘은 자정능력이라곤 눈 씻고 찾아봐도...            
양두구육이 준석이 쫒아낼때부터 이미 망조가 시작된것이지?????        
비겁하고 쓸모없는 당원들의 집합체.       중진이나 원로들 모두 너무도 비겁했지.         
책임지고 국정을 이끌기는커녕 이재명 죽이기에만 혈안이 된 조폭보다 못한 집단이었지????               
이제 와서 딴소리해봐야 소용이 없는거지.      
제대로 된 인간이 한놈도 보이질않으니..,",True,1,2025-05-08T00:22:31+0900,858936068974575714,77,0,3
leey****,HrWi,준표야~  내란동조 윤석열잔당들의 행태에 당하고 나니까 국민들의 마음을 이해하것나?  권성동이 핵심 간신이다.,True,1,2025-05-08T00:25:37+0900,858936268623446159,56,1,0
syeu****,i8zF,"홍준표씨 말씀이 맞네요. 한덕수후보어게 무임승차 시킬거면 뭐하러 들러리들 경선을 시켰을까요?들러리된분들 경선비용도 아깝겠어요.젤 궁금한건,왜 국힘은 아직도 내란우두머리를 놓지 못하는걸까요?",True,1,2025-05-08T05:59:53+0900,858957803690131580,41,0,2
