user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
wawo****,1fKq0,한동훈말이 맞다,True,1,2025-04-18T14:04:07+0900,857133574329991218,115,24,4
tige****,2fj4J,정치교체! 시대교체! 한동훈으로 가자~~,True,1,2025-04-18T14:06:30+0900,857133727875072190,58,16,2
shby****,2TrWS,한동훈 대통령된다,True,1,2025-04-18T14:25:08+0900,857134929056628792,28,10,1
ggkk****,cLoQt,너무나도 당연한 말인데. 국힘은 도대체 지금 머하고 있냐? 보수 진짜 윤석열때문에 무너지게 생겼는데. 당권 그거 가지겠다고. 전광훈 도라이 처럼 행동할거야? 진짜 나라가 미쳐간다. 불법계엄해서 이재명 대통령 만들어주게 생겼는데 보수는 윤석열 당장 탈탕시키고 다시는 거들떠 보지 말아야지 . 보수의미래가 있다,True,1,2025-04-18T16:18:44+0900,857142246707822845,18,3,0
lina****,2phkK,놓긴 뭘 놔? 이제부터 수사하고 탈탈 털어서 김건희랑 같이 벌 받아야지!! 보수 대통령이라는 것들은 하나 같이 사익을 위해서 권력을 탐하니 나라가 이 모양!!,True,1,2025-04-18T14:10:40+0900,857133996696404253,29,21,0
chj0****,10DyW,국힘은 한동훈이라는 통째로 굴러온 보물을 100퍼센트 적극 활용하여 대통령 만들기에 힘을 모아주어야한다.,True,1,2025-04-18T19:05:50+0900,857153012714438927,7,0,0
leey****,,,False,1,2025-04-18T18:58:21+0900,857152530721800298,0,0,0
rozo****,,,False,1,2025-04-18T15:42:42+0900,857139926100082977,0,0,0
sean****,262Jj,"ㅇㅇ 그래 이거지..이제좀 가자,,,",True,1,2025-04-18T15:16:08+0900,857138214001967154,4,1,0
juri****,bO46e,한동훈 지지 합니다,True,1,2025-04-18T19:15:04+0900,857153607215087634,3,0,0
2011****,4FOIs,한동훈의 생각과 선택은 언제나 옳았다고 생각합니다~!! 이젠 윤통은 탄핵되었고 과거입니다~!!! 미래로 나가자는 말씀에 공감합니다 ~!!! 한동훈후보와 함께 비래비젼을 향해 나갑시다~!!한동훈대통령 ~!! 응원합니다 ~!!!,True,1,2025-04-18T16:46:06+0900,857144010781753374,3,0,0
juns****,1IGpc,당 지지자를 완전히 분열시킨 한동훈도 과거에 놓고 당이 미래로 가면 해결될것 같다.,True,1,2025-04-18T14:19:55+0900,857134592757334431,12,10,1
