user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
lsc8****,2gTBF,정신이상자들 아니고선 어떻게 저런짓들을 하시는지...무슨죄를 지었는지...국민들이 이리 힘드는게 오로지 용산때문만인지...나라 잘돌아가는꼴을 못보다못해 갖은 방법으로 태클을 걸었던 인간들이 누구인지...죄가있담 죄지은넘부터 얼릉 사법적인 판단을 받도록한후 뭐든 하자들...,True,1,2024-11-12T17:30:38+0900,842581785970737408,96,20,3
allm****,,,False,1,2024-11-12T17:30:38+0900,842581786776043787,0,0,0
qzmp****,bJVdV,이재명 방탄 쑈 하시네 솔직히 아무리 석열이가 탄핵당해도 찢죄명과 조구기는 아니다,True,1,2024-11-12T17:31:14+0900,842581824877101158,38,4,0
khd0****,1VUd,아주  탄핵병걸리것들이  재미봣지? ㅋㅋ영병을해라,True,1,2024-11-12T17:32:09+0900,842581883966455881,31,2,0
luxs****,8QmTb,더불어공산당!!!  이죄명 재판이 며칠앞으로 다가오니  지령떨어졌니?!!!!  더불어공산당국개들을 탄핵해서 나라를 구하자!!!!!!!!!!!!!!!!!!!!!!!!^,True,1,2024-11-12T17:34:43+0900,842582048836157729,29,3,0
kimm****,,,False,1,2024-11-12T17:38:05+0900,842582266151436325,0,0,1
issa****,Oydg,ㅋㅋ 징글징글하다 선전선동~ 한 번 속지 두 번 속냐? 내로남불 만진당~찢! ㅋㅋㅋ,True,1,2024-11-12T17:38:38+0900,842582301450699009,25,2,0
psyl****,,,False,1,2024-11-12T17:40:07+0900,842582396778840124,0,0,0
cyg0****,51GeR,국회의원 제발 봉급주지마라. 하는 짓거리보면 그래놓고도 연금 받지,True,1,2024-11-12T17:31:48+0900,842581861837308249,19,0,0
park****,1tpcq,탄핵거리다 역풍 제대로 맞아봐야 정신을 차릴려나  이 정권 들어서고 민생법안등은 뒷전이고 없고 오로지 선동질해서 현 정권 흠집내기에 혈안이 되어있는 민주당 정신들 차려라,True,1,2024-11-12T17:41:46+0900,842582503515488579,18,2,2
hyun****,1qc5k,"윤석열 대통령이 전과가 있는것도 아니고 그렇다고 문재인 처럼 김정은에게 기밀이 담긴usb를 준것도 아니고, 김대중처럼 핵개발 자금을 준것도 왜 뜬금없이~~",True,1,2024-11-12T18:06:00+0900,842584064853540870,15,2,0
jip0****,3EHz0,헐~ 황운하 저 미친 것은 1심에서 징역형을 받은 놈이.....나라가 미쳐 돌아간다.,True,1,2024-11-12T17:40:00+0900,842582389463973889,11,0,0
sy63****,4RTUM,나라 꼬라지 잘 돌아간다. 민생을 돌봐야할 국회의원이 저라고 있으니 국민이 힘들지... 세금아깝다. 이것들아,True,1,2024-11-12T17:39:47+0900,842582375790543201,9,1,0
love****,26f7k,체제전복의 대표주자들,True,1,2024-11-12T17:31:48+0900,842581861451432257,9,1,0
nkw4****,3fbVN,이재명 지키기 위해 발악을 하는 더불어민주당,True,1,2024-11-12T17:38:12+0900,842582273751515234,8,3,0
ggom****,2yks5,"그럴시간에 민심 법안이나 만들고 아직통과못하고
있는 법안들좀 조속히 통과나시켜라",True,1,2024-11-12T17:43:38+0900,842582624244334868,6,1,1
