user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jcha****,,,False,1,2024-11-21T20:39:51+0900,843428918240215301,0,0,0
kcw7****,4T1t3,"범죄자가 무슨 탄핵 소추안을 낸다고
탄핵시유도 안되는 안 법대교수 한거 맞아 ?",True,1,2024-11-21T20:54:39+0900,843429871253192906,11,2,0
lshm****,6bsaB,민썩친형은 윤정권시작부터지금까지 정권퇴진집회하고있다. 집안전체가 좌익이란거다. 대한민국보단북괴뢰국을위하여 존재하는벌러지집안.,True,1,2024-11-21T20:37:17+0900,843428753253072976,9,2,0
wtfi****,cySvW,범죄자들에게 뱃지를 달아준 국민들 잘못이다. 누굴 탓해,True,1,2024-11-21T21:07:27+0900,843430696239235210,7,1,0
ldy1****,1PHIw,국민은 더불어 조꾹 탄핵을 결심할 듯하다ᆢ멀지 않다ᆢ잘가라ㆍ멀리 안나간다ᆢ,True,1,2024-11-21T20:54:28+0900,843429859593027752,7,2,0
tjrg****,3EXR0,"역공을 당할까봐 탄핵만큼은 입도 뻥긋않네~~
난리법석 피더니 이넘들이 특검으로 또 쇼를하는데
 너희들의 저질은 그게 한계다~~
역풍만 남았으니 폭망할때까지 계속 특검이나 나불거려라~",True,1,2024-11-21T20:46:54+0900,843429371812249853,5,0,0
kimh****,,,False,1,2024-11-21T20:48:10+0900,843429453500514359,0,0,0
hada****,,,False,1,2024-11-21T23:22:46+0900,843439414083322077,0,0,0
lee8****,3LQBM,정치는 코미디라고 하더니 웃기고있네요.,True,1,2024-11-21T21:11:25+0900,843430951370358913,2,0,0
kgj3****,24ncp,더러운 민주당,True,1,2024-11-21T20:53:51+0900,843429820468560179,2,1,0
hyun****,cUOOx,개인적으로는 이재명보다는조국이차기대통령이됐으면좋겠다 ! 아님김동현지사도있고~,True,1,2024-11-21T20:46:37+0900,843429354246504647,2,1,0
ruds****,2civY,민주당은 차라리 이재명 수사금지법을 만들어라.,True,1,2024-11-22T00:21:07+0900,843443173169561622,0,0,0
stmp****,,,False,1,2024-11-21T21:17:20+0900,843431333018468443,0,0,0
hsc6****,eqTxb,검사 판사 모두탄핵하면 재멍이 감옥안가겠네 재멍이는조컷다,True,1,2024-11-21T20:43:08+0900,843429129566027817,0,0,0
jaew****,4SmSP,ㅋㅋㅋ. 민새가. 꾸기를. 까는구나 ㅎㅎㅎ,True,1,2024-11-21T20:39:13+0900,843428877119258681,0,0,0
