user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
sjym****,3zq2w,대구시장이라고 중앙정치에 관여 안했다고 이야기하더니만 이제와서. 윤석열.야당탓? 한동훈을 적과내통?  지나가던 개가 짖는다. 정신차리라고. 윤석열  김건희 대통령시절에는 한번도 충고하는걸 못봤는데.   갓끈 떨어지니 물어뜯네 그냥. 한마디로 강약약강 이로구나.,True,1,2025-04-23T14:35:55+0900,857599480051007844,13,1,0
jko8****,3dhVW,몬  개소린지  노망난 늙은이 ㅠ,True,1,2025-04-23T14:41:43+0900,857599853260177682,7,0,0
nahj****,,,False,1,2025-04-23T14:29:29+0900,857599065536331941,0,0,0
twod****,,,False,1,2025-04-23T16:35:31+0900,857607185373331659,0,0,2
nam6****,4qUfO,너는 석열이가 저런 짓거리 할때 어디서 뭐하고 자빠져 있었냐? 너는 한동훈보다 더나쁜넘이다.,True,1,2025-04-23T16:23:56+0900,857606439189872964,7,1,0
khsk****,6zIyf,나라와 국민만 생각하는 한동훈이 대통령감이다 홍은 노욕이 가득찼다,True,1,2025-04-23T16:25:55+0900,857606566411501888,6,0,0
jtki****,,,False,1,2025-04-23T16:15:31+0900,857605896581152944,0,0,1
leeb****,10Ld3,홍할배도 이제 그만 집으로 가세요. 일반인들끼리도 하지 않을 수준 낮은 말들을 상대후보에게 지껄이는거 참 보기 싫네요.,True,1,2025-04-23T14:52:16+0900,857600533123301480,5,0,0
free****,czDMx,한동훈은 당이 우선이 아니고 국민의 입장서 올바른 판단을 했을뿐,True,1,2025-04-23T15:41:50+0900,857603726599258428,6,2,2
kbsu****,5lp3K,"참 지저분하다. 홍준표!  늙다리 꼰대로  보수의
몰락에  기여하고 있네. 자신있으면  그냥  이재명이 까라.  같은당 한동훈이 까지 말고 ~~",True,1,2025-04-23T15:15:07+0900,857602005122678831,6,2,0
phh2****,,,False,1,2025-04-23T16:28:17+0900,857606718496964711,0,0,0
