user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
kitt****,Aep1,탄핵당한 대통령이 무슨 힘이 있다고 보복을함? 검찰이 무슨 부귀영화를 누리려고 그러겠냐. 말같지도 않은,True,1,2025-04-24T22:04:39+0900,857721160182268086,522,12,12
hyso****,5Pk1P,"적폐청산 외치며 수많은 사람 숙청했던
사람이
그입에서 할소리는 아니지.",True,1,2025-04-24T22:44:42+0900,857723740283207888,245,1,3
kjh4****,2697e,최순실과 박통도 엮는데 사위와 장인은 당연 한묶음이지.,True,1,2025-04-24T23:06:08+0900,857725121584955438,225,1,0
namd****,,,False,1,2025-04-24T21:49:16+0900,857720169085010026,0,0,3
leem****,42Mkb,와 구속수사 안하노,True,1,2025-04-24T22:43:21+0900,857723653897322601,117,1,0
isd2****,3QhrS,"좌파들의 특징...자신들의 죄 밝혀지면, 무조건 보복이라고 우김...지들이 정권 잡으면, 무조건 정적 보복...",True,1,2025-04-24T23:11:06+0900,857725441778122776,74,0,2
pala****,1DN1X,문재인. 세월호 참사와 최순실게이트로 집권. 끝없는 부동산 폭등. 허상을 쫒는 소득주도성장. 최저시급인상으로 물가 인상. 코로나 사태. 금융지원이 아닌 대출장려로 소상공인들 막대한 채무발생. 서민과 민생경제파탄. 보여주기식 쑈맨십 인사와 대북정책. 아마츄어 정권. 정리해서 다시.,True,1,2025-04-24T23:01:12+0900,857724804176805952,58,0,0
agap****,6ZmJI,"보복성? 어이없네. 수사지연이 ""수사받지 않는다""로 착각, 오해, 불편한 안심을 준게 사실. 
 문재인 수사, 너무 늦었다. 분통터진다. 이제부터 하나씩 수사와 재판 시작해야 한다. 범죄 
 저지르고도 빤스런 하겠다? 문재인만 예외? 
 어림없다.",True,1,2025-04-24T22:48:22+0900,857723976925839474,40,0,0
runn****,3ahRF,문죄인USB와 이죄명 대북송금 특검가자!,True,1,2025-04-25T01:09:57+0900,857733098295525485,32,0,0
ghdr****,2Eydf,"죄지은 놈이 성낸다고 지는 역대 대통렁들 탄핵 및
구속시켜놓고 니가 걸리니까 쫄리지",True,1,2025-04-24T22:52:56+0900,857724270845886734,26,0,1
lc21****,bXPjD,"ㅋ무슨개소리윤석열이무슨힘이있다고보복하나 
어처구니없는개소리는집어치우고수사나잘받아라 
안것들에게정권을 맡겼었으니 할말을잃는다 
감방으로가즈아",True,1,2025-04-24T22:57:16+0900,857724550001983574,26,1,0
uk******,BjQf,니같은인간하고 탄핵하고 무슨상관인데 소대가리야! 너는 적국에 국가기밀과 중요기술마저넘긴 천하의역적으로 사형도 모자리고 너의 처자식은물론이고 너로인한 씨는 모두 제거해야한다.,True,1,2025-04-24T22:47:45+0900,857723936777961659,22,0,0
skyc****,2o4Ig,너무 늦었다.. 하지만 이제라도 법이 평등하다는걸 보여 주길 바란다..,True,1,2025-04-24T23:22:23+0900,857726168768446552,20,0,0
shle****,5dPFM,대통령이 탄핵 당해서 없으니까 이제 누구 탓을 못해서 개소리 헛소리를 마구 지껄여대네,True,1,2025-04-24T22:55:13+0900,857724418300837962,17,0,0
wyt8****,,,False,1,2025-04-24T22:44:39+0900,857723737548521655,0,0,0
