user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
kla2****,csmAU,"윤석열같은인간도 대통령하니
다들 저런인간도되는데 나는  대통령 왜못해 수준",True,1,2025-04-26T16:37:07+0900,857885602014560293,18,3,1
woon****,2UoFW,"토론할때마다 계엄 탄핵이야기 이제 그만해라. 현재 경제, 관세및 미래 비전 이야기 하기도 바쁜세상에..",True,1,2025-04-26T16:34:31+0900,857885434510835851,12,2,3
goal****,3Ea8u,그 어떤 개그프로보다 더잼있다는국짐 경선 요즘 즐겁게 보고 있어요 간만에 참 웃기네요 이건SNL도 못따라 할듯,True,1,2025-04-26T17:05:11+0900,857887410330009650,10,1,0
bigs****,,,False,1,2025-04-27T02:12:26+0900,857922666290479143,0,0,0
kang****,,,False,1,2025-04-27T02:29:56+0900,857923793350295600,0,0,0
sims****,4XYNG,"^^^^^  각 당에  대선후보자뿐만  아니라,,,, 국회의원  선거때도 ~~ 필히,,, 전과이력에  어떤 죄목이 있었는지~~~ 꼭  국민들의  알 권리에 ..... 꼭  필히  알려줘야한다고  봅니다...  법을  수호하지  않는  자들은  공직에   그것도  최고 공직자들의  자리입니다~~~!!   문수행님,,,, 홍 회장님 ,,,, 정치에  감을  잃으신거  같은데 ,,,, 경북  시골가셔서  공기좋은  곳에서  지내시며   이장님  자리를  권장드립니다...  본인에게도  주변사람들  국힘당과  국민들  위해서라도  용단을~",True,1,2025-04-26T16:55:51+0900,857886809034588354,3,1,0
qkqk****,1tRne,전광훈을 훌륭한 목사라고 하는 전과7범도 있네 국힘당 이재명 전과자라고 비난하지 않앗나? 국힘당은 더 심하네 전과당이다 이명박도 14범이지?,True,1,2025-04-26T18:26:45+0900,857892664618516633,2,0,0
drac****,2Hlrn,여든 야든 잘못했음 인정하고 책임좀 지자.,True,1,2025-04-26T17:39:56+0900,857889649182376148,1,0,0
jo99****,,,False,1,2025-04-26T17:39:06+0900,857889595579170845,0,0,0
soom****,,,False,1,2025-04-26T16:25:56+0900,857884881231806678,0,0,0
sund****,2wR2Z,계엄으로 인한 대선이다. 계엄을 진정으로 사과하고 계엄을 막은 사람 한동훈만이 후보 자격 있다. 다른 후보들은 이재명의 내란당 선동에 어떻게 대응할까? 계엄 막을거나 말거냐 대답도 못하시는 분들이.,True,1,2025-04-26T16:33:38+0900,857885377938063518,5,5,2
becu****,22FDK,"한동훈 검사, 이재용 구속한 특검 윤석열과 함께 사활걸고 ‘숨겨진 쌍칼’ 투입... “대기업 저승사자” 한동훈이 미래다",True,1,2025-04-26T17:02:59+0900,857887268059218170,1,1,0
okso****,3DLvn,계엄찬반인 대선출마자가 가를것  없이 국민은 국힘은 해체를 해야 한다고 100% 공감하고 있다 해체해라~~,True,1,2025-04-26T16:25:59+0900,857884884587249890,1,1,0
bkbk****,38VBS,"보수당에서 `배신`에대해 그간 말이많던데, `배신`이란 말의 진정한 의미를 모르는가?개인이든 집단이든간에 서로 신뢰하던 사람들이 갑자기 어느한쪽이 등을 돌리는것이 배신인지아닌지는 원인제공자가 어떻게했느냐에따라 갈리는 것아닌가?

특히 강하게 신뢰할수밖에없는 구성원내에서 그것이 가족이든 친구이든 회사든,등을 지게되는 것은 선을 넘어서는 감정을 상하게했기때문아닌가? 

충성하거나,은혜를 베풀던 사람에게,혹은 잘되라고 욕먹을 각오하고 직언한 사람에게 오히려 괘씸하다고 해를 끼쳐려고하면 당하는 사람이 등을 지는 것이 그게 어찌 배신인가!?",True,1,2025-04-26T20:20:02+0900,857899962841694221,0,0,0
bkbk****,38VBS,"예상외로 2:2로 당내여론이 이성적으로 흘려가는 상황에서 만일에 탄핵에대해 민심전체여론에 부응하는쪽이 최종후보가되면 그반대의 경우보다 예상외의 결과에따른 저력에대한 평가도 겹치면서 컨벤션효과를 그반대보다 좀더 누릴것임.

그런 흐름으로 가면 또다른 김요물의 아바타가 출마한다해도 그명분과함께 기세가 자연스레 꺽일것이기에 애초의 아바타를통한 섣부른 초기의 승리 계획도 틀어질것임. 
김요물의 아바타 영감은 친윤이 최종후보가되었을때 탄력을 받는 구도이기에,그반대가되면 국민들이 보기에도 물러난 정권이 보기 흉하게 발악하는것으로 보일수있음.",True,1,2025-04-26T20:06:19+0900,857899079638712395,0,0,0
bkbk****,38VBS,"상황에대해 본인이 얼마나 핵심을 잘 파악하고 또한 활용하는가가 중요함. 아무리 좋은 아이디어를 줘도 정작 당사자가 활용못하면 무용지물이됌. 즉,당사자들 하기나름인것임.

그러니 2:2로된것은 당사자들이 하기나름인것임. 분명한것은 2:2상황이 가장 중요한 명분적인 기세싸움에서 어느정도 몰렸던쪽이 힘을 받을수있는 상황이되었고, 얻을수있는 전체득표의 숫자는 그게 얼마든 올랐을 가능성이 높다는것임. 

지금 국민들이 정치인들의 몰양심에 마음한켠 불만이 쌓여있고 립써비스에 질려있을것임.이젠 말이아닌 정의로운 정치인의 출현을 기다리고있을것임.",True,1,2025-04-26T19:54:20+0900,857898307685449787,0,0,0
kkm9****,2GDb6,정책은없고 비난비방 인신공격만 난무하는 내란당수준하고는 ㅋㅋ,True,1,2025-04-26T18:52:06+0900,857894298383810573,0,0,0
knph****,1Tf6i,게찢의 더짐당 초밥쌍빙울게찢들이 발악하네 너거들 게시판들가든지? 쎄쎄찢으러가 가는데마다 똥싸는 더듬만진당더찢더짐당 한심한것들아! ^^,True,1,2025-04-26T18:21:13+0900,857892308354334770,0,0,0
chuk****,omYG,빨리 사과하고 마무리하면 되지 이런걸로 경선 토론 주제까지 가는거 자체가 코미디다. 하면할수록 한동훈 지지율만 올라갈걸?,True,1,2025-04-26T18:19:32+0900,857892199671529592,0,0,0
wowp****,80RTG,"홍쭌표 노망아 뮈뮈라고 ""그 까짓 대통령 "" 이라고 아 ""그까짓 밖에"" 안되어 윤막장이 막가며 쿠테타로 엎어 버렸구나 그렇게 대한민국 대통령 자리가 싸구려냐 말도 참 싸구려로 하는구나 전쟁을 할때 지략을 세워 앞장설 장군의 위치가 얼마나 중요한데 맥아더 장군처럼  하다못해 스포츠 게임을 하더라도 스타플레이어의 역활이 얼마나 중요한데 오늘 기아 김도영 선수 한명으로 기아가 선두 LG를 꺽는것 봐라 그러니 이순신 장군이 얼마나 위대한 영웅이냐 그런데 한나라의 최고 리더인 대통령을 그 까짓것 이라니 네가 제정신인 사람이냐 빨리 관둬라",True,1,2025-04-26T18:16:54+0900,857892030842405020,0,0,0
gemm****,2vuWy,한동훈 경제살릴 자신 있어? 화합해낼 자신 있어? 의료계상황 바로 되돌릴 자신있어? 정치경험 행정경험 너무 부족한 후보인데 왜이렇게 빠는지,True,1,2025-04-26T18:02:29+0900,857891101904732255,0,0,0
chy3****,5ocx3,갈길이먼데 지들끼리싸우고있네,True,1,2025-04-26T17:57:14+0900,857890763055300652,0,0,0
swy5****,34ykI,저 새대가리들은 개그맨 했으면 어울렸을 텐데.... ㅋㅋ,True,1,2025-04-26T17:56:25+0900,857890710525837414,0,0,0
mang****,1PMsP,"김문수,홍준표는 진짜 아닌거 같은데 ㅋㅋ",True,1,2025-04-26T17:56:05+0900,857890689520762899,0,0,0
iday****,,,False,1,2025-04-26T17:43:26+0900,857889874013847646,0,0,0
