user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
mira****,2pEAv,뉴욕타임즈 검은머리 한국계 여자기자가 쓴 기사 또 퍼오는건 아니고?,True,1,2025-05-26T18:29:34+0900,860675984855138468,434,75,26
teas****,eB2RA,여성 음부를 확 찢겠다는 분이 여성 공약을 낸다?,True,1,2025-05-26T18:30:35+0900,860676051074810080,373,159,28
lyou****,5D3UT,제일 웃겼던 댓글 '시위에 절반이 여잔데 남자들은 뭐함?' 그럼 절반은 뭔데...?,True,1,2025-05-26T18:45:03+0900,860676983216930840,147,12,13
puuu****,hOMk,언제 여성이 비동의강간죄랑 보편적 차별금지법 제정을 원한다고 했는지? 일부 강성 페미니즘이 원하는 거겠지,True,1,2025-05-26T18:29:07+0900,860675956770078756,118,19,13
jurn****,2YTor,대부분의 여성들은 차별금지법 제정 찬성한적 없습니다 민주노동당 쪽에서 제시하는 차별금지법에는 오히려 여성의 안전과 권익을 해치는 부분이 있기 때문입니다,True,1,2025-05-26T18:37:52+0900,860676519696007471,107,18,0
beak****,tuFH,"여자, 남자 나누지 좀 말아라!!! 같은 국민이다!!! ㅉㅉ",True,1,2025-05-26T18:45:29+0900,860677010966446219,18,1,1
hong****,2qP1o,세대와 남여 갈라치기는 펨코 우두머리 이준석 전문아닌가??,True,1,2025-05-26T18:39:10+0900,860676604035072057,20,7,0
luti****,,,False,1,2025-05-26T21:01:27+0900,860685770267033750,0,0,2
taza****,3Bhpc,페미대통령 문재인이 남녀갈라치기로 남녀갈등을 넘어 혐오하는 시대로 만들었다. 문재인은 반드시 감옥에 쳐 넣어야한다.,True,1,2025-05-26T18:48:06+0900,860677179409694752,12,4,1
zuke****,ceeIk,이젠 놀랍지도 않지만 여기자들이 주장하는 외신 소스란건 뉴욕타임즈 한국 기자가 쓴 투고 기사임 언제나 그렇지만 페미들은 지들에게 유리하도록 정보를 조작질하는데 아무런 부끄러움을 느끼지 않는다는게 문제  https://www.nytimes.com/2025/05/26/world/asia/south-korean-women-election.html?searchResultPosition=5,True,1,2025-05-26T19:27:36+0900,860679724261703845,10,2,1
rebo****,,,False,1,2025-05-26T20:24:28+0900,860683387348713623,0,0,1
chun****,mun1,한국엔 차별금지법 싫어하는 여성이 더 많다. 남의나라 일에 지들 좋은대로 왜곡하긴 쯧,True,1,2025-05-26T20:01:44+0900,860681922882306262,6,0,0
lees****,9IG1T,한국은 여자가 남자보다 살기좋은 나라인데 뭔,True,1,2025-05-26T18:43:17+0900,860676869417074781,8,3,0
bigf****,1WP2F,"권영희 기자님. 이름값 그만하시고 일기는 일기장에 희망사항은 니 마음 속에 간직하세요. 니들이 꿈꾸던 여성우대사회가 지금 우리나라의 갈등을 조장시키고, 출산율 세계 꼴찌에 페미정신병 사회를 만든겁니다.",True,1,2025-05-26T20:16:44+0900,860682889518383367,6,1,0
star****,3BBl7,여성공약 여기서 뭘더해야함? 여성전용 도로까지 만들려고?,True,1,2025-05-26T18:44:41+0900,860676958889967837,6,1,1
