user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
ccjd****,VA6t,"이인간의  추악한  끝은  어디인가?  끝장을  봐야할  인간이다  절대  잘못을  인정할  인간이  아니다,  즉  지옥에서  보낸  악마다  당장  수거해서  처단해라  지들이  좋아하는  표현이니가   그데로  돌려줘라,   그리고  국짐당은  우리나라  민주주의에  걸림돌이다  당장 해산시켜라  역대  최악의  정당이다",True,1,2024-12-25T10:23:43+0900,846543447715217571,53,6,1
hsj0****,57AAi,공수처가 시간 끌어주네 내란이 사형까지 되는 죄인지 모르냐?,True,1,2024-12-25T10:33:14+0900,846544061358669883,21,3,0
bbgo****,3X4Od,끌어내라 당장  세금축내고있잖아,True,1,2024-12-25T10:28:20+0900,846543745091371093,12,2,0
musa****,dnMwH,빨리 구속 안하고 뭐함?,True,1,2024-12-25T10:22:20+0900,846543358863081559,7,0,0
ejll****,H14D,국민들이 몸과 마음이 안정된 생활을 할수있도록 나라를 잘 다스려야하는 의무가 있는 대통령이란 자가 국민들에게 제일 큰 충격과 공포를 줬는데 공수처는 뭘 하고 있는가!  빨리 체포하라!!,True,1,2024-12-25T13:02:00+0900,846553644974211075,2,0,0
jeac****,3ET1o,이놈 안나와  늬들같으면 나오것냐 그냥 체포해서 구속해 얼빵하게 있지 말고,True,1,2024-12-25T14:57:44+0900,846561101473644722,1,0,0
trki****,1w1c6,나는 아니겠지 하는 생각 다시한번 생각해볼 필요가 있습니다,True,1,2024-12-25T14:02:20+0900,846557532775252030,1,0,0
pigm****,1pkDs,저는 내란범에게 세금낼 생각이 전혀 없습니다....,True,1,2024-12-25T14:00:28+0900,846557411727638644,1,0,0
yeon****,,,False,1,2024-12-25T13:43:35+0900,846556324262051975,0,0,0
yong****,2SRO8,공수처..  급한 일도 아닌데 천천히 하자. 헌재 탄핵 심판후에 신중히 하는게 답이다. 어차피 지금 급하게 서두르는것들은 때 만났다고 생각하는 진보애들 뿐이다.,True,1,2024-12-25T12:17:55+0900,846550805111636169,3,3,0
paol****,awrjw,기자 정신나간 거 아니냐  내란혐의 누가 내란이란 말이여 내란은 더불어당 과 이죄명 이다 똑바로 보도 해라,True,1,2024-12-25T13:17:43+0900,846554658066399392,2,2,0
5676****,,,False,1,2024-12-25T11:18:21+0900,846546967810015316,0,0,0
sm51****,1KDxI,"트럼프 ""취임 즉시 강력범 사형 적극 집행""….계엄령 내린 반민주주의 내란수괴는 사형!!! 무기징역. 계엄령 옹호세력들도 무기징역 가자.",True,1,2024-12-25T20:04:51+0900,846580887582671069,0,0,0
kimc****,ddPil,즉각적인 구속영장 발부받아서 감옥에 쳐 넘어랑~ 공수처는 이번에도 어리버리한 선택을 하면 간판내려라,True,1,2024-12-25T19:31:45+0900,846578754762309797,0,0,0
jhw7****,SVwS,🐕 s기 얼굴에 똥박아지 쒸우고 싶다..,True,1,2024-12-25T17:32:43+0900,846571086081425601,0,0,0
kny9****,2colo2,대통령은무슨 석열이라고써라 기자야,True,1,2024-12-25T16:10:40+0900,846565800218198166,0,0,0
ydkw****,,,False,1,2024-12-25T15:55:17+0900,846564808651178054,0,0,0
tear****,12gQ8,이런 놈 감싸는 국짐과 이찍틀딱들도 다 잡아넣자.,True,1,2024-12-25T15:48:31+0900,846564372862992518,0,0,0
kmg9****,2NLMm,윤거니  당장구속 국짐 해산이 답이다,True,1,2024-12-25T15:39:34+0900,846563796381073540,0,0,0
radh****,ZnMr,공수처는 문재인이 만든 중국식 공안이죠. 소환에 절대 응해선 안됨.,True,1,2024-12-25T14:36:30+0900,846559733660778631,0,0,0
smry****,2ljNl,연말연시고 골치아픈 여러 일들로 관저에 빈 소주박스들만 그득  쌓여 있을 듯..출석 송장도 고의로 수취거절하는게 아니라 술 드시느라 못 챙기신게 아닌지 의심이 듬..,True,1,2024-12-25T14:24:50+0900,846558981873729719,0,0,0
lij0****,,,False,1,2024-12-25T14:13:16+0900,846558236411691069,0,0,0
jay_****,24pfK,공수처는 윤석열을 내란죄 외환죄로 기소부터 해라.,True,1,2024-12-25T14:04:49+0900,846557692041363639,0,0,0
ewht****,4uUEg,귀신 숭배자놈이 성탄절 핑개로 불출석 하는겨?,True,1,2024-12-25T13:57:05+0900,846557194294919197,0,0,0
deed****,10mIk,쳐 죽여라.그럼 끝난다.,True,1,2024-12-25T13:52:03+0900,846556869941002250,0,0,0
bmj9****,13rXx,내란수괴는 체포가먼저다,True,1,2024-12-25T13:49:30+0900,846556705289404532,0,0,0
js25****,,,False,1,2024-12-25T13:22:29+0900,846554964552581249,0,0,0
maba****,6EO6R,글쓰기도 아깝다. 걍 체포해!,True,1,2024-12-25T13:09:31+0900,846554129030447224,0,0,0
oku3****,2d0xzO,"강자에겐 약하고 약한자에겐 강함을 보여주는 무능한
법 기관이다. 비유로 범법자가 수사기관의 수사 받을지
말지를 범죄자 스스로에게 맡긴다면 올바른 법치주의가
아닌 특혜이다. 따라서 거부시엔 체포영장 발부받아
체포하여 강제 수사가 답이다.",True,1,2024-12-25T13:06:17+0900,846553921529839690,0,0,0
hyki****,6tCfY,책임감이 전혀 없는 나이만 먹은 애다. 진짜 최악이다. 박근혜랑 비교해도 한참 떨어진다. 이런 인간이 박근혜 국정농단 수사를 했다는게 신기할 정도다.,True,1,2024-12-25T13:00:05+0900,846553521779114011,0,0,0
khs_****,6nGZm,구속영장 발부해서 구속 수사해라 쓰레기 비열하고 치졸한 쓰레기,True,1,2024-12-25T12:56:25+0900,846553286126338143,0,0,0
comm****,,,False,1,2024-12-25T12:55:30+0900,846553226483335279,0,0,0
mani****,1jnGg,입만열면   거짓말   부끄럽다,True,1,2024-12-25T12:44:10+0900,846552496473112618,0,0,0
