user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
judo****,1cbQ9,대통령은 구속 증거인멸 가능한 범죄4단은 불구속,True,1,2025-01-19T03:26:16+0900,848835836412690477,201,49,7
lshm****,6bsaB,사법부의잣대가공정치못함이드러났네. 전과4잡범인리짜이밍은 야당대표라불구속하고 현직대통령은구속?  법과양심이아니라 개인정치적성향이드러난판결이네.,True,1,2025-01-19T03:33:51+0900,848836325334319216,133,49,4
chs3****,bhoGP,찢은 재판중 조퇴~~대통령은 구속 ㅋㅋㅋ,True,1,2025-01-19T04:34:49+0900,848840252326936653,60,14,3
ewtr****,48bW4,이제는 이재명이다 법을 만든자들이 범법을 하고도 너무 당당하다  속히 이재명도 잡아넣어 법치국가임을 국민들에게 알려야한다,True,1,2025-01-19T03:59:41+0900,848837989147607128,63,22,1
quad****,4jzxh,진짜 계엄때린게 이해가 간다. 야당대표는 대북송금 선거법위반 대장동 각종 혐의에 대해서 판사쇼핑 무제한 연기 기피 불출석해도 불구속으로 차기대통령 행세하는데 현직 대통령은 진짜 선관위원장 하나보다 못한 찬밥신세 취급하면서 민주당 190석으로 얼마나 국정을 농단했을까,True,1,2025-01-19T03:52:43+0900,848837540206084200,36,9,2
9917****,1TQWI,"우리법 연구회에 묻자. 현직 대통령을 구속한다니... 
너네 이거 감당 가능하냐?",True,1,2025-01-19T03:26:23+0900,848835843844997187,65,51,6
priv****,17KsZ,지 싫어하는 정적 제거하려고 그렇게 빈집털이하듯 있는 증거 없는 증거 다 끄러모아 억지 수사 벌이더만 결국 자기가 먼저 감옥 가네,True,1,2025-01-19T05:07:05+0900,848842331627978760,15,5,0
jkle****,2lvNS,공수처가 문재인 이재명은 수사안하고 윤석열만 수사하는건 이미 내란조직이라는 거다,True,1,2025-01-19T05:02:48+0900,848842055475003457,15,5,1
cbs1****,2EwXm,죄를 지었으면 죄값을 받아야지...!,True,1,2025-01-19T03:50:10+0900,848837376007471136,25,16,2
answ****,6gflg,자자 다음은 이재명이다,True,1,2025-01-19T03:50:38+0900,848837405938024548,12,3,1
kcv4****,2bCsKb,"이 나라는 모든게 불법이고 법이 사라졌습니다
  대통령님 말이 맞습니다. 좌파 종북 반국가 세력이 이 나라를 지배하고  삼켰습니다.  어떻해야 할까요 이 나라",True,1,2025-01-19T04:31:38+0900,848840047259025477,13,6,0
sula****,bG2RT,나라가 망했다,True,1,2025-01-19T04:00:19+0900,848838030000128039,9,2,4
jkso****,2C3nx,시원하다 내란죄조사도 해야 겠지만 꺼니도 조시ㅣ좀 해야 됨 죄가 더 많은 짐승,True,1,2025-01-19T07:06:24+0900,848850017941717062,6,0,0
heco****,ilEE,누가봐도 증거인멸은 물론 재발도 가능해 보인다.  헌법과 민주주의 파괴하려고 했던 행동은 강력하게 처벌해야 반복이 안되지.,True,1,2025-01-19T06:49:31+0900,848848930677456954,10,5,0
niki****,1lm5v,형평성...너무한거 아님...?지금이라도 죄명이 넣어라,True,1,2025-01-19T11:05:07+0900,848865397800173606,5,0,0
jaew****,VgdL,"이게 법이고 제대로 된 자유민주주의 국가의 결정이라 본다.. 대통령이 법 놔두고 자기맘대로 안된다고 비상계엄 하면 그게 2시간 짜리라도 내란이 된다. 그만큼 군대를 동원하는건 신중해야 한다. 만약 이게 대통령의 고유 권한이 되는 순간 독재, 공산주의국가가 되는것이기 때문이다. 그리고 먼 훗날 정말 좌파에서 대통령이 나오면 비상계엄으로 보수 다죽을수도 있다. 윤석열이 잘못한건 자기가 거두고 가는게 맞다... 그러길래.. 왜 비상계엄을 해서는... 국민의 가슴아픈 정서를 건드리고 이땅에 자식을 군대 보낸 부모들의 자극 하냐고...쯧쯧.",True,1,2025-01-19T06:58:47+0900,848849527845683292,7,3,0
ijh8****,5hTek,사면없는 법정 최고형!!  내란 휴유증 불면증 으로 고통 받고 있다!  국짐 해체! 김거니.  빤스목사  구속!,True,1,2025-01-19T06:53:01+0900,848849155961913350,4,0,0
7448****,tHas,"2찍 댓글 부대는 한결같이 이재명  ㅎㅎ 물귀신 작전이라 하지??? 이재명이가 계엄 선포한줄 알겠네 ㅎㅎㅎㅎ
아무튼 이재명에게 자격지심 있는듯",True,1,2025-01-19T03:51:00+0900,848837430063661058,21,18,2
topo****,,,False,1,2025-01-19T06:47:27+0900,848848796996599860,0,0,0
gn74****,cNlvY,시대가 무슨시대인에 계엄령선포하구 이꼴난거니,True,1,2025-01-19T05:43:05+0900,848844650373447692,4,2,0
jgy4****,4kDUs,우린 이재명  무서운게 아니라 자유민주주의가 사회민주주의로 변질될까 걱정인겁니다,True,1,2025-01-19T10:00:59+0900,848861265991303458,3,1,0
seog****,3nStj,당연한구속!,True,1,2025-01-19T08:46:51+0900,848856489719234731,2,0,0
jhki****,cNkCA,증거인멸?    그럼 이재명은??  아 이재명이는 본인 조사못하게 검찰들 탄핵 직무정지시켰지,True,1,2025-01-19T08:40:45+0900,848856097115603111,2,0,0
azur****,GoKd,"갖다 쓰고 싶은대로 마음대로 망나나 칼춤추네~ 공산당 줄서서 참도 좋겠다. 나 자식,손자 대대로 말아먹고 살아보자.",True,1,2025-01-19T04:36:02+0900,848840330559094787,2,0,0
mapf****,7xwwb,슬프네 드디어 내전이 발생하나  결국 또 일본만 신나겠네. 코딱지만한 나라가 다시 반으로 쪼게지네,True,1,2025-01-19T04:16:21+0900,848839063392747567,2,0,0
iron****,miw1,대통령의 계엄령으로 우리가 몰랐던 사법부 군 경 검찰 등의 민낯이 다 드러나고 있다. 왜 계엄을 하셨는지 알겠다.,True,1,2025-01-19T03:29:36+0900,848836050808733788,8,7,1
kjt6****,15DQB,"국민과 민주주의의 승리다
내랸범들은 사형을 반드시 시행하라",True,1,2025-01-19T06:15:39+0900,848846748263645279,6,5,0
lxcn****,3tt4M,전과4범짜리 범법자가 당대표라고 꺼드럭거리는 순간부터 이 나라 법과 상식은 무너져 있었고 오늘 화룡점정을 찍은거다. 이제 적들이랑은 전쟁밖에 할게 없다.,True,1,2025-01-19T04:14:25+0900,848838938570260511,5,4,0
eglo****,2US7P,사법부도 다같은 한통속이다 민주당과 이재명의 개일뿐,True,1,2025-01-19T05:01:12+0900,848841952831995921,4,3,1
zhwo****,3jVfY,이제 이재명이도 벌을 받아야지!!,True,1,2025-01-19T10:18:09+0900,848862371794386987,2,1,0
woor****,12o05,간첩은 기각때리고현직대통령은 구속을 시켜.? 돌았구나.,True,1,2025-01-19T09:32:50+0900,848859452458139871,2,1,0
lhs2****,3Xf1E,"이죄명은 야당대표라 도주,증거인멸 우려없고 정진상은 이죄명이 측근이라 증거인멸 우려없고 윤석열은 주변 다 국속됐는데 증거인멸 우려있어서 구속이라고???과연 제대로된 판결일까?",True,1,2025-01-19T09:20:25+0900,848858652755361893,2,1,0
rhkr****,wbnv,"증거인멸 시도한 찢재명은 왜 기각했냐??
위증교사가 악질 증거인멸 행위인데?
모든지 형평성에 안맞고 불공정하면 비판받는거야.
논란을 만든건 판사와 법원이다.",True,1,2025-01-19T12:02:13+0900,848869076154450002,1,0,0
kdmj****,2pgwd,이제는 전과5범 대한민국의 진짜 거악 이재명 차례다! 이재명이 구속이 안된다면 이거야말로 사법부가 불공정하다는걸 반증하는것이다,True,1,2025-01-19T11:32:10+0900,848867139778510902,1,0,0
kdmj****,2pgwd,이재명은 증거인멸의 염려가 없다면서? 주변인물이 7명이나 죽어나가도 증거인멸 염려가 없다면서! 현직 대통령은 무죄추정의원칙이라는게 적용이안되나! 현직 대통령의 체포해서 구속시켜서 대한민국 국격에 참 도움이되겠다...,True,1,2025-01-19T11:27:59+0900,848866870906847511,1,0,0
such****,,,False,1,2025-01-19T10:19:03+0900,848862429172465679,0,0,0
moov****,2uj9T,그러길래 니좋아하는 술이나 퍼마시면서 검찰꼬투리라도 잡고있지 그릇도안되면서 뭐하러 대통령에 욕심냈냐.다 니말대로 됐다.임기 5년짜리 주제에 넌 그것도 못채우면서 너무겁이없어.쪽팔리게 구속이뭐냐.,True,1,2025-01-19T09:56:22+0900,848860967977615463,1,0,0
9876****,1vhn0,이젠 윤석열  잔당들 처리하라,True,1,2025-01-19T09:50:35+0900,848860596060291234,1,0,0
duop****,,,False,1,2025-01-19T09:31:17+0900,848859352818253894,0,0,0
opti****,1wlJU,얼간이 깡패 윤석열 Go! 다음은 얌생이 양아치 쌍욕 패륜 정치인과 그의 홍위병  추종자들을 내쫓을 차례.  못하면 정치혁명은 미완으로 끝나고 국가는 혼란과 쇄락의 나락으로 떨어집니다.,True,1,2025-01-19T09:31:08+0900,848859342567374891,1,0,0
tune****,,,False,1,2025-01-19T08:48:03+0900,848856567297081356,0,0,0
extr****,2jNwJ,사형까지 속전속결,True,1,2025-01-19T08:27:29+0900,848855241930571879,1,0,0
jaid****,1qEyp,"참 판사들 너무하네.
내가 알던 대한민국 맞냐!",True,1,2025-01-19T08:06:32+0900,848853891884777567,1,0,0
okj1****,1apz6,ㅋㅋㅋ부들부들~야~ 기분조타~~,True,1,2025-01-19T08:06:30+0900,848853890290942031,1,0,0
kiam****,1X12X,"어떻게 저런 사람을 앞세워서 만들어 줬는지 
도무지 이해가 안간다!!",True,1,2025-01-19T07:55:23+0900,848853173534720062,1,0,0
jybl****,ZQUa,"평생 감방에서 있길 제발 플리즈
이제 거니도 잡아넣자",True,1,2025-01-19T07:48:06+0900,848852704561201173,1,0,0
rang****,3tnBZ,"미쳐 날뚸는 늙은이들도 같은방에 넣어 줘라..
세계적으로 부끄럽다..",True,1,2025-01-19T07:22:14+0900,848851038768201758,1,0,0
st79****,,,False,1,2025-01-19T04:05:38+0900,848838372255334487,0,0,0
yonc****,4P8I0,대통령은 죄가 없다고 하시는 분들....계엄 선포를 하는 동시에 어느 누군가는 희생되었을 것이다. 일선에서 일하는 군인과 공무원들...그들의 가족...이들을 향한 희생과 비판은 누구의 몫이 되는건가요?,True,1,2025-01-19T08:15:38+0900,848854478684684424,2,2,0
jym4****,cLKLU,사형,True,1,2025-01-19T10:29:41+0900,848863114890838184,1,1,0
estk****,2uO6l,대한민국의 정의는 살아있다! 화이팅!^^,True,1,2025-01-19T10:24:34+0900,848862785252098217,1,1,0
kisa****,pPdU,2찍특) 내란범기사에 이재명얘기만함 ㅋㅋ,True,1,2025-01-19T10:02:26+0900,848861359004188794,1,1,0
cbk8****,7rPEy,"2찍들 이재명을 왜 이렇게 까지 무서워 하지  ?
지은 죄들이 많은가?",True,1,2025-01-19T09:58:49+0900,848861126220316886,1,1,0
jkso****,2C3nx,제발 사면없는 죄값 받게 해야함 만약 사면 해준다면 법은 공평해야하니  전국 교도소에 있는 재소자들도 사면해야함,True,1,2025-01-19T07:07:48+0900,848850108706455658,1,1,0
yhj9****,56Md5,그럼 이재명은 증거인멸 염려가 없어 불구속 수사하나? 당대표는 불구속 대통령은 구속하는 대한민국... 대한민국의 법은 죽었다...,True,1,2025-01-19T14:29:31+0900,848878565398151310,0,0,0
shin****,2hPQ7,앞으로 보나 뒤로 보나 모로 보나 정당성이 어디에도 없다! 당연히 범죄자이고 구속도 마땅하고 탄핵당하는 것도 당연하다! 이건 앞으로의 정치에도절대 빌미를 주지않기 위해서도 당연한 결과다!,True,1,2025-01-19T13:58:31+0900,848876568976556166,0,0,0
kill****,2ulUx,기분 좋타 ㅋㅋㅋ 오늘 저녁은 멧돼지구이나 먹어야지 ㅋㅋ 콜걸 끼고 ㅋㅋㅋ,True,1,2025-01-19T13:42:14+0900,848875519830130755,0,0,0
jsda****,2cenp,"댓글들ㅉㅉ 그저 이재명 물고늘어지기  할말없으니
이재명 물고 늘어지기 ㅋㅋ이재명 졸라 싫었는데
이젠 이재명이 불쌍해질려고하네
이정도면  윤석렬이랑 윤석렬 지지자들이
숨은 민주당 병기인듯ㅋㅋㅋ",True,1,2025-01-19T12:54:43+0900,848872458357309637,0,0,0
sang****,1dAM9,이제 딜을 하겠지? 김건희냐 너냐~ ㅋㅋㅋ,True,1,2025-01-19T12:40:31+0900,848871543277617290,0,0,0
cucu****,,,False,1,2025-01-19T12:29:04+0900,848870805432434711,0,0,0
sug1****,67jct,차은경 쓰레기네 극형으로 처벌하라,True,1,2025-01-19T12:16:17+0900,848869982208000088,0,0,0
0rla****,6VpF1,중대범죄자 이재명이 더 증거인멸하게 생겼는데??? 무슨넘의 법이 코에 걸면 코걸이 귀에 걸면 귀걸이냐,True,1,2025-01-19T11:58:55+0900,848868863922667762,0,0,0
dhsi****,1SLCn,극형으로 처리되어야 한다. 국정혼란 경제파탄 책임져라. 환율 등 안정자금으로 벌써 국고 100조 정도 투입되고 있다. 수출전선 마비 내수 마비다.,True,1,2025-01-19T11:45:43+0900,848868013015826640,0,0,0
thad****,4zIa0,"부정선거 증거 인멸을 위한 시간 끌기다
부정 선거로 확인되면 민주당만 죽을까? 사법부도 다 죽으니 죽기 살기로 발악중...",True,1,2025-01-19T11:41:46+0900,848867758757118180,0,0,0
pako****,2MTht,어우 속시원해,True,1,2025-01-19T10:03:52+0900,848861450976887031,0,0,0
asia****,31TH4,나라꼴 잘돌아간다,True,1,2025-01-19T09:57:12+0900,848861022067359811,0,0,0
bbs0****,3aSmp,증거인멸은 무슨 다구속됐는데,True,1,2025-01-19T09:56:53+0900,848861001364275474,0,0,0
shin****,L2U3,나라가 도랏다 진짜 ㅡㅡ,True,1,2025-01-19T09:23:14+0900,848858833412423733,0,0,0
pink****,3QEXI,"구속 해야지 사이비에 미친 정신 병자들이 주변에
득실득실 한데   이나라는   어르신들 때메  망한다
성조기는  언제부터  태극기와  세트 인가 
코메디  노인들",True,1,2025-01-19T09:03:39+0900,848857571581231259,0,0,0
mild****,1GRa9,자  이제 죄명이 죗값이냐 대통령이 될것이냐 현직 대통령도 구속시키는 헌법부가 죄명인 어떻게할라나 궁금하네ㅋㅋ,True,1,2025-01-19T08:42:27+0900,848856206251393106,0,0,0
koul****,1LQg9,와씨 알바들 새벽부터 겁나 풀렸네,True,1,2025-01-19T08:39:23+0900,848856009135882317,0,0,0
shch****,4lHoL,찢이나 잡아두고 제데로 해라 삼권분립은 죽었다,True,1,2025-01-19T08:27:35+0900,848855248675012734,0,0,0
ljw3****,cstQv,"대통령이고 나발이고 잘못했으면 구속되고 처벌받는거다

이 공정과상식없는 내란지지 2찍새들아",True,1,2025-01-19T08:20:46+0900,848854809665601693,0,0,0
jame****,4jENS,전과4범 리재명은?,True,1,2025-01-19T07:28:41+0900,848851453651976310,0,0,0
k871****,2dkNm,계엄법을 없애라 그럼. 계엄하면 범죄자되는데 왜있는것임?,True,1,2025-01-19T07:04:40+0900,848849906205458521,0,0,0
mcjj****,41xSc,저 멧돼지 낳고도 친모는 미역국. 먹었겠지?  친부는 지하에서 무어라 말할까?,True,1,2025-01-19T05:52:18+0900,848845244085567521,0,0,0
daro****,577Es,헌법의 준엄함을!!,True,1,2025-01-19T05:36:50+0900,848844247636377734,0,0,0
maec****,38XJ6,사형이장난이냐 자석아 너애비잘못하면 사형할꺼나,True,1,2025-01-19T04:51:06+0900,848841301255258124,0,0,0
kowo****,5OqqF,이 미친 기자놈이 대통령보고 폭동을 일윽켰다네..🐕🦜,True,1,2025-01-19T04:05:08+0900,848838340395401239,0,0,0
wkdu****,7MH6g,잘가라 다음엔 너다!!!,True,1,2025-01-19T03:59:35+0900,848837982805819449,0,0,0
appl****,2cXMY7,화장실. 드러가서 똥싸면서 이재명 찻을거니?,True,1,2025-01-19T03:56:59+0900,848837815520198774,0,0,0
mgsy****,15VJy,법____대가리 윤석렬. 법~~~OOO. 구속확정,True,1,2025-01-19T03:49:36+0900,848837339215036484,0,0,0
sizz****,,,False,1,2025-01-19T03:41:42+0900,848836830563401814,0,0,0
ji22****,,,False,1,2025-01-19T03:41:33+0900,848836821101051978,0,0,0
buge****,vwBw,폭동진압반 출동부탁 서울지법 침입 싹 잡아 넣어라 이제 내란선동 봐줄 이유 없다.,True,1,2025-01-19T03:38:51+0900,848836646718668913,0,0,0
gaga****,1LhLd,사이다,True,1,2025-01-19T03:29:40+0900,848836055003037805,4,5,0
chja****,1SznI,범죄인멸하는 이재명은 버젓이 다닌다!!!,True,1,2025-01-19T05:41:35+0900,848844553887678562,2,3,0
dill****,1Weub,현직대통령구속은 선넘었지…,True,1,2025-01-19T04:37:41+0900,848840437497069640,2,3,0
pcs6****,MzQp,저자슥  양 눈썹  비대칭 봐라   관사은 과학이여,True,1,2025-01-19T04:01:18+0900,848838093703217184,2,3,1
zozo****,eFM9c,만세!만세!만세! 구속 추카추카,True,1,2025-01-19T03:57:54+0900,848837873988796510,1,2,0
bjh0****,29gBj,"대통령은 신속 구속인데, 야당대표란 사람은 재판중에 조퇴도 시켜주고 아주 본인이 대통령보다 더 위에 수령님 처럼 행동하던게 그건 잘못된거 아닌가요?",True,1,2025-01-19T13:52:37+0900,848876188821618856,0,1,1
free****,,,False,1,2025-01-19T13:41:34+0900,848875476981121177,0,0,0
soon****,1Iz89,국적이 어디인가 나는 대일본제국이 국적이다.왜 계엄선포했는가 일제강점기를 재현시키는게 뉴라이트 목적이다.반국가세력은 조선넘들이다.왜 무리한 계엄 선포했는가 명태균 사건 덮기위해서고 나는 왕이다.조선은 없어져야한다미국만 아니었음 해방되지 못했다.억울하다. 법에 반항하는 이유는 대일본 제국만이 법이다.조선의 법은 가짜다. 국민이란? 뉴라이트와 추종자들이고 배신자는 용서할 수 없다.,True,1,2025-01-19T13:35:30+0900,848875085367345288,0,1,0
lsi5****,646LS,서부지법은 양심있는 판사가 하나도 없는 좌파들만 가득하다는것을 이번에 잘봤다 ᆢ어쩐지 휴일에 영장청구해서 안그런척 쇼하더니 개판을 치는구나,True,1,2025-01-19T13:35:27+0900,848875082515218568,0,1,0
moom****,a3BsP,큰 그림은 이재명 감옥에 넣기 위한 시나리오 일듯 윤석렬 구속 후 이재명 구속 후 윤석렬 석방ㅋㅋㅋㅋ,True,1,2025-01-19T09:46:17+0900,848860318263148629,0,1,0
occ2****,503xy,너희들은  다 죄명이 백성들이다  죄명이니까 조퇴도 가능하다  서부지법 좌파의 승리다,True,1,2025-01-19T07:43:26+0900,848852404249034816,0,1,0
park****,9wyjL,지금 이야말로 계엄이 필요 하다.,True,1,2025-01-19T05:47:10+0900,848844913926733838,0,1,0
lieb****,5L4tM,내란수괴,True,1,2025-01-19T04:17:18+0900,848839124545699866,0,1,0
mdce****,eVUF2,감사합니다  고맙습니다,True,1,2025-01-19T03:50:33+0900,848837401190072409,0,1,0
leei****,2yPdQ,하야 했어야지 개탄스럽다! 빵에는 안갈수도 있었는데 강제금주하고 싶어서 그런거였나! ㅉㅉ 피해본사람들만 불쌍하게 됏구만,True,1,2025-01-19T03:45:28+0900,848837073648484430,0,1,0
iope****,5N0Iy,사법부가 정말 바닥까지 갔구나,True,1,2025-01-19T08:17:30+0900,848854598742442089,1,3,0
sos9****,18SsE,나라의 법치가  완전히 무너졌다,True,1,2025-01-19T06:37:35+0900,848848161643429956,0,2,1
youn****,d49jO,불법에 불법  불법이  자팽되고  있는  나라  막네요,True,1,2025-01-19T05:33:16+0900,848844017956290610,0,2,0
muzi****,c5BJ1,내란 수괴 이노옴~~~,True,1,2025-01-19T03:40:37+0900,848836761005064271,0,2,0
ksy3****,,,False,1,2025-01-19T04:30:47+0900,848839992917622863,0,0,0
aiwa****,eoTx,당연한 결과임. 국민이 이겼자~,True,1,2025-01-19T03:20:54+0900,848835490399387770,12,20,3
