user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
poog****,,,False,1,2024-11-18T18:26:13+0900,843141995298816089,0,0,6
ch22****,5zuXT,"빙고!.....아무리 견판새가 이재명을 대통령 못되게 막아줘도, 윤석열 자신이 마누라밖에 모르고, 대통령다움이 1도없이 개판을 쳐대서 결국은 견판새의 판결마저 무용지울로 만든다....이 말씀 ?",True,1,2024-11-18T19:02:52+0900,843144356440310034,63,21,0
laby****,fp15,아직 대통령이 뭐하는 자리인지 모르는 모지리,True,1,2024-11-18T18:58:47+0900,843144093524558093,27,9,0
bc22****,,,False,1,2024-11-18T19:35:15+0900,843146441965699171,0,0,3
sols****,UsoD,범죄자를 구하는 것은 법의 준엄한 심판을 받고 형을 이행하는 것 뿐이지. 형을 다 살면 일반인처럼 구원받고 살것이다. 무능한 대통령은 그 것대로 심판 받는 것이지 범죄자의 범죄를 무엇으로 구원하니. 되도 않는 논리로 혹세 무민하지말고 능력 안되면 기사 쓰지 말라.,True,1,2024-11-18T19:34:36+0900,843146400089768146,24,14,2
golg****,1iATp,김거니에 기생하는 생물을 뭐라 불러야 하나??,True,1,2024-11-18T18:48:27+0900,843143427016097930,12,6,3
pica****,NxHY,말도 안되는 정치검찰과 사법부의 사법살인 시도 절대 용서받지 못할것이다,True,1,2024-11-18T20:30:56+0900,843150029706232129,6,0,0
fcki****,1S7sD,"댓글이 웃긴게 이재명은 이재명이고 윤석열은 윤석열  아니 김건희는 김건희다. 국민이 원하는것은 이재명 무죄도 아니고 이재명 유죄도 아니다. 이재명과 똑같은 잣대로 윤석열, 김건희,한동훈을 털어보라는거다",True,1,2024-11-18T20:26:18+0900,843149731440885878,6,0,0
tope****,5hOpE,아내를 보호하기 위해 대통령의 지위와 권한을 남용한 윤석열을 파면한다…건흰년은  감빵으로 ..,True,1,2024-11-18T21:20:32+0900,843153224776024241,5,0,0
tige****,1scxN,본인도 이재명 방탄 하는것 고백하시는건 가요?,True,1,2024-11-18T19:37:08+0900,843146563902505018,7,4,0
choi****,oCYe,사법부의 일은 사법적으로만 봐야 공정함이 산다. 거기에 행정부의 입장과 입법부의 압력을 개입시키면 민주주의를 지키는 삼권분립과 견제가 무너진다. 기자의 시선 자체가 정치로 왜곡되어 이상한 해석을 안다. 자기가 뭘 좀 안다고 생각하는것 같은데 그건 정치권력의 시각에서만 그렇기 보이는 것이다. 한걸음 떨어져 공정한 법집행이 민주주의를 지키는 마지막 장치임을 알고 글을 써라. 정의로 세상이 움직여야지 계산으로 움직이는 세상이 오면 안된다,True,1,2024-11-18T21:42:02+0900,843154610288853010,4,1,0
jins****,3dZzU,"웃기는 사람이네. 이재명씨는 본인의 죄과를 치루면 되고
윤석열 김건희는 본인들이 잘못된 행동에 책임을 지게 될 것. 두개를 묶지 마세요",True,1,2024-11-18T19:35:24+0900,843146451511935123,4,1,0
seom****,dxnDU,너무 정확하고 냉철한 판단 당신은 기자 자격이 있습니다,True,1,2024-11-18T20:23:19+0900,843149539006218363,5,3,0
leeh****,5Ghnl,네놈이 언론인이라면 기사 똑바로 쓰라,True,1,2024-11-18T19:39:20+0900,843146705250549879,4,2,0
ibun****,6rCtd,"참 경향!!스럽다..
1.웃기는 경향!!!
2.우기는 경향!!!",True,1,2024-11-18T19:30:05+0900,843146109407723550,3,1,0
stca****,,,False,1,2024-11-18T22:11:10+0900,843156486770130999,0,0,0
fks0****,1Fsvi,이재명의 심판결과가 이틀만에 김건희.윤석열에 밀리네~~~대통령실이 잘했으면 일주일도 더갈 이슈가 아닌가  억지로만든 징역1년이 무혐의가 다 잡아먹고 있는거 보니 이제 윤건희의 탄핵은 되돌릴 수가 없는거 같다,True,1,2024-11-18T20:46:12+0900,843151013052416070,2,0,0
sms4****,1HnLD,무슨소리야?  둘다 보내야지..,True,1,2024-11-18T19:15:26+0900,843145165236338833,2,0,0
jung****,,,False,1,2024-11-18T19:08:42+0900,843144732182839513,0,0,0
kdl0****,1YQ9V,"양권모!
생각자체가 편향적이고  삐뚤어져 보이네요",True,1,2024-11-18T19:21:18+0900,843145543881326693,5,4,0
sjsb****,1LmoD,국민절반이지지하고 제일야당대표인 이재명을 토론회에서 말같지도안은말한마디가지고 집유징역형을때리고 그걸보면서 웃고 박수치고 우롱하는 국짐당의모습을보면서 저들이진정 정부여당의국회의원인지 탈을쓴사이비종교인들인지 본모습을모르겠다,True,1,2024-11-18T20:32:11+0900,843150110656299074,4,3,1
deak****,aq6z,"이소설가도개딸이네...
재명이가대통령?이재명이무죄면유영철도무죄다.",True,1,2024-11-18T21:14:46+0900,843152853513011474,3,2,0
wyt0****,59lR2,외모가 잘생기고 못생기고 떠나서 골수좌파들은 이글을쓴 컬럼리스트처럼 묘하게 모두가 인상이 저렇게 비슷하게 생겼더라 모두들 부정적으로 인생을 살아와서 그런가?,True,1,2024-11-18T22:25:55+0900,843157437836951865,2,1,0
gafi****,2K0W7,뭐지 이 개소리는?! 횡설수설 정신승리 1찍 모습. ㅋ,True,1,2024-11-18T21:15:14+0900,843152884131430474,2,1,0
oh72****,5uRqH,경향답네..안본다.다시는~~,True,1,2024-11-19T09:53:56+0900,843201763023520108,1,0,0
rosa****,8jaEm,사악한 모지리. 그 끝은 지옥불일거임.,True,1,2024-11-18T22:09:17+0900,843156365386973297,1,0,0
daig****,1TdjT,아내를 보호하기 위해 대통령의 지위와 권한을 남용한 윤석열을 파면한다,True,1,2024-11-18T21:14:17+0900,843152822307389526,1,0,0
aks5****,f6rf,그게 서로 짬짬이를 하며 지내고 있다는 것이 말이되?   뇌속에 뭐가 들어있는건지.  그동안 세치혀로 칼럼썼구먼.,True,1,2024-11-18T21:07:54+0900,843152411483701582,1,0,0
gudz****,3YwCg,"우웩우웩우웩!! 징글징글한 좌파의 혹세무민, 조작선동!!~~",True,1,2024-11-18T21:05:43+0900,843152270924185845,1,0,0
akar****,3FJ4M,이렇게 얘기를 해도 또라이 석열이는 이해를 못하는게 문제야.,True,1,2024-11-18T20:47:08+0900,843151073249067043,1,0,0
reco****,1TCaC,너네들은 트집 잡을게 없어서  김건희를 대선 전부터  지금까지 물고 씹고 있냐!,True,1,2024-11-18T20:44:06+0900,843150877760946220,1,0,0
duty****,,,False,1,2024-11-18T20:39:57+0900,843150610717999439,0,0,1
smen****,2bYSFt,윤석렬의 링게르는 무속이고 이재명의 생명줄은 윤석렬?,True,1,2024-11-18T19:41:16+0900,843146829938819168,1,0,0
hjk_****,,,False,1,2024-11-18T19:39:03+0900,843146686678171673,0,0,0
lmb7****,,,False,1,2024-11-18T19:28:04+0900,843145979501740058,0,0,0
bmch****,2jJ8n,이재명은 이재명이니 자폭으로 마감할것이다 ᆢ,True,1,2024-11-18T21:48:27+0900,843155023998222482,2,2,0
yabu****,,,False,1,2024-11-18T19:20:58+0900,843145521718624531,0,0,0
nosc****,4Gvbt,"죽지 않는 이재명이라서 ,   하느님도 못 죽인다 !",True,1,2024-11-18T18:20:24+0900,843141619858276499,2,2,0
haja****,9slAf,이글 글이라고  쓰나 ??  한심,True,1,2024-11-18T22:35:02+0900,843158024754298892,1,1,0
wlsv****,5HNIC,이재명은 반드시 살고 굥거니는 비명횡사  할 것이오. 멸굥! 멸콜! 😚,True,1,2024-11-18T22:17:00+0900,843156862948868100,1,1,0
pphs****,d1nad,경향은 이죄명의 개인 신문이네 너것들이 아무리 죄명이 보호하려고ㅇ해도 국민들이 다 보고 있다,True,1,2024-11-18T21:57:42+0900,843155619337732363,1,1,0
nchp****,,,False,1,2024-11-18T21:51:51+0900,843155242991223082,0,0,0
