user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
diet****,1oYC2,국힘당은 기소없고 민주당만 기소하는 정치검새들은?,True,1,2024-11-27T23:29:50+0900,843996497178525946,6,2,0
anjc****,,,False,1,2024-11-27T21:58:26+0900,843990608258269332,0,0,0
knit****,9adza,"지금은 고인이 됐지만  혹자는 정치는 4류라고 했다
 문제는 진짜 정치다 국힘에 대해서는 그냥 평가하고 싶지도 않다 지난 문재인정권 부터 지금 민주당도 대안이 되기에는 많은 문제점이 있다 사회 대개혁이 필요한 한국 사회지만 그걸 추동할 세력이 너무 미약하다는게 이땅에 비극이다.",True,1,2024-11-28T11:13:50+0900,844041851764736348,2,0,0
kord****,2IRSB,"거꾸로는 생각 안 해봄? 문재인이 윤석열을 대통 만들고 이재명이 윤석열의 대통 자리를 지켜주고 있다고. 모두의 말대로 무능한 윤석열이 무슨 능력으로 대통하겠어? 그저 문재인과 이재명의 대를 이은 민주당과 국민 인질극이 이 막장울 만든거지. 잊지마, 박정희를 키워준게 김일성이야. 그렇게 두 빌런이 공존한거지. 국민은 인질로 동원될 뿐.",True,1,2024-11-28T09:44:17+0900,844036082130485325,2,0,1
ham8****,2BwPw,진짜 너무 훌륭한 사설입니다.,True,1,2024-12-02T00:24:17+0900,844371089730568260,0,0,0
mypi****,cmQDt,"지난번 총선때 공천하는거 보면 이재명이 집권하면 아마 윤석열을 능가하는 행태를 보일 것이다. 친명 횡재, 비명 횡사! 대한민국의 미래가 걱정이다.",True,1,2024-12-01T22:55:13+0900,844365351587151943,0,0,0
sdj0****,ktPD,손호철 이듣보잡이는 뭐지라 ? 😁 ㅋㅋ,True,1,2024-11-28T22:26:41+0900,844085200014016738,0,0,0
woob****,1XxUT,죄 없는 자가 먼저 이 여자를 돌로 치라고 하였는데 남을 공개적으로 정죄하는 이 도덕군자는 뉘신가?,True,1,2024-11-28T13:06:18+0900,844049097391341696,0,0,0
woob****,,,False,1,2024-11-28T13:02:20+0900,844048841622683781,0,0,0
espo****,,,False,1,2024-11-28T12:34:46+0900,844047065536266505,0,0,0
htg1****,2cI9vN,"더이상 미룰일이 아니다!!
하루 빨리 처리해서 끌어 내리자!!
특검으로 밝혀야 한다!!
검사들 손놓고 강건너 불구경 하는 중인가?
아닌가?!!",True,1,2024-11-27T21:23:52+0900,843988381351280937,5,6,0
hhap****,4LLfO,특권층만 잘 살겠다는 기득권세력들이 스팩없는 이재명을. 제거하려는. 극보수언론과 검찰들이다,True,1,2024-11-28T02:45:25+0900,844009097555607587,2,3,0
rise****,5chrA,이 정권도 빨리 끝내야 되는데 차기에 권력을 움켜쥘 놈은 지금보다 더 하니 이를 어찌하면 좋을까? 정치권력 때문에 죽어나는 것은 국민 뿐.,True,1,2024-11-28T06:16:50+0900,844022718155194468,1,2,0
sjsp****,3k6Wm,손 교수 나불랭이 양반 무슨 글이 양비론적이니?처음엔 윤씨를 비 판하다 민주당을 비판하니 무슨 말인지 모르겠다 그냥 가만히 있다가 곱게 은퇴하세요 이런 이상한 교수에게 컬럼을 부탁한 경향도 문제어 심각성이 있다,True,1,2024-11-28T07:01:48+0900,844025614691205240,0,2,0
jazz****,24v5n,답은 정해져 있네? 이재명 부부와 김긴희 부부 같이 가라는 소리네? 너도 같이 가라!,True,1,2024-11-28T04:22:02+0900,844015321349095431,0,2,0
holy****,7qFNq,"왜곡인데

문재인과 조국이 윤석열을 대통령으로 만들어주고

결정적인 것은 김혜경의 법카로 이재명 덕분에 대통령 되었는데...

석열이와 건희가 감빵가든 안가든

잘못한게 있으면 감빵가야지

그런데

먼저 감빵 갈 사람들이 가야지

재명이 혜경이 조국이 정숙이 정숙이 딸

그외 감빵갈 사람들이 의원하고 이게 말이 되나?!",True,1,2024-11-28T01:18:38+0900,844003506816811082,0,2,1
