user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
pago****,2wlek,"중이 부처만 바라보고  전진해야지,,,,세속의 정치행위에,,,,,발을 집어넣어서,,,,,개망신이다",True,1,2025-01-16T16:52:37+0900,848609471369314562,14,2,0
iyja****,,,False,1,2025-01-16T15:23:38+0900,848603738259063071,0,0,0
qhrd****,exMFd,"수행 더하세요
그 정신으로 어떻게 그자리까지 올랐는지
불자들까지 욕 먹게 하지마시요",True,1,2025-01-16T20:14:36+0900,848622483811598561,11,0,0
jaso****,2ky4w,뭐가 뭔지도 모르고 서명할 거면 봉은사 주지도 하제 말고 법문도 하지 말라. 장기간 면벽 성찰하고 그 반성 결과를 세상에 알려 성찰의 수순을 평불자들이 평가하도록 하라. 그길 만이 진정한 참회일지라.,True,1,2025-01-16T17:01:20+0900,848610032500080783,11,0,0
wjdr****,417jZ,추악한 떙중,True,1,2025-01-16T18:19:51+0900,848615090713264381,11,1,2
0gol****,1i0sF,"강남 노른자땅 한복판 봉은사주지 재산만 수천억원대, - 부자는 빨간당",True,1,2025-01-17T08:30:13+0900,848669875286048823,10,1,0
come****,,,False,1,2025-01-16T21:16:30+0900,848626471353188538,0,0,2
smol****,MVm6,내란 옹호 땡중,True,1,2025-01-16T20:24:30+0900,848623121110925468,9,0,0
ogug****,21Vlw,"더러운 권력에 붙어 먹으며 ""하나님"" ""부처님"" 나불거리는 목사, 중들은 다 사기꾼일 뿐!",True,1,2025-01-16T18:01:00+0900,848613876764246019,9,0,0
sjd1****,1Usmg,"나도 불교인이다마는 저런 저질 땡중이 있다는
거에 분노가 난다",True,1,2025-01-16T17:56:10+0900,848613564842246234,9,0,0
dave****,kjJK,이제 그만 속세로 가세요....정치물을 마이 드셨네..,True,1,2025-01-16T17:17:30+0900,848611074633629918,9,0,0
free****,,,False,1,2025-01-16T15:15:56+0900,848603242693657007,0,0,0
bosu****,,,False,1,2025-01-16T18:50:51+0900,848617088376373532,0,0,1
run0****,Mdd5,"부처님을 섬기시는 분이 옳은일 잘못된일 판단도 안하고 내용도 모르고 이름 올렸다니...더 화나요.  삶을 대하는 올바른 자세와 
지혜를 가르쳐 주셔야 할 분들이 사리사욕 물질욕 매몰된 결과라 생각되 씁슬합니다!",True,1,2025-01-19T15:49:13+0900,848883700887191614,8,0,0
jdh2****,cZfko,모르고 했다고? 에혀 참,True,1,2025-01-17T00:27:46+0900,848638793832464557,8,0,0
chs3****,,,False,1,2025-01-16T20:38:29+0900,848624022550741161,0,0,0
sunj****,3lqSb,"수많은 사찰중 강남 봉은사?
어떻게 살아왔는지 짐작이 되네.
부처님께 부끄럽지 않은가?",True,1,2025-01-16T20:15:44+0900,848622557211918587,8,0,0
kimh****,62q2,이런 넘은 조계종서 퇴출시켜야 한다... 불자 국민을 대할 자격 없는 노인네에 불과하다!!,True,1,2025-01-16T19:46:08+0900,848620650279993384,8,0,0
ssae****,4B1cG,중놈이 절간에서 수행이나 하지 현세에 기웃거리긴.,True,1,2025-01-16T19:44:33+0900,848620547720872118,8,0,0
jals****,uflD,스님이란 놈이 참 힌심하다. 머리 길러라.,True,1,2025-01-16T19:21:46+0900,848619080133902567,8,0,0
pax3****,,,False,1,2025-01-16T17:17:33+0900,848611077619974352,0,0,0
bsk_****,dluFj,기독교만 전광훈이 있는줄  알았더니  불교는 원명이 있었구나  ᆢ,True,1,2025-01-16T16:35:18+0900,848608355902554245,8,0,0
kyhh****,2V6rD,정권에 빌붙어 사리사욕 챙기려는 땡중들이 설치는구나? 나라에 오너 하나 잘못뽑아 구석구석 안썩은데가 없다.,True,1,2025-01-16T16:15:18+0900,848607067211038860,8,0,0
whit****,2f4Rs,우리 전통 무속도 아닌 소껍데기나 벗기는 일본 잡주술이나 하는 저질 수준에... 어떻게 조계종 스님이  발을 담가?,True,1,2025-01-16T16:10:44+0900,848606773324546384,8,0,0
bonh****,5zn2m,스님이 아니고 그냥 극우다.,True,1,2025-01-16T14:29:03+0900,848600221603594281,8,0,0
dolc****,eNtdg,스님아 잘모르지도 않았겠지만 모르면서 왜나대요? 조계종에서 큰자리하나 차지하고싶었어요? 속세로 돌아가서 큰욕심내고사세요 부처님을 모실자격이 없습니다,True,1,2025-01-16T14:14:38+0900,848599293051797780,8,0,0
kkj7****,4Ott7,이일로서  수많은  불자들이  불교계를  떠났다,True,1,2025-01-16T19:09:01+0900,848618258872401927,9,2,0
zomb****,1KpxN,내란수괴에 빌붙어 호의호식하는 놈은 스님이 아니라 우리는 사이비 땡중이라 부른다,True,1,2025-01-16T19:15:09+0900,848618653371859007,8,1,0
jiha****,bgxL6,무슨 내용인지 모르고 발의에 참가했다? 땡중이가?  윤멍청이 같은 지저분한 소리 찌껄이노,True,1,2025-01-16T16:18:10+0900,848607251475202118,8,1,0
cnyc****,1iOnH,"중이 정치에 끼어들면 그게
중이냐?",True,1,2025-01-16T15:14:29+0900,848603149093568734,8,1,0
eyel****,1lMuP,모르쇠로 발뺌하는 건 속세의 인간들과 똑같은 속물인정,True,1,2025-01-17T06:53:01+0900,848663613089513476,7,0,0
sem3****,2WBj1,당신같은자 때문에 모든불자가 욕척먹는다 🐕 자식아,True,1,2025-01-16T19:38:34+0900,848620162566324427,7,0,0
inlo****,1qjVJ,인간 이하가 종교인인 사람 많네.기독교든 불교든..,True,1,2025-01-16T19:05:51+0900,848618054374916349,7,0,0
