user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
mama****,6lgmI,"구속 기소 빨리하라는 뜻,,, 나머지 내란 공범들과 여죄들은 특검으로 수사, 기소하라는 뜻   ; 특검법 거부하면 최상목을 탄핵하고, 구속 수사해서 법치, 민주주의 바로 세워야함",True,1,2025-01-25T22:15:10+0900,849465193338503215,968,267,21
dusk****,,,False,1,2025-01-25T22:14:37+0900,849465157787582662,0,0,11
o815****,2Vzrd,쫄다구들 대부분이 구속 기소 된 마당에 그 수장이 불구속 기소된다면 말이 되겠나? 구속 기소로 가는 것이 당연한 것이지. 가뜩이나 쫄다구들에게 죄를 못 밀어 안달이더만.,True,1,2025-01-25T22:17:15+0900,849465327136800837,397,77,10
hany****,6cjt5,"어차피 조사도 출석 인할 거잖아.
한다해도 묵비권 할거고.
바로 기소해라.잘됬지",True,1,2025-01-25T22:18:32+0900,849465410066579639,260,32,1
moon****,7T0HC,기소청 검찰은 빨리 구속기소 해라 법원이 빨리 석열이 사형시킨다고 하네~~,True,1,2025-01-25T22:10:02+0900,849464862072373263,209,64,5
kill****,1afcT,차라리 빨리 탄핵 인용 결정나고 조기대선을 치르는 걸 보고싶습니다. 윤이 하는 미친 말들을  지지자들이 믿어주니 더 선을 넘고있는데 지켜보기가 힘이 드네요. 비상식적인 일들이 계속되는게요.,True,1,2025-01-26T00:01:25+0900,849472038341967962,11,1,1
name****,LWRl,"이게 법원이 나쁜 게 아니다... 어차피 이미 검찰이 수사해놓은 것도 있고, 공수처가 수사한 것 포함하면 이미 충분하다는 소리... 어차피 검찰 가서 윤석열이 입 열 것도 아니고... 그냥 시간 버리지 말고 지체 없이 기소하라는 말인 듯... 윤석열은 시간 질질 끌어야 될 텐데, 윤석열 입장에서도 당황스러운 결과로 보인다..............",True,1,2025-01-26T00:00:10+0900,849471957006024749,11,1,0
dong****,hBnm,"탄핵이 계몽이다. 저리 앞뒤못가리는 반폭도세력...명태균게이트도 모르쇠하는, 친일로 역사를 부끄럽게하는, 검세독재로 하늘을 가리는, 건희사랑  국민의 눈을 가리는, 총들고 잡아들이면 자유민주주의가 실현될거라는...탄핵만이 자유민주주의를 지키는것임을.",True,1,2025-01-26T07:18:46+0900,849500213763637311,10,1,1
smm0****,1Z0sq,온 국민이 밤새며 지켜본 계엄선포 과정을 개검이 어떻게 할지 예상하기에 빌미를 주지 않을려는 판사의 선택이다. 개검들아 즉시 최고형으로 기소해야 그나마 국민의 검찰인 것이다.,True,1,2025-01-26T07:02:55+0900,849499193423691873,9,0,0
turl****,aC5D8,"윤가는 빵에서도 폭동을 선동하고 있다. 이런 사람을
풀어줘서는 절대 안된다. 구속된 상태에서 재판을 받아 사회에서 영원히 격리시켜라.",True,1,2025-01-26T07:25:15+0900,849500632187404310,10,2,0
