user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jl28****,CWJV,먼소리?개엄 잘했다메? 탄핵도 반대하고...왜?중도표가 아쉬워? 그 억지스런 한마디에 중도가 표 줄거같냐? 너 순딩이냐? 아님 머절이냐?중도를 우습게 아는자에겐 나라를 맡길수 없다. 박정희때 데모했던노미 지금은 박정희를 빨다니 이런 변절자 소신.철학도 없이 왔다리 갔다리...국회에서 사과 안하고 뻣뻣이 있어서 지지율 좋았자늬?지금도 뻣뻣히 개엄찬성 윤복귀 외쳐봐라.집사라며? 근데 무속인 윤거니를 빨다니...가짜신도..구역질..전광훈같은넘을 추종하던자가 니 예수 똑바로 믿어라,True,1,2025-05-12T22:08:48+0900,859391310895776006,16,0,0
bbn4****,2eKfV,"고개빳빳하게  앉아있을때는 언제고?? ㅋㅋ 니가 암만 그렇게 덮으려해도,, 다른 국무위원들 다 일어나서 고개숙일때 고고한척 자리지키던거 국민들이 다 지켜봤는데 그게 지워지겠냐 ㅉㅉ",True,1,2025-05-12T22:08:36+0900,859391298530967752,13,0,0
wing****,7FxvE,고담 대구 서문시장 외엔 갈곳 없는 내란 종자들. 니들은 완전박멸이 답,True,1,2025-05-12T20:59:26+0900,859386842401734769,12,0,0
ohsu****,3RbKo,장관 할때는 국회에서 모든국무위원들 일어나 계엄령 사과 하라고 야당의원이 요구 할때는 저 혼자 끝까지 앉아 사과도 안했던 날강도가 이제 와서 뭔 개소리 나팔이냐.,True,1,2025-05-12T21:05:29+0900,859387232086130844,11,0,0
zee0****,9cTbS,"그래봤자  국민들   힘들게 할  김문수 
무능하고 준비안된 대통령 윤석렬 박근혜  충분해요   더이상 나와선 안됩니다",True,1,2025-05-12T22:18:58+0900,859391965945397552,12,2,0
swww****,bcN4h,"국회에서 고개빳빳이들고 앉아있더니
후보되니까 사과한다구요?글쎄요 진심일까요?",True,1,2025-05-12T22:39:24+0900,859393282621309064,10,0,0
ms04****,eUFbk,김문수는 윤썩열내란수괴의 구테타를 찬성하고 탄핵을 반대했던 녀석으로 전광훈교주와 일체화된 반국가세력,True,1,2025-05-12T21:30:00+0900,859388811711348739,11,2,0
fd75****,,,False,1,2025-05-13T03:59:28+0900,859413903128395799,0,0,0
cher****,11H4Q,이제와서 사과한다고?! 아직도 국민을 개 돼지로 아는구나!! 비상계엄 해제 요구 결의안 당시 국회에 국짐당은 고작 18명 뿐이었다는 것을 국민들은 잊지 않고 있다!,True,1,2025-05-13T06:41:43+0900,859424355619176550,9,0,0
yoon****,2DJux,전광훈이가 나라를 좌지우지 못 하도록 국민이 정신차려야 한다. 안그러면 여러분이 개돼지 된다,True,1,2025-05-13T06:03:16+0900,859421878060580884,10,2,0
