user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
futu****,,,False,1,2025-05-13T09:14:58+0900,859434228272595251,0,0,0
seed****,2QsMN,그런 넌!~왜!?~탄핵특검때 소신껏 투표하지 못했는데!!??...선거때 얼굴색 바꾸고 입으로만 나불대는건~이제 신물난다!!!~고마해라.....,True,1,2025-05-13T09:56:57+0900,859436933112136053,8,0,0
star****,2EW9T,"12.3 계엄 이후 5월까지 반년동안 주구장창…..계엄 찬성,,,탄핵,파면 반대,,,,체포 방해,반대..,…내란수괴 윤석열 풀어주면서까지 주구장창  주장했었는데…..대선 되어서 선거때 되니,,,.개,돼지들 기억력 떨어진다고……표구걸하면서 사과 한다고 하면.,.,,..,,.그 사과를 받아야 하는 겁니까 ????  내란정당 개,돼지들은 그런걸 사과라고 하나요 ???",True,1,2025-05-13T09:26:47+0900,859434989438107927,7,0,0
whdm****,5BQNX,흰장갑은 끼고 닦아라.. 그리고 이름 앞에 서야지... 사진 찍으려고 묘비 뒤에 서있는데 토나오더라.. 니 묘비 앞에서 너같은 의원이 쇼한다고 생각해봐라.. 하려면 좀 잘해라..,True,1,2025-05-13T09:03:52+0900,859433514016178406,7,0,0
citr****,WpX9,국립묘지가서 문수는 채상병이 누군지도 모르고 용태는 채상병이 연평해전이라 하던데 ㅋㅋㅋ,True,1,2025-05-13T10:53:38+0900,859440584891302147,6,0,1
mrjq****,2cFeR2,내란당 주제에 뚫린 입이라고 말은...그러면 왜 특검은 반대하냐???,True,1,2025-05-13T09:08:00+0900,859433779381403649,6,0,0
hcso****,icrR,그러는 용태 너도 계엄때 투표안했자나,True,1,2025-05-13T10:13:21+0900,859437990244515967,5,0,0
swsw****,7J2Da,"채상병 묘역 미방문도 문제였지만 김문수,김용태 둘 다 누군지도 모르는게 더 문제더라. 김문수가 누구 하니까 김용태가 연평해전 말하고 있더라ㅉㅉ",True,1,2025-05-13T09:21:54+0900,859434675033080116,5,0,0
ksno****,1K91i,탄핵을 반대했다는 것은 내란 잔당이란 의미. 사회에서 격리해야 한다.,True,1,2025-05-13T09:04:29+0900,859433553593630869,5,0,0
last****,1mMWR,탄핵의 강을 넘는건 윤석열 제명부터 시작이다.,True,1,2025-05-13T09:03:03+0900,859433460865957901,5,0,0
just****,F1zg,국짐은 정당해산하고 구태 정치인들 배제한 재창당 아니면 가망없음,True,1,2025-05-13T10:08:58+0900,859437708018188691,4,0,0
jhw6****,4gKyT,용태야 권성동이가 옆에 붙어 있는한 절대로 못이긴다,True,1,2025-05-13T10:07:11+0900,859437592540610634,4,0,0
sun0****,6u5Wg,채상병 묘소 미방문의 문제보단 김문수는 채상병이 누군지도 모르고 채상병사건이 왜 문제가 됐는지 조차 모른다는 거지. 전 국민이 다 알고 있는 문제인데.,True,1,2025-05-13T09:32:35+0900,859435363167371474,4,0,0
337k****,1owGN,사고방식이 상식에 맞지 않는데 어떻게 상식적인 말이 나오죠? 잠깐 표를 받기 위해서는 어떨지 몰라도 김구가 중국인이라는 생각을 가졌는데 그 말을 어찌 신로하나요..,True,1,2025-05-13T09:28:30+0900,859435100234842287,4,0,0
ssup****,2f2I3,이준석 한번 2등 만들어줘보자!!,True,1,2025-05-13T09:13:59+0900,859434165760688425,4,0,0
zwit****,29Q6n,진심도 아닌 질질 끌려서 하는 사과가 무슨 소용이냐? 그냥 하던대로 해라..되도않는 쇼하지 말고..누가 속는다고..ㅉㅉ,True,1,2025-05-13T10:22:55+0900,859438606069006719,4,1,0
bett****,2cgb4,도긴개긴. 채상병이 누고 묻는 놈이나 연평해전이요 답하는 놈이나..,True,1,2025-05-13T11:44:32+0900,859443863964614900,3,0,0
ipar****,4ebGc,입장 같은 소리 하고 있네. 나라와 국민의 입장을 생각했다면 감히 21세기 대한민국에서 게엄할 생각을 했겠냐. 그땐 입장 생각 못했고 지금은 입장 생각하느라 뜸들이냐?,True,1,2025-05-13T09:32:11+0900,859435337280127047,3,0,0
yang****,4mIk6,김용태!!! 너희들이 상식에 맞는 짓은 후보를 내지 않는 것이다. 내란범을 적극적으로 옹호하고 전광훈과 같은 사이비 목사와 손잡은 것을 후보로 내세워 무슨 감언이설로 국민을 농락하려 드느냐!!! 그냥 주~욱 내란범을 옹호하고 탄핵을 반대한 입장으로 국민들의 평가를 받아라.ㅠㅠ,True,1,2025-05-13T09:21:07+0900,859434625020198949,3,0,0
cds0****,15ELW,"젊은 놈이 대가리부터 썩었네. 가짓말을 해도 앞뒤가 맞는 말을 해야지 채상병을 모르는데, 뭔 현장 수행 팀 탓을 해.쓰레기들은 정치를 못하게  정당 해산 해야 된다.",True,1,2025-05-13T09:21:03+0900,859434620825894935,3,0,0
kjsb****,2Dx9D,내란당 전광훈 2중대 🐕 🍎 김문수가 떠드는 것 보다는 내란 수괴 윤석열 국가반역 1호 정당 국민의힘은 해체가 국정 안정에 큰 보탬이 될 것이다.,True,1,2025-05-13T09:14:26+0900,859434194399395967,3,0,0
jhc2****,285m7,피다가 시들어 버리고말 사꾸라 자식,True,1,2025-05-13T09:09:52+0900,859433900546457885,3,0,0
eric****,4Lprc,"ㅋ 니네들의 상식은 늘 국민의 상식을 배신해 왔지!!! 그래서 다시 상식이 문제야, 이 바보이~~",True,1,2025-05-13T09:09:08+0900,859433852613951548,3,0,0
