user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
pwss****,2X8p8,"도리? 누구를 위한 도리인가?
헌법질서를 파괴하고 국민을 배신한
내란수괴를 옹호하는게 도리인가?",True,1,2025-05-13T11:56:25+0900,859444630465282233,9,0,1
mkd0****,2xSkM,국민에 대한 도리는 없고?  윤 한테만 도리 지키고?,True,1,2025-05-13T11:34:32+0900,859443219719520553,7,0,0
kdbs****,SXD4,"역시....내란문수, 친일문수, 사이비(종교)문수의 본질은 어쩔 수 없구나. 대통령 자격이라곤 찿아볼 수가 없다. 전광훈이하고 놀면 딱이다.",True,1,2025-05-13T11:01:09+0900,859441069350191163,7,0,1
clev****,24xe9,대통령 자리가 내란범한테 의리나 지키는 자리냐  낙선하고 나서 옥바라지나 하면 딱 수준에 맞겠다 ㅋ,True,1,2025-05-13T10:46:06+0900,859440099811655719,7,0,0
wjk0****,4Gqft,"내란 수괴를 출당도 하지 못하는 게 공당이고, 대통령 후보냐? 저들은 친일파 기득권 지킴이, 수구 세력일 뿐, 대한민국에서 사라져야 할 집단이다.",True,1,2025-05-13T11:04:42+0900,859441297671323950,7,1,0
youn****,4IfUB,윤석열 내치면 전광훈이가 난리를 칠테니.. 못 떼어내겠지. ㅉㅉ 저런게 대통 후보라니... 한심하다,True,1,2025-05-13T12:10:03+0900,859445508383440919,6,0,0
sis3****,3XGbl,끝까지 윤석열 끌어안고 있다가 소멸의 길로 가길 바란다.,True,1,2025-05-13T10:57:04+0900,859440806753206297,6,0,0
efg1****,3WwXs,"말이 이상하네. 우리 회사가 채용한 인재이니 횡령, 사기, 성희롱 등 어떤 극단적인 행위를 해도 징계는 하지 않겠다는 말과 같이 들린다. 우리회사 사장도 김문수후보와 같은 생각이었으면....",True,1,2025-05-13T10:52:53+0900,859440537294340428,6,0,0
ckd1****,2Gkpt,"진심으로 내란 사과 안 하네. 김용태가 국민에게 고통을 줬다로 때우네. 김문수는 말이 없네. 내가 못들었나. 총칼 쿠데타 박정희와 전두환, 내란 윤석열의 후예 정당인 국힘쓰럽다. 진보 퍼주기 싫어서 찍어 줄까도 생각했는데 참 대책없는 인간들이네.",True,1,2025-05-13T12:10:10+0900,859445515933188149,5,0,1
az41****,7xQg2,이제 전광훈과 단일화 할 일만 남았네. 😝,True,1,2025-05-13T11:16:07+0900,859442034023333939,5,0,1
