user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
cklb****,b7O4o,인간성부터가 아주나쁜습성을가진놈이다 아주나쁜,True,1,2025-05-18T18:43:55+0900,859934739065209057,9,0,1
sun_****,2uJQB,6월 3일은 여.야..좌.우 싸움이 아닙니다..내란세력(극우 낭만의도시것들과 극우화된 60대70대)들과의 싸움입니다..,True,1,2025-05-18T17:59:28+0900,859931876251402382,8,0,3
cyr2****,2bFd3B,홍준표씨의말처럼윤내란우두머리는  나라망치고국짐당망치고 나서도승리한대통령이될것이다라고큰소리칠자이다  이렇게후안무치하고안화무인한자를대선에  묻지마표를몰아준 티 케이유권자들은 그 후손들보기에 젊은학생들보기에 창피해서 어찌할것인가 그리고 수도권  경기 서울 충청도 강원도 제주도부산경남울산에사시는국민에게 얼굴들고 티 케이인이라고말하고다닐수 있을까  인간인 이상양심에 찔릴것이다 그리고 티  케이국회의원들은 이번대선에 대패하면 전체가  의원직반납하고 국민에게 석고대죄하기를바란다 누가 티케이의젊은지성들이 부탁의말이다,True,1,2025-05-18T18:28:29+0900,859933744612507795,7,0,0
sisa****,1aIt8,됐고!!  어여 재판받고 감방이나 가라.,True,1,2025-05-18T18:28:09+0900,859933723238334508,7,1,0
pih8****,,,False,1,2025-05-18T19:00:19+0900,859935795945930833,0,0,0
chul****,ehBY,하는짓이 다 뻔뻔하게 비겁하고 국민들 부아 터지게한다,True,1,2025-05-18T18:16:04+0900,859932945564041239,5,0,0
wind****,9u8iC,내란수괴 윤써글 구속이 시급하다.,True,1,2025-05-19T01:18:14+0900,859960143209562138,4,0,0
leek****,373sf,"지랑 거니 밖에 모르는 포항제철 인간~~ 하기야 남을 생긱하는 인간이였다면 계엄을 했겠나??? 
최악의 인간~~~~~!!!!!",True,1,2025-05-18T18:56:46+0900,859935567373140167,4,0,0
psk3****,2cZkTQ,인간 기본 없는자다 국민이 원한대로 빨리 가두고 내란 수괴 사형 못하면  영원히 감형없는 무기로,True,1,2025-05-18T18:47:22+0900,859934961614979166,4,0,0
noom****,32Y0T,"계엄을 해놓고 대선이기려는 생각하는것들은 대체 무슨생각으로 사는것들인지 모르겠넼ㅋㅋㅋㅋㅋㅋ
당이 해체되는수준까지가야 무릎을 꿇고 빌겠지 
기다려라",True,1,2025-05-18T18:40:21+0900,859934509502562392,4,0,1
