user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
hell****,eDYru,대선 후 검찰 개혁 먼저 해야 비리 척결되고 그 후에나 경제 살릴 수 있다,True,1,2025-05-27T18:43:56+0900,860769682016174486,68,1,0
dudd****,2hd5k,서민들 피눈물 나게했든 부산저축은행사건을 누가 모를까. 배후가 김만배.박영수.윤석열이라고. 기가 막히네. 당장 특검해서 모조리 구속시켜라. 정말 정치검찰들 답이없네. 개혁이 필수다,True,1,2025-05-27T19:08:07+0900,860771239747125291,54,0,0
ds56****,5dvnK,검새들...  이것들은  최상위  기득권  지키기에  악의 축이다.  6 .3 이후에는  이것들  싸그리  정리  청소를  해야 한다. 정말 이것들은 절대 용서가  안되는  집단이다.,True,1,2025-05-27T19:18:02+0900,860771878522847244,23,0,0
uust****,dx2vU,"검찰 혁파가 왜 필요한지를 나타내는 단적인 증거군, 그동안 고초를 겪었을 경향신문 기자님들께 응원과 격려의 박수를 드립니다",True,1,2025-05-27T19:10:54+0900,860771419280114054,16,0,0
blue****,c3cNv,해당 검사들 손해배상 걸든지 직권남용 고발하든지 해라 검사권한 저런식으로 쓰면 처벌받고 가산 남지않는다는 선례남겨야한다,True,1,2025-05-27T19:16:01+0900,860771749136957445,12,0,0
7447****,2tWae,5공 시절 남산 삘나네 요즘 검찰,True,1,2025-05-27T20:10:55+0900,860775285572763990,4,0,0
0852****,3ehTK,"전 세계에서 가장 부패한 대한민국의 부패개검범죄집단 저것들 정말 하는 짓보면 징글징글하다.. 
반드시 폐악개검집단은 반드시 청산시켜야 한다.",True,1,2025-05-27T20:08:32+0900,860775131994128579,3,0,0
bbn4****,2eKfV,'검찰'이 아니라 왜  '개검'이라 불리는지 알만하쥬?,True,1,2025-05-27T20:05:34+0900,860774941270737078,3,0,0
zimb****,okcP,왜 개검이겠나. 가서 물으라 하면 미친 개처럼 침흘리며 달려들어 물고 뜯고 하면서 권력의 앞잡이 노릇을 하니 개검이지. 이제 윤석열이 끈 떨어진 풍선 신세이니 불필요한 데 힘쓸 필요가 없어진 거지.,True,1,2025-05-27T19:50:19+0900,860773958528532594,3,0,0
choi****,2cZApB,검찰청을 해체해야할 명백한 이유,True,1,2025-05-27T19:56:26+0900,860774353413865619,2,0,0
neiv****,,,False,1,2025-05-27T19:32:38+0900,860772819288457419,0,0,0
han4****,31mX6,대한민국 최고위집단 검찰카르텔 이 집단은 군사쿠테타를일으킨 군부와 결이 비슷하다.가장 위험한 집단.가장위험한 집단인 검찰카르텔 애들은 총칼로 쿠테타를 일으키지 않는다.그냥 전부 잡아들여 구속시킨후 무주공산 대한민국을 만들어 버릴수있다.모지리를 대통령으로 만들어놓고 금성탕지 검찰 공화국을 만든거보면 대단한놈들이다.반드시 사법개혁을 해야한다.반드시,True,1,2025-05-27T20:19:51+0900,860775861417148788,1,0,0
gimp****,,,False,1,2025-05-27T20:03:41+0900,860774819484926235,0,0,0
srot****,1GA8b,"해당 검사, 창피한 줄 알아야. 무개념 검사여.",True,1,2025-05-27T20:01:04+0900,860774651578548250,1,0,0
y377****,5plTc,더러운 검사넘들ᆢ 이제 힘의 방향을 따라서 먼저 자빠지는 흉내를 내는 건가. 합법의 가면을 쓴 대한민국 최대의 범죄조직 검찰,True,1,2025-05-27T19:44:37+0900,860773591594041547,1,0,0
leet****,2lJYb,뭐하는거야 1년9개월이나 수사를 하고선 무혐의라니.,True,1,2025-05-27T19:38:48+0900,860773217344684308,1,0,0
para****,6NwXn,수사지휘한 검찰간부 등은 모두 조사해서 파면해야 다시는 이런 일이 일어나지 않는다.,True,1,2025-05-27T19:29:18+0900,860772604573646949,1,0,0
sksa****,6NKyb,썩어빠진 검찰의 평범한 작태.  늘 저짓거리. 정의는 없고 비굴한 권력의 개.,True,1,2025-05-27T19:28:42+0900,860772565767946475,1,0,0
lsh4****,5ed3F,석열이내란수괴와  검찰의 죄는  대한민국을 덮고도  남습니다  수괴윤석열이는  반드시  사형을  언도해야합니다  쥴리와함께!!!,True,1,2025-05-27T19:24:46+0900,860772312968855851,1,0,0
jazz****,,,False,1,2025-05-27T19:08:32+0900,860771266842329283,0,0,0
jade****,7bR02,참 비열합니다,True,1,2025-05-27T19:08:29+0900,860771263889539244,1,0,0
chon****,1LsRb,"검찰의 패륜 악행이야 열거할수도 없을 정도...
진즉 기소청으로 만들었으면 윤석열같은  괴물도
탄생하지 않았을테고...암튼 이재명이 당선된다먼
검찰개혁해서  다시는 패악질 못하게 하라",True,1,2025-05-28T10:23:02+0900,860830183341424655,0,0,0
nygz****,232Dd,검사놈들 이름이랑 사진도 올려줘야죠!!,True,1,2025-05-28T02:53:21+0900,860801212193177633,0,0,0
ace_****,92IVR,검찰개혁이 꼭 필요한 이유...ㅉ,True,1,2025-05-28T02:33:15+0900,860799918049067036,0,0,0
seun****,,,False,1,2025-05-27T22:02:37+0900,860782482193121582,0,0,0
inbc****,2j5lk,검찰이 ‘대선개입 여론조작 사건’이라 이름 붙이고 조직 내 최고 엘리트인 서울중앙지검 반부패부 검사 10여명을 동원해 언론에 대해 무차별적으로 벌인 수사가 경향신문 전·현직 기자들에 대한        무혐의 결정    !!!!,True,1,2025-05-27T21:36:52+0900,860780823765320093,0,0,0
inbc****,2j5lk,대한민국에서    가장     부패한     카르텔   권력집단,True,1,2025-05-27T21:34:55+0900,860780697550324063,0,0,0
ssrb****,1X97X,고위직에서 부정부패를 자행하는 것을 막을 수 있는 것은 언론입니다. 그런 언론을 계속 탄압하고 압박했던 전 두광 쥐 박이 닭 그네 멧돼지 인간 쓰레기들 기억 해야 합니다. 언론인분들 힘내세요. 응원합니다.,True,1,2025-05-27T21:26:50+0900,860780177171415357,0,0,0
seob****,4ozqe,이런 개검들 어찌  탄핵 안하겠냐 ?,True,1,2025-05-27T20:41:50+0900,860777277800055122,0,0,0
47ji****,,,False,1,2025-05-27T20:17:07+0900,860775685709365289,0,0,0
mks6****,,,False,1,2025-05-27T20:04:51+0900,860774895234056470,0,0,0
cari****,8yG5L,바른정보로 신뢰를 지켜준 경향기자님들 힘든시간 너무 감사드리며 참으로 고맙습니다 우리나라의 미래와 역사를 위해서 희망의 메신저 믿을수있는 경향으로 끝까지 남아주십시오 저의선택이 틀리지않았음을 확인시켜 주시니 넘넘 고맙습니다,True,1,2025-05-27T20:03:36+0900,860774814317543629,0,0,0
plai****,eKwII,영구독재를 꿈꾸고 검군경OB쿠데타  윤ssuck은넘? 14명외 지하벙커? 영화보다 잔인한 귀신 윤ssuck은넘?,True,1,2025-05-27T19:51:43+0900,860774048706068741,0,0,0
reda****,QgGD,개같은 정치검찰 원래 버릇 나왔네.,True,1,2025-05-27T19:47:13+0900,860773759416533071,0,0,0
mone****,1wqH1,잡고프면 잡고 아니면 말고 인가…,True,1,2025-05-27T19:43:58+0900,860773549952991588,0,0,0
itob****,,,False,1,2025-05-27T19:31:12+0900,860772727550640217,0,0,0
mand****,1niqU,이미 늦었다. 정치검새는 아웃이다!,True,1,2025-05-27T19:21:51+0900,860772124661383534,0,0,0
mull****,1iDPv,모지리씨는 이쟈명 지지선언해,True,1,2025-05-27T19:20:18+0900,860772025273155700,0,0,1
gmls****,,,False,1,2025-05-27T19:20:08+0900,860772014300856384,0,0,0
mire****,FjMq,검사들 권한 압도적으로 축소시켜,True,1,2025-05-27T19:19:52+0900,860771997523640664,0,0,0
cola****,,,False,1,2025-05-27T19:18:03+0900,860771880368341029,0,0,0
seg6****,PdRX,싸대기 때리고 싶네,True,1,2025-05-27T19:15:09+0900,860771693201719362,0,0,0
2653****,,,False,1,2025-05-27T19:14:47+0900,860771670133047622,0,0,0
sbyo****,,,False,1,2025-05-27T19:06:48+0900,860771154753749292,0,0,0
bnjh****,1t3Uh,정치검사들..... 선거 패배 눈치채고.....얇삽하게 토끼네.......잘숨어라....머리카락 보인다........,True,1,2025-05-27T19:05:12+0900,860771052429508684,0,0,0
ms04****,eUFbk,역시 검찰은 개검~,True,1,2025-05-27T19:03:51+0900,860770965540307286,0,0,0
seo0****,2Pktn,내란수괴 애완견 콜검 정치검사 특검후 총살형으로 다스려야 한다 아울러 가족은 노비로 삼아 구족을 멸해야한다,True,1,2025-05-27T19:00:23+0900,860770742067789979,0,0,0
