user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
yob2****,1l3m4,26일 찢재명이 선거법위반으로 피선거권 박탈당하고 문빠와 찢빠가 피터지게 싸울때 윤통을 복귀시켜 저짝것들만 머리 깨지고 정상적인 국민들의 혼란과 피해를 최소화 하기 위함이에요.,True,1,2025-03-19T18:59:46+0900,854369482376741117,864,221,27
hone****,18NEu,총리 탄핵! 경찰청장 탄핵! 감사원장 탄핵! 장관들 탄핵! 방통위원장은 민주노총 산하 언론 노조들 밥그릇 챙겨주기 위해서 공석 남발! 찢죄명 수사하는 검사들 탄핵! 찢죄명 쳐다봤다고 장관 탄핵! 탄핵 사유가 북중러를 멀리했다더니 슬그머니 빼버리고 내란 항목도 슬그머니 빼버린 민주 깡패 두목 찢죄명 부터 깜빵으로~~~~~!!!!!,True,1,2025-03-19T18:58:50+0900,854369423153168667,570,70,11
skrx****,4oEST,재명이부터 결론내자,True,1,2025-03-19T19:46:32+0900,854372495514403000,364,27,5
ock1****,5TJRZ,"헌재는 기각이나 각하로 빨리 판결해라!
국민들  피로도만 높아진다.
내란죄없는 내란으로 사기탄핵이니
장고하지 마라!!!!",True,1,2025-03-19T19:41:26+0900,854372166865518750,286,91,4
aktm****,ZVDU,굿바이 이재명 다시 보지 말자,True,1,2025-03-19T19:43:50+0900,854372322155430147,216,26,0
lmk0****,9Q4iU,찢 헙박 공무집행방해 혐의로 또 고발. 당했다며...어쩌누...아당 다표라늘 쓰레기가 대한민국 대통령 권대행에게 밤길 조심하라는 말을 했다며....이 잡범이 대한민국 대통령 되겠다고 설치고 그 더러운 입에서 똥을 싸는구나..!!!,True,1,2025-03-19T20:18:31+0900,854374556310175907,36,3,0
hold****,2d8wNM,아직도 좌파에 서있는 사람들은 중국 속국 속에서 살고 싶은 거야? 아니면 아직도 허위 사실이라고 믿는 거야? 아님 매국해서 콩고물이라도 묻혀보고 싶은 건가? 진짜 이해가 안 가네? 중국 공안들 못봤어? 왜 와 있다고 생각해? 홍콩이 어떻게 먹혔는지 찾아봐라 아둔한 것들아,True,1,2025-03-19T21:14:40+0900,854378173662494975,33,4,0
neve****,1pR1r,상식적으로 납득하기 어려운 일이 계속 터지는지라 헌재도 못 믿겠다.. 싸이코패스 한 마리가 나라를 시궁창으로 만들었다..,True,1,2025-03-19T21:56:43+0900,854380883182879000,30,1,0
wotl****,1TDQx,찢재명부터 감방들어가야지 ㅋㅋ,True,1,2025-03-19T20:15:50+0900,854374382951203099,25,3,0
jso1****,R9Y1,찢죄명이 는 감옥으로 윤석열 대통령 관저로,True,1,2025-03-19T20:07:03+0900,854373817559023648,29,8,1
