user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
song****,diNyu,70대는 그만 좀 해라. 운전도 안해야 될 나이에 무슨 대통이냐. 옛날 사람들 지긋지긋지긋지긋지긋.,True,1,2025-04-21T19:54:11+0900,857434441453142079,88,29,4
lwjk****,1CVwx,"우리나라 대선 3대장: 허경영, 김문수,  홍준표  모두  같은 수준 즉,  동급.",True,1,2025-04-21T20:03:54+0900,857435067461402876,87,35,7
hwon****,,,False,1,2025-04-21T19:54:47+0900,857434479554199797,0,0,1
mw16****,20GEa,야놈아! 집에가 손자나 봐라. 명태한테 멱살 잡혀 있는 놈! 야비한 검사 출신은 절대 안된다.,True,1,2025-04-21T20:08:05+0900,857435337289367589,43,16,1
grac****,a3Ujq,자기 그릇을 아는 이가 없다,True,1,2025-04-21T19:57:04+0900,857434627613130774,29,2,2
meba****,1MLPC,"경선 과정에서 정책이나 대한민국 미래 산업 이런걸 어떻게 하겠다.이런걸로 경쟁자들과 대담을 해도 모자랄판에...키높이구두,가발 이런걸 얘기하고 자빠졌으니...저딴게 대선 후보를 한다고..그냥 요양원가서 친구들하고 남은 여생 노닥거리다 끝내라~~ 에휴~~ 한심하다..한심해~~",True,1,2025-04-21T21:27:53+0900,857440478197448976,5,1,0
scho****,a6EEL,정신좀차려라 늙은이야~~~댁을 어찌해야하냐 제2의 윤석열이야~~~ㅋㅋ,True,1,2025-04-21T20:56:44+0900,857438470602227954,4,0,0
emcs****,2HX2l,무대홍 어대홍 오대홍 입니다,True,1,2025-04-21T21:43:44+0900,857441498638057711,3,0,0
fdsa****,3y6s1,윤멍충이 개판칠때 찍소리 못한 놈은 필요 없다!!!!,True,1,2025-04-21T21:07:46+0900,857439182258176269,3,0,0
crea****,4fLMT,"극우유튜버처럼 이재명 욕하고, 한동훈 비하하고.. 대구에 세운 니 동상만큼이나 
 머리에 든게 없는거 잘 확인했다~",True,1,2025-04-21T20:15:01+0900,857435783798194190,3,0,0
stea****,3ISJy,홍준표 화이팅,True,1,2025-04-21T22:11:49+0900,857443308312461611,4,2,0
kkkh****,,,False,1,2025-04-21T20:53:29+0900,857438261910438048,0,0,0
marx****,1MDnV,"개그감 너무 좋으세요!!! 화이팅! 2095대선은 무조건 홍준표 “후보님” 당선을 기원합니다.  
2095화이팅! BJJ 화이팅!!!",True,1,2025-04-22T00:13:39+0900,857451157868511377,2,0,0
kiki****,6Vtzz,무대홍❤️💕,True,1,2025-04-21T22:23:06+0900,857444034782691362,2,0,0
ljg6****,43tGS,무논리의 대왕 이제 좀 꺼져라,True,1,2025-04-21T22:06:16+0900,857442950420889690,2,0,0
cher****,jn94,이 분은 적기가 지나버렸다. 이제 그만,True,1,2025-04-21T21:51:29+0900,857441998095777972,2,0,0
ausm****,RWRb,"애쓴다
....명태균한방이면 끝일듯",True,1,2025-04-21T21:49:30+0900,857441871109030071,2,0,0
ghd9****,6nkF3,무대홍 만이 필승카드 무대홍,True,1,2025-04-21T21:11:03+0900,857439393349107740,2,0,0
yytr****,Oses,"할배요, 홍선거가 아니라 혼선거? 혼밥? 독고다이 선거? 대구시장 먹튀? 이제 그만 집에 가서 푸욱 쉬시죠~!!?",True,1,2025-04-21T21:04:39+0900,857438981183242462,2,0,0
rhd7****,bXmob,"솔까,, 이젠  넘 식상하네요,분열정치의 끝판왕같은  당신같은 정치인들은 이젠좀  사라지시길. 이러다 대한민국 망하게생겼네요~",True,1,2025-04-21T21:02:15+0900,857438827034181709,2,0,0
scni****,129Nv,그냥 게이트볼이나 치셔 세금거덜 낼 생각말고,True,1,2025-04-21T20:45:30+0900,857437747302891686,2,0,0
khle****,,,False,1,2025-04-21T20:15:13+0900,857435796649541692,0,0,0
enji****,r6du,"박정희 동상(국민 혈세로  왜?) 세우셨던데,  그 동상 얼굴이  홍준표 얼굴 닮았더이다. 어찌된 일이오?",True,1,2025-04-21T20:10:28+0900,857435490465349770,2,0,0
jsj2****,10X3T,"적당히 합시다
나이갑도좀하구",True,1,2025-04-21T19:55:54+0900,857434551729783046,9,8,0
phw7****,e2ad4,누가 뭐라고한들  무대홍 으로간다.,True,1,2025-04-22T01:49:34+0900,857457337101713464,2,1,0
scor****,5hs00,구역질 나는놈,True,1,2025-04-21T23:14:41+0900,857447358466621629,2,1,0
cmry****,263B8,본인이 꼴통인줄 본인만 모르시네 ㅊ ㅊ,True,1,2025-04-21T21:18:55+0900,857439900155248927,2,1,1
chun****,18V73,"이 인간좀 안보고싶다.
왜 죄를 지어도 지어도 수사를 안받는거냐",True,1,2025-04-21T21:10:32+0900,857439360297992397,2,1,0
dsle****,3hbla,명게이트나 수사 받고 대선 나와라 이늙은 여우 같으니라고...,True,1,2025-04-22T14:10:48+0900,857505090360049997,1,0,0
h990****,3CjPU,홍준표님 지지합니다,True,1,2025-04-22T01:08:35+0900,857454696820899908,1,0,0
ssm7****,aE4U,그건~~니 생각이고~~국민들 수준이 엄청 높아서 국짐당 내란당이라는것 다 알찮아요~~,True,1,2025-04-21T23:36:07+0900,857448739785146402,1,0,0
js06****,aknYf,제벌 대한민국에서 저거 홍 준 표줌 치워주세요 사람 세끼도 이닌것이 뭇쓴  얼굴로 더렇게 디니느지 알수가 없읍니다 전광훈 홍준표 저것들은 분며히 사돈지간될거임,True,1,2025-04-21T23:35:45+0900,857448715189747906,1,0,0
baeh****,,,False,1,2025-04-21T22:43:35+0900,857445354629497029,0,0,0
2057****,MBA7,꼰대 할배요~~꿈도 꾸지 마소!,True,1,2025-04-21T22:05:09+0900,857442878731845681,1,0,0
dt******,l8jd,지금 예능프로 찍는줄 착각하는 인간~,True,1,2025-04-21T21:59:20+0900,857442504230830205,1,0,0
novi****,bRO8F,야비한 자는 그만 물러가거라 국민을 현혹시키지 말고 ᆢ자질과 인간성 모두 함량 미달이다 영남지역 연고로 또 비벼보겠다는거냐,True,1,2025-04-21T21:59:05+0900,857442488376360988,1,0,0
hbb1****,4sGbR,구태들 지긋지긋하다,True,1,2025-04-21T21:50:17+0900,857441921105133653,1,0,0
ssoo****,2MogI,"임마좀  배우고고위공직자했으면품격있는 말을 해야지.그래야  너도 대우받을 수있고.
꼭 양아치라부르는게 정답이다.",True,1,2025-04-21T21:29:49+0900,857440602248184068,1,0,0
gfc2****,,,False,1,2025-04-21T21:27:43+0900,857440467711688933,0,0,0
wolv****,5PI9d,계엄 옹호남 계엄 옹호녀가 있는 정당은?,True,1,2025-04-21T21:10:09+0900,857439335971029047,1,0,0
thet****,4zJpy,할배요. 가서 콜라나 한꼽뿌 션하게 들이키소 마,True,1,2025-04-21T21:01:00+0900,857438745731792902,1,0,0
ksh6****,4WyLQ,"위기의 대한민국을 일으켜 세우세요
범죄자에게 통수권 주면 안됩니다",True,1,2025-04-21T20:54:41+0900,857438338649424072,1,0,1
k63j****,1qMl7,이런 모습을 바로 제멋에 산다고 하는거지,True,1,2025-04-21T20:46:50+0900,857437833000911157,1,0,0
sens****,1oUiA,기껏 죄멍이 갖고 개그로 웃기는 거 외엔 별거 없을거란 입만 터는 시정잡배 스타일로는 대선은 언감생심이다,True,1,2025-04-21T20:40:27+0900,857437422445658271,1,0,0
doit****,ip34,띠발양반아 아무나한테 반말 찍찍거리지마...머리에 뭐가든겨..위아래도 없이,True,1,2025-04-21T20:37:35+0900,857437237510406337,1,0,0
kil9****,3WpaF,홍씨 너도 책임있어. !!  윤통 만날때 충언을 했어야지. !!  총리달라고 아첨이나 했으면서 뭔 낯짝으로 대통령 선거에 나오냐. !!  꺼져라. !!,True,1,2025-04-21T20:37:33+0900,857437235547472038,1,0,0
didi****,29g9y,격이 너무 떨어진다.,True,1,2025-04-21T20:23:45+0900,857436346120143083,1,0,0
sadf****,,,False,1,2025-04-21T20:16:31+0900,857435880250409147,0,0,0
ssed****,2bBQaS,얍삽한 무리들아 속보인다 미래를보자 한동훈뿐,True,1,2025-04-21T20:13:11+0900,857435665267163204,1,0,0
soon****,diSLQ,비아냥  다른사람인신공격 아직도  못벗어나는 홍준표는  깜이 못됩니다  한덕수를 도우세요,True,1,2025-04-21T20:03:12+0900,857435021860929620,1,0,0
rode****,1Tlbp,국힘은 망상장애자들만 나오냐?,True,1,2025-04-21T20:01:27+0900,857434909654909063,1,0,0
sbut****,aDZer,아니 여기서 키높이 구두랑 보정속옷??을 비유를 왜해 하....진짜 시대에 뒤떨어지는 .. 이미지 관리가 다인데 이재명 안보이냐??!! 배울건 좀 배우자 제발 국힘은 누가 마케팅 팀좀 붙여주세요 돈좀쓰라고.,True,1,2025-04-21T20:30:03+0900,857436752430759965,2,2,0
pns9****,H8su,"재명이  상대는  당신홍준표 인정합니다 누가뭐래도 
한표 던지겠오,
동훈  반 역적농  이완용 보다 더한놈 
배신  배언망덕 한놈",True,1,2025-04-21T20:07:27+0900,857435295547654285,2,2,1
wuk0****,2j5pm,"헛물켜지마시고 건강챙기세요.
미쳤어요?
당신을 뽑게?",True,1,2025-04-22T00:22:36+0900,857451733914222704,1,1,0
asak****,1BuYP,백날 말해도 안돼 홍준표씨는 비호감  이미지가 너무강함 꼰대 막말,True,1,2025-04-22T00:11:47+0900,857451037223551131,1,1,0
happ****,aJ6DY,"3년 동안 준비 하나 없이 욕심만 남은 홍할배, 토론하는 것 보니 국민이 부끄럽습니다. 당신이 나서면 이재명 꽃길입니다. 이제 노욕을 버리고 한동훈과 함께 새 시대를 열어 갑시다.",True,1,2025-04-21T23:50:35+0900,857449671340064927,1,1,0
kiki****,6Vtzz,세상에서 젤 귀여운 할아버지. 홍카😆,True,1,2025-04-21T23:14:00+0900,857447314829082630,1,1,0
alex****,5tylj,홍카야~~제발 꺼져라,True,1,2025-04-21T23:07:03+0900,857446866743197714,1,1,0
chun****,,,False,1,2025-04-21T22:58:48+0900,857446335140331767,0,0,0
