user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jang****,PNOg,윤석열 계엄으로 조기대선하는데  내란 우두머리 윤씨  끌어안고 선거하겠다?  선거에 이길 생각이 전혀 없네,True,1,2025-05-13T10:33:53+0900,859439312305914180,982,289,31
sols****,593xv,"그래 당신은 대통령이 아니라 대통령후보직을 즐기는 것 같네.  그냥 그렇게 선거운동하고 지면 되겠네.  당신같은 사람한테 표줄일은 없다.  한덕수, 전한길 비롯 극우유튜브들 불러다가 선거운동 열심히 해라. 태극기, 성조기 나오는 거 보고 일반 사람들은 근접도 못하겠더라.  니들끼리 해",True,1,2025-05-13T10:36:32+0900,859439483567735008,409,112,16
yooj****,1sIpX,8:0 위헌계엄이라는 판단과 대통령 파면으로 생긴 조기대선에 국무위원 중 유일하게 앉아있었다는 이유로 대선주자로 부상하고 최종후보가 되는 것 자체가 이치에도 맞지 않고 이상하다고 생각한다,True,1,2025-05-13T10:35:26+0900,859439413103427740,213,64,8
hayu****,eTHTf,에라이 구태 내란 동조범들 한동훈이 살려줘도 고쳐도 못쓸것,True,1,2025-05-13T10:35:31+0900,859439417616498901,143,46,5
powe****,DDQr,역시 전 자통당 대표다우시네 ㅋ,True,1,2025-05-13T10:35:02+0900,859439387014856718,90,12,1
silk****,19p5F,"더는  한동훈에게 질척대지 말길  윤석열 출당 조차 
  못시켜  새벽 쌩쇼 주동자 권성동도 못 내치는 주제 
에 대선??  어제 서문 시장 다녀온 후 똥줄탄거 같은데  한동훈 필요 없다 중도는 없다 줄기차게 외치던
  나줌마랑 잘해보셔  투표는 당연 안함",True,1,2025-05-13T10:37:56+0900,859439573493612872,46,8,3
ling****,1hgz3,그런 기조로 쭉가시고 제발 그만 좀 한동훈 찾아 한동훈과 당신은 신념이 달라,True,1,2025-05-13T10:36:16+0900,859439466203316336,36,3,0
jmh5****,bhlJw,계엄도 안한 박근혜는 조롱까지 하며 출당시키더니 내란우두머리 윤석열은 안고 가겠다? 정신 못차렸네,True,1,2025-05-13T10:37:18+0900,859439532641091715,34,7,0
crou****,MSvo,김문수 후보님 논리가 맞습니다~,True,1,2025-05-13T10:43:56+0900,859439960426545513,32,14,0
cjyj****,8Extu,윤지지자들 표를 잃을까봐 말을 못하는건지 자기진심이 그런건지 둘다겠지  이번선거는 졌다,True,1,2025-05-13T10:50:57+0900,859440412371190162,25,7,0
prre****,280T4,"그래 끝까지 윤석렬 지키세요. . 
국민들 아주 혈압 터지게 만드는 정당",True,1,2025-05-13T11:10:10+0900,859441649774755936,22,6,0
