user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
chjp****,L8BH,달걀이라도 퍼부어서 국민의 분노를 알려야...내란수괴 주제에 무대인사라..미친 자식...,True,1,2025-05-21T09:56:08+0900,860179050646208569,271,102,14
acdo****,3gT77,부정선거 관련자 모두 사형~!,True,1,2025-05-21T09:54:51+0900,860178968152637809,119,34,10
bbon****,2h2tU,이게 인간이가 내란수괴가  온천지 돌아댕기는게 심지어 머? 영화관람??? 장난치냐?,True,1,2025-05-21T09:56:32+0900,860179076768334024,114,30,3
ashd****,c0JrC,무대인사ㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-05-21T09:56:05+0900,860179047995408420,43,3,1
ycki****,2cR67r,그냥 이재명 선대위를 들어가세요,True,1,2025-05-21T09:56:08+0900,860179050847535156,29,9,2
7025****,382hq,나도 윤이 대통령된게 부정선거 너무 의심된다,True,1,2025-05-21T10:23:07+0900,860180789134884906,18,2,0
korc****,2WHhE,저리 개념없는게 대통령이었다니 헛웃음만 나온다. 영화보면서 스스로 자기체면 또 걸었겠지. 나는 잘못한게 없다. 감옥가서 평생 체면 걸린 상태로 살다가 무덤까지 가라.,True,1,2025-05-21T17:01:00+0900,860206422539894791,12,0,0
sugi****,2cQGa,깜빵에 있어야 될 내란 사형수 놈이 한가롭게 영화나 처보고 앉아있네,True,1,2025-05-21T15:15:37+0900,860199633522000131,10,1,0
dak2****,3ajZg,"지귀연 심우정이가한짓이다 국민여러분 이게 정상입니까
검찰 사법개혁해서 정상국가로 만듭시다꼭 투표해서 나라를 바꿉시다",True,1,2025-05-21T13:51:11+0900,860194194247909451,10,1,0
kimj****,5q3Yv,이놈 빨리 구속하지 않고 뭐하나?  우리나라 법은 죽었다,True,1,2025-05-21T14:18:24+0900,860195947164991707,9,0,0
wooi****,2rxkP,6월 3일은 부정선거 철저히 철저히 막아야 합니다.,True,1,2025-05-21T10:25:42+0900,860180955699085602,9,0,1
sks4****,,,False,1,2025-05-21T10:00:48+0900,860179352032117052,0,0,0
zagi****,1Y6pd,석열이는 사형밖에 없다,True,1,2025-05-21T13:43:22+0900,860193690579108024,10,3,0
brup****,,,False,1,2025-05-21T17:33:55+0900,860208543565873511,0,0,2
cs10****,TxgN,반성을 모르는 사람... 본인이 한짓이 나라를 이렇게 힘들게 하고 서민들은 죽어나고 있는데... 어째서 저런놈을 대통령으로 뽑았나... 대한민국 국민들 수준이  윤씨를 대통령감으로 보았다는거지.... 에효 주변여기저기 윤석열과 국민의 힘을 얼마나 싫어하는지 아시나요?,True,1,2025-05-21T16:40:52+0900,860205125593989519,7,1,0
nike****,1qfYR,살다살다 저런 얼빠진 넘은 처음보내,True,1,2025-05-21T10:13:11+0900,860180149939732549,7,1,0
rmrd****,racG,사전선거하라고 광고하던 사람이 누구? 바로 너야! 선거로 당선된 사람이 누구? 바로 너야!,True,1,2025-05-21T17:50:11+0900,860209591990878293,6,0,0
adre****,3n7vm,윤석열 전한길이 아주 국짐을 골로 보내려는 듯...지금 시국에 가만히 있어주는게 도와주는건데,True,1,2025-05-21T17:49:20+0900,860209537162936467,6,0,0
jich****,3mHMe,부정선거 밝히라,True,1,2025-05-21T14:39:24+0900,860197300297793758,6,0,0
just****,,,False,1,2025-05-21T09:57:39+0900,860179149027803399,0,0,0
mous****,6HboN,2찍들 봐라 니들이 지금 무슨 짓을 했는지!! 저게 인간이냐??,True,1,2025-05-21T10:03:20+0900,860179514519453823,8,3,0
diab****,HTDf,이런사람이 어떻게 대통령이 된거야,True,1,2025-05-21T13:40:49+0900,860193526044950954,6,1,2
wogn****,saw9,끼리끼리모여다니네 전광훈이도함께보자하지. ㅎ ㅎ,True,1,2025-05-21T14:13:56+0900,860195660056494497,5,0,0
jhen****,6hX9P,최고의 법 위반 혐의자가 이렇게 돌아다니는 대한민국은 범죄자가 살기 좋은 나라 1위 입니다,True,1,2025-05-21T09:59:28+0900,860179266132770971,7,3,0
figh****,3f2Iy,저 내란범 목을 잘라 저잣거리에 걸어놔도 못마땅한놈 언제까지 저리 돌아다니게 놔둘거냐?,True,1,2025-05-21T15:36:03+0900,860200950013362199,6,2,0
jjin****,iZj1,왜 돌아다니게 놓아두는 거지..참 나..,True,1,2025-05-21T18:40:24+0900,860212826487128203,4,0,0
kyur****,5vdPm,"이쯤되면 진짜 윤석열은 민주당 2중대임 ㅋㅋㅋㅋ
보수궤멸시킬 인물임 ^^",True,1,2025-05-21T17:40:50+0900,860208989185507617,4,0,0
yhg8****,28pqk,정신 나간놈들,True,1,2025-05-21T16:35:08+0900,860204756193247276,4,0,0
alco****,141en,(신명) 도 개봉하는데 올거냐~ㅋㅋ 쥴리  명신이~~,True,1,2025-05-21T10:04:06+0900,860179564549111853,4,0,0
gree****,3UeI8,국민들이 머리를 장식으로만 달고 다니니 나라가 저 중공꼭두각시들에 의해 잡아먹히는중!부정선거를 믿지 않았던건 그 선거를 관리하는 조직이 완전무결 투명한 집단이라는 전제하에 믿지 않았지 지금 저 선관위가 자녀채용비리만 천여건이 넘고 대법관이 선관위원장으로 가고 그 선관위원장이 또 헌재에도 가는 이런 조직체계에서 뭘 부정이 없다는거냐 윤통이 왜 파면을 당했을까 그 가족회사라고 하는 조직을 파헤치려고 하니 고구마뿌리 처럼 비리가 우수수 드러날거 같으니 말도 안되는 파면을 내렸지 좀 머리가 있으면 생각하는데 사용하자 정신 차리자,True,1,2025-05-21T17:33:28+0900,860208515078160561,6,3,1
kang****,6hcZQ,감옥 안들어가고 활보하고 있다는게 놀라움.... 사법부 이 GAE SE GGI 들아,True,1,2025-05-21T10:09:21+0900,860179902308024476,6,3,0
juch****,eTVp4,재구속하라,True,1,2025-05-21T17:06:43+0900,860206791135330572,4,1,0
yy31****,BM8d,파면 당한 대통령에...진짜 반국가 세력이 저기 다 모였네...썩렬아 부정선거로 당선된 대통령이 너다.,True,1,2025-05-21T16:42:54+0900,860205256875704710,4,1,0
rnrd****,ddho,참 풍년이다 풍년이야,True,1,2025-05-21T15:23:39+0900,860200150847455485,4,1,0
ska3****,514Yj,20대 대선 부정선거 조사해라.,True,1,2025-05-21T10:20:49+0900,860180641461829998,4,1,0
tnsw****,5G6bL,언제까지 이인간 뉴스 봐야하는지 찐드기같은 인간,True,1,2025-05-21T10:03:34+0900,860179529602171111,4,1,0
xixi****,FNEY,미친거다,True,1,2025-05-21T18:52:17+0900,860213592165711977,3,0,0
lsk0****,1RbRA,낮술했나.. 낮빤디가 벌것네~,True,1,2025-05-21T17:51:49+0900,860209697049805090,3,0,0
sang****,aXGsN,감옥안가나. 갔으면좋겠다,True,1,2025-05-21T14:07:19+0900,860195233093124255,3,0,0
odyn****,2Euem,"진짜 자신의 처지와 잘못을 전혀 모르는구나. 이 세상 사람이 아닌 듯하다. 이 시기에 이런 영화를 제작, 배포한 자들도 같은 부류. 비상 계엄은 계속 되고 있다. 국힘이 뽑히면 더하면 더했지, 덜하지 않을 것이다. 김문수는 비상 계엄 찬성한 자다. 깨끗하냐의 문제가 아니다. 국힘, 윤석열 아웃",True,1,2025-05-21T12:28:55+0900,860188893905944935,3,0,0
tlsd****,KX5n,"부정선거 , 전국 개봉해라 ~   
나라 망하기전에 .....",True,1,2025-05-21T11:10:49+0900,860183862720856446,3,0,0
perf****,69J5h,이사람 뭔 생각이야?????,True,1,2025-05-21T09:57:30+0900,860179139179577555,3,0,0
yunm****,,,False,1,2025-05-21T14:29:28+0900,860196660045676760,0,0,0
