user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
ysle****,qvaE,언론의 기능 북한식 선전선동...,True,1,2025-04-15T19:27:17+0900,856876080353509474,26,3,0
hs26****,3yNQm,대한민국 언론 다 죽었음,True,1,2025-04-15T21:28:16+0900,856883874712518764,14,3,0
bubb****,RwZx,"기자가 말하는 언론이 KBS, MBC, TBS, 뉴스토마토ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
네네 그러시겠쥬",True,1,2025-04-16T08:41:46+0900,856927264267305170,9,3,1
sdki****,1F5eF,세상 가장 똑똑하다는 문과생 언론 ㅋㅋ. 나라 둘로 갈라놓는 역적들,True,1,2025-04-16T09:32:51+0900,856930556057747726,3,0,0
blog****,6vFtE,언론 노조 싹 청산해야 한다.,True,1,2025-04-16T23:40:27+0900,856985161969959019,2,0,0
tach****,arhyP,"어그로만 잘 끌고, 편파 판정 오지게 하는 거 다 까발려 졌는데
무슨 존중 같은 소리를 하고 있나
사실을 전하도록 하는게 언론의 목적아닌가? 언제부터 언론계가 선동과 정치용으로 변질됐냐",True,1,2025-04-16T09:18:31+0900,856929632773996711,2,0,0
lhj0****,3mrR2,언론노조 민노총 지령받으면서 뭔 똑똑한척 하고 있어 웃기는것들,True,1,2025-04-16T08:52:45+0900,856927972483924147,2,0,0
ydls****,2K609,"여기 언급된 언론사 진짜 토나온다.
썩을대로 썩은 가짜뉴스 생산하는 꼬라지를
대가리 딸리는 1찍이들만 모르지.",True,1,2025-04-16T09:40:15+0900,856931033050775653,1,0,0
3lee****,2v3zp,니들이 기자냐 미국 방송도 cnn만 인용하고 폭스뉴스 무시하고 니들 좌파색 입혀서 방송하는 것들이 언론? 진짜 양심들은 있냐 기레기넘들아 니들이 생각하는 언론이 좌파사상물든 세상만드는게 언론이지,True,1,2025-04-16T09:18:57+0900,856929660120858978,1,0,0
sukw****,bVBF,기rea기==국개==대한민국에서 가장 신뢰도가 바닥인 집단 (통계로 나옴). 국개가 법만들고 국회에 쳐박혀서 다른 사람들 데려와서 호통치고 예에엠벼어엉떨때 항상 비유하는 예시가 있다. 조두순이 아청법 만들고 어린이집에 취직하는 소리하는거와 동급이라고. 기자들아. 너희도 별반 다르지않아. 100만원 주면 유리한 기사 써주고 기사 쓸 때 팩트체크 따위는 하지도 않지. 본인들 신문사의 정치 성향에 따라 범죄자도 억울한 사람 만들고. 너흰 누굴 욕할 자격이 없어.,True,1,2025-04-16T08:51:14+0900,856927874941190194,1,0,1
ocsu****,4btq5,"헐 엠비씨?
니들이 그런말 할 자격있나?
정부탓 하기전에 니들의 만행을
돌아보라ㆍ국민들은 니들의 편향
된 보도를 똑똑히 봤고 지금도 보고
있다ㆍ",True,1,2025-04-15T19:08:51+0900,856874892526616868,8,8,0
bio9****,2Ypcj,사이비 언론,True,1,2025-04-20T16:59:17+0900,857330402061189203,0,0,0
blog****,,,False,1,2025-04-16T23:39:26+0900,856985096891138179,0,0,0
aubi****,5n3eg,언론이 잘빨아주어 만든 대통령 아닌가? 아직도 열씸히 빨고 있는 데... 타분야에서 대한민국 위상을 올려놓으면 언론이 대한민국 수준을 다 깍어먹는 거 아는 지 모르는 게 현재 언론의 현실이다. 걍 자극적이고 불필요한 사회적 갈등만 부추키는 좀비세력들,True,1,2025-04-16T15:16:44+0900,856952710656688416,0,0,0
swlo****,4MU45,ㄱ레기,True,1,2025-04-16T10:54:53+0900,856935840528466264,0,0,0
welc****,5n6iO,한놈  잘못뽑아서 나라가  뽑혔다. 그놈을 따른 ?,True,1,2025-04-16T09:35:13+0900,856930708193542212,0,0,0
skyd****,2kdRR,저것들이 언론이라고?,True,1,2025-04-16T08:52:18+0900,856927943660666975,0,0,0
leeh****,1Gu8F,"기능과 역할을 제대로 해냈다면 존중 받았겠지, 무조건 반대를 위한 반대만 외쳤던 언론인들 자중 좀 해라...",True,1,2025-04-16T08:48:38+0900,856927707370356893,0,0,0
dnau****,,,False,1,2025-04-16T08:48:31+0900,856927699921272963,0,0,0
kimj****,wV7z,기자가 즉 언론이 쓰레기인것을 자인하는구나..,True,1,2025-04-16T08:16:31+0900,856925637984649323,0,0,0
