user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
king****,482Kw,재판관님..야당몫을 결재 안하고 7개월을 질질 끄신 술꾼을 나무라셔야죠..저 여자는 임명되기 전에 법카 불법 사용으로 검찰 수사 받아야 하는데 개검들이 왜 수사 안하냐고 나무라셔야죠..,True,1,2024-11-12T18:53:36+0900,842587131208532185,40,10,2
goal****,8Tsnw,헌재는 국회가 추천 안했다고 탓할게 아니라 국회 추천 후보를 이유도 없이 7개월 동안 임명하지 않은 석열이에게 책임을 물어야지... 헌재가 석열이와 국짐당 추천인사로 채워졌다고 하더니 석열이에게 은혜 갚는거냐?,True,1,2024-11-12T19:34:57+0900,842589795279438137,15,4,0
yean****,5VLA9,면상자체가 국짐과 대구와경북  수준,True,1,2024-11-12T18:57:44+0900,842587397211291912,14,5,0
jbsn****,,,False,1,2024-11-12T19:51:28+0900,842590859609243809,0,0,0
kwan****,4gd2f,빵진숙 자격미달,True,1,2024-11-12T22:07:54+0900,842599648857162026,2,0,0
zaar****,10foy,"이렇게 재판장들이 개판인데, 법치가 무슨",True,1,2024-11-12T19:45:47+0900,842590493631054114,3,2,0
weus****,1DReg,결재를 안 하는 윤돼지가 문제지,True,1,2024-11-12T19:10:18+0900,842588206711963767,3,2,0
posi****,1snlo,빵순이 빵순이 빵빵빵,True,1,2024-11-12T23:55:18+0900,842606567781040214,1,0,0
zizi****,,,False,1,2024-11-12T18:44:39+0900,842586554458177777,0,0,2
jang****,,,False,1,2024-11-12T18:50:46+0900,842586949226070263,0,0,0
csk1****,41pIm,쌍판 바라,True,1,2024-11-12T19:05:50+0900,842587919167258896,1,1,0
kims****,4pQlf,"임명권갖고 삼권분립추천권을 엉망 만든게 그다, 권한남용으로 탄핵되야 한다",True,1,2024-11-12T19:04:22+0900,842587825063854220,1,1,0
gyp1****,1O4II,"요즘 사회가 왜 이리 됐는지 답답하다. 정부와 대통령이 법을 무시하고 시스템을 파괴하고 있으니 사회 각 공적 기관이 온통 무법천지다. 방통위는 언론을 통제하는 기구이다. 가장 중요한게 위원의 구성인데 
기본적 취지를 무사하고 2명이 결론을 내리는건 이치와 상식에 맞지 않는다 왜 우리 사회가 기본적 상식이 무너지고 있는지 참 한심하다.",True,1,2024-11-14T11:42:28+0900,842744898426765506,0,0,0
cowb****,2xrmf,대한민국에서 여자 2위로 저아줌마 싫어... 1위는 알제?ㅋ,True,1,2024-11-13T00:03:55+0900,842607123425657054,0,0,0
ms_s****,,,False,1,2024-11-12T20:42:31+0900,842594148379787428,0,0,0
limr****,6wns5,한법재판관도 탄핵 대상이 돼야 하겠군.,True,1,2024-11-12T19:41:44+0900,842590232711790860,0,0,0
muse****,,,False,1,2024-11-12T19:38:27+0900,842590020513562765,0,0,0
lyu2****,,,False,1,2024-11-12T19:15:47+0900,842588560207905030,0,0,0
lee8****,evfXI,여당대표.야당대표사활을걸고.없으면차기령될거갗나.짝도없는망상버려라.공정과의리있게해라.차기정권여꿈도꾸지말아라여집권후뭘했노.거부권이어서가결만들고.국민은생각없는지아느야이재명죄없다심중으로짜마추기식그분께서분노하시고공정으로심판하실것이다,True,1,2024-11-12T19:13:03+0900,842588384634339351,0,0,0
gimy****,,,False,1,2024-11-12T19:29:37+0900,842589452218925278,0,0,0
poca****,,,False,1,2024-11-12T19:01:19+0900,842587628216778876,0,0,0
hyie****,1lzXn,윤재앙이 민주당 추천 위원 임명을 안해 벌어진 일. 윤가나 빨리 탄핵해라.,True,1,2024-11-13T08:54:47+0900,842641324518670567,0,1,0
kite****,wpYl,성심당 빵순이 ㅋ,True,1,2024-11-12T19:03:32+0900,842587771192213697,0,1,0
yuu0****,,,False,1,2024-11-12T19:25:27+0900,842589183313707169,0,0,0
