user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
ch22****,5zuXT,윤석열 김건희 방탄정권.....검새와 국짐당 패거리들이 방탄을 열씨미하면서 뒤집어씌우기는 항상 그랬듯이 이재명과 민주당에게.....,True,1,2024-11-15T09:28:20+0900,842829027793174675,28,5,4
devi****,7oPE8,"에휴 이 정부는 아직도 이러고 있나. 잼버리폭망, 엑스포삭제, 의료대란, 채해병인권유린, 위키입틀막, 물가&amp;환율폭등, 주가조작허용, 양평고속도로이득, 민간인청탁공천까지... 민생 다 말아먹네",True,1,2024-11-15T10:06:08+0900,842831463593279541,21,5,1
jyun****,2svcT,굥이랑 같이 몰락시키는 수 밖에...,True,1,2024-11-15T09:33:31+0900,842829362515411149,13,6,0
yhch****,,,False,1,2024-11-15T10:27:33+0900,842832842781098193,0,0,1
tbbl****,29Mra,탄핵 청원안하나요?,True,1,2024-11-16T13:30:20+0900,842937390170374217,1,0,0
jeon****,,,False,1,2024-11-17T11:52:59+0900,843023889821860043,0,0,0
obey****,,,False,1,2024-11-16T11:46:10+0900,842930679132979243,0,0,0
st15****,3xUVe,"민노총 간부들의 북합 간첩 확인. 유죄 확정! 즉 민노총 간부가 북한 김정은 지령을 받아 대한민국에서 정보 넘기고, 윤석열정부를 무너뜨리기 위해 집회를 통해 윤석열탄핵을 외쳤다는 것! 그런데 일부 간부들이 유죄 확정을 받았음에도 그전 탄핵기조를 여전히 유지하고 있음. 이건 곧 민노총안에 아직도 간첩이 있다는 의미. 그런 간첩단 민노총과 대한민국의 거대정당 민주당이 연합했다?  이건 민주당이 민노총과 결을 같이 한다는 의미 아님? 민주당도 정은이 지령 받는 간첩임? 궁금하네!",True,1,2024-11-16T00:56:47+0900,842888843299389571,0,0,0
st15****,3xUVe,"민주당과 북한 공산당 간첩이 수괴로 있던 민노총의 연합집회. 이건 반국가세력이라고 해도 무방한듯. 그런 자리에 촛불 들고 나가려는 사람들아 정신차려요. 민노총과 민주당은 이재명 방탄, 민주당 방탄을 위해서 집회를 통해 폭력유혈사태까지도 불사할거예요. 그 자리에 갔다가 반국가폭력사태를 위해 누군가의 희생이 필요할 수도 있어요. 그 희생이 당신이 아니라는 법 없어요. 그러나 저 집단의 수뇌부는 희생안당해요. 자신들은 업을 세워  기득권되야하니까.부화뇌동해서 그 자리에 간 무고한 국민만 당하는거예요. 518, 43의 발단이 있었듯이요!",True,1,2024-11-16T00:50:41+0900,842888449907228775,0,0,0
junh****,,,False,1,2024-11-15T15:16:26+0900,842851453964910808,0,0,0
wlsg****,,,False,1,2024-11-15T11:23:47+0900,842836465619566880,0,0,0
topc****,1UJDP,"박근혜는 4년 대통령 했고, 윤석열은 3년 대통령이 될  겁니다. 이거는 어린애도 압니다",True,1,2024-11-15T11:12:26+0900,842835734720151729,0,0,0
rudn****,17cLN,"여당이나 검찰은 본인들이 소멸될 줄 모르고, 온갖 범죄저지른 사기꾼을 비호하는 꼴...
근데 그 사기꾼들이 댁들에게 뭘 해줬을까??? 대신 죽을 가치가 있긴 하나???",True,1,2024-11-15T10:54:24+0900,842834573485146257,0,0,0
unbo****,NSUi,똑똑한척은 혼자 다하더니 겨우 이재명밑에 들어가서 딸랑이고 있냐?,True,1,2024-11-15T10:53:09+0900,842834491931099200,0,0,0
kamc****,2aQmr,윤씨는 운이 참 좋아.....,True,1,2024-11-15T10:48:00+0900,842834160899850241,0,0,0
from****,,,False,1,2024-11-15T10:14:40+0900,842832013382648097,0,0,0
shib****,HRov,"윤석얼씨, 김견희씨!! 탄핵을 위해 조금만 더 힘내요.",True,1,2024-11-15T10:13:28+0900,842831935804801232,0,0,0
kado****,c0FMv,늙은것들 댓글봐라,True,1,2024-11-15T10:01:55+0900,842831191835935072,0,0,0
korv****,2SSfL,수박똥파리 개처리 너도 윤두창이 대통령 만들어 나라를 쑥대밭으로 만든 넘들중 하나지.,True,1,2024-11-15T09:56:52+0900,842830866290835786,0,0,1
korv****,,,False,1,2024-11-15T09:55:43+0900,842830792018100481,0,0,0
tss0****,2YN3r,같이   일?하던  아랫것들이   소각될  것이   아직   남은거   같은데      기대  하시라      저  세상  가는날   받은   너들에게!   축하  한다.,True,1,2024-11-15T09:52:27+0900,842830582168682657,0,0,0
gran****,2chXJu,전문가랍시고 정가 주변에 어슬렁대면서 훈수나 두는 양반들 얘기를 들을 필요가 있나,True,1,2024-11-15T09:50:05+0900,842830429210804252,0,0,0
