user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
comf****,pZD7,윤썩열 찍은것들의 뇌가 궁금할 뿐이다,True,1,2024-11-16T17:08:37+0900,842951452899934374,368,152,28
sos5****,1QH04,"이렇게 대놓고 국민들 속이는 댓통과 댓통실은 없었다, 국민을졸로보고 맘껏 속여도 된다는 오만한 집것들..두고볼께 니들 운명이 순탄치는 않을거다, 이런 나라 봤어? 이게 나라냐구..",True,1,2024-11-16T17:32:18+0900,842952978770952269,178,32,4
masa****,a8o88,"여론조사 조작,총선개입 윤석열은 당선무효 및 감방행",True,1,2024-11-16T17:08:38+0900,842951454359552197,122,24,2
rain****,4dE9P,윤썩열 탄핵!!!,True,1,2024-11-16T17:21:19+0900,842952271242199110,119,38,4
ha******,2dsq2,멧돼지를 끌어내려  나라를 살려야 한다....,True,1,2024-11-16T17:26:23+0900,842952598045589606,62,19,2
hsto****,2yNId,"이미 대세는 정해졌다!
우리나라 양형 기준은 최종심으로 갈수록 너그러워져!
게다가 윤건희가 본인들 잇속만 챙기고 부정 눈 감고 즐기는데 매진해
이념을 떠나 거의 대다수 국민들이 돌아선지 오래!
윤석열차 아바타와 다를바 없는 한동훈에게 차기 대권을 주는건 무리!
평생 검찰에서 철밥통으로 취조하고 기소하고 구형하고 이것밖에 모르는 얘와 다년간 도지사로 행정과 정무가 입증된 얘와 어느 얘가 국정운영을 잘할까?ㅉㅉ 이미 윤석열차를 통해 검증됐잖아?!ㅋㅋ",True,1,2024-11-16T18:18:47+0900,842955973973770423,16,5,1
chan****,5z9tp,내가 윤통찍어 대통령 만든장본이지만 이렇게까지 국민들 열불나게 할줄 진짜몰랐습니다 내가다 부끄럽고 죄송스러워 진심사과 합니다  다시는 투표 안하기로 작정했습니다 재삼 사과드립니다,True,1,2024-11-16T17:14:40+0900,842951843104424113,14,3,0
rbsc****,,,False,1,2024-11-16T19:15:22+0900,842959619008495682,0,0,0
qlal****,ibXq,국민들은 대통령 물러나라고 울부짖고 있는데도 해외나가서 글로벌 호구짓이나  하고다니는 이 모지리를 어찌할꼬 . 오호 통제라,True,1,2024-11-16T17:40:06+0900,842953481818996765,11,4,1
jaim****,Klhc,눈덩이가 굴러가기 시작했다 구를수록 커지는 눈덩이가 윤건희를 깔아 뭉갤것이다,True,1,2024-11-16T18:35:14+0900,842957033018753084,9,2,0
