user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
kjs1****,kyCr,간첩집단이다.김여정하명법 여겼다고 국방장관탄핵? 헌재에서도 합헌결정이 난대북전단 아닌가? 개딸당 미쳤다.저것들이...한나라에 국방장관을 탄핵? 간첩이 따로있나? 간첩질하면 간첩이다.,True,1,2024-11-20T06:11:23+0900,843280195887562781,66,21,5
chil****,48wdo,"탄핵해서 인용이안되면  탄핵발의자도
책임을지는 법률이필요하지않을까",True,1,2024-11-20T05:46:24+0900,843278586482786331,45,6,3
duk4****,,,False,1,2024-11-20T06:36:12+0900,843281795142123544,0,0,0
kgt7****,3MAv3,이죄명 당 에서는  할수있는게   탄액 이지  분당 에 뱀 🐍 눈 평산에  🐕    모두 감방  으로,True,1,2024-11-20T05:45:10+0900,843278507462098951,19,3,1
kudo****,150Fk,입틀막 장관 탄핵을 해도 상관없는데 모양새가 너무 안 좋음. 김여정이 대북전단 버럭하자마자  탄핵하는 모양새가,True,1,2024-11-20T05:47:00+0900,843278625221378050,16,0,0
gkgk****,,,False,1,2024-11-20T06:57:23+0900,843283159297556516,0,0,0
kws2****,1821z,"계속 탄핵을 해야한다. 헌재가 거부하더라도.. 국민에게 전쟁공포로 겁을 주면서 지는 골프치고, 장성들은 골프못치게 해놓고.. 장관이 계엄을 준비하느라 바쁜거 같고.. 어떻게 해서든 우크라이나 전쟁에 참전하여 전쟁공포를 조성하여 지지율 반전을 노리는 모험을 한다는 의심이 강하게 든다.. 국민을 볼모로 정권유지에 혈안이다...",True,1,2024-11-20T07:38:03+0900,843285779949027340,5,1,0
kira****,15eDC,북한에 위협만 되면 다 제거해 버리는구나 민주당아. 김관진도 그렇게 괴롭히더니 니들은 결국 간첩집단에 불과한 반정부단체일 뿐이다. 반드시 그 죗값은 치뤄야할거다. 손바닥으로 하늘을 못가리듯 문재앙 패거리와 찢죄명이의 죄들이 하나씩 터져나오는거 봐라. 좌파카르텔이 단시간 이렇게 커진건 흘러들어간 자금이 어마어마 하다는거다. 앞으로 줄줄이 터져서 나올껄,True,1,2024-11-20T06:54:19+0900,843282962131714078,5,1,0
sgm0****,90prL,"우선 찟부터 사형시키고해라
공산당들아  나는 공산당이 실어",True,1,2024-11-20T08:01:06+0900,843287264564871189,4,0,0
arom****,2MQgw,잉?? 노컷의 태세전환인가?,True,1,2024-11-20T05:26:53+0900,843277329164664882,4,1,0
kyus****,,,False,1,2024-11-20T07:00:13+0900,843283342655750166,0,0,0
houn****,,,False,1,2024-11-20T09:00:20+0900,843291080962080857,0,0,0
vhgk****,8OFib,국방장관까지탄핵하면민주당은대한민국국민을위해존제하는당이아닌듯함,True,1,2024-11-20T08:58:39+0900,843290972765814939,2,0,0
sf******,hzFn,대북전단 찬성하는 자들의 심리란 무엇일까,True,1,2024-11-20T08:27:42+0900,843288977870946478,2,0,0
coun****,34qQM,민주당은 나라 전복 세력임?,True,1,2024-11-20T08:15:30+0900,843288192261030010,2,0,0
nonl****,47yFG,노컷뉴스 돌았나?  제믁 뽑은 수준 보소?!,True,1,2024-11-20T07:54:22+0900,843286830789951563,2,0,0
sara****,7tWGL,가짜 진보 사이비 운동권 범죄당의 국가 전복 조장에 대한 당 해체  소추 안 하냐?,True,1,2024-11-20T06:19:27+0900,843280716132253736,2,0,0
iopl****,,,False,1,2024-11-20T07:09:40+0900,843283951299592295,0,0,1
jae8****,3E4fW,마구잡이 탄핵으로 국정마비...권력에만 매몰되 아무것도 가리지 못하고 적을 이롭게 하는 짓이지,True,1,2024-11-20T09:10:02+0900,843291705493946382,2,1,0
writ****,4dTsX,왜 늠름하고 용맹한 김용현 국방장관님을 탄핵하려는건가요? 이해할 수 없네요.,True,1,2024-11-21T16:30:43+0900,843412867779657995,1,0,0
kano****,2jRve,뇌물전과자가 탄핵을 지껄이네. 제정신??,True,1,2024-11-21T04:45:53+0900,843367458868822054,1,0,0
tige****,2Qwce,찬성합니다,True,1,2024-11-20T09:35:52+0900,843293369458229570,1,0,0
ydea****,2DPYo,탄핵 범죄자 당 부끄러움 알아야 인간 입니다,True,1,2024-11-20T09:05:47+0900,843291432260206823,1,0,0
yjm1****,9o56M,지금 현실은 여당은 대통령과 그 가족을 방탄하고 있고..야당은 이재명 방탄에 올인하고 있고..말로만 떠드는 민생 국민이 다 인것 같다..내가 볼때 탄핵 해야 할 사람들은 국회의원들이다...크게 하는 일 없이 입 싸움만 벌이며 이득만 챙기는 집단으로 나라에 큰 도움이 되지 않는다...국회의원들을 탄핵하라...,True,1,2024-11-20T09:01:39+0900,843291165687021714,1,0,0
ohen****,,,False,1,2024-11-20T08:53:03+0900,843290611116146710,0,0,0
