user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
nosc****,4Gvbt,"요즘 방송에 나와서 떠드는 것들을 보면   ""  구한말  ,  살기 위해서  간신 짓을 하던 ""  조무래기 이방  "" 들을 보는  듯 하다 !",True,1,2024-11-30T08:44:39+0900,844217783423074382,49,9,0
dsli****,2zRul,"이준석의원같은사람 10명 만있어도 우리나라 장치판 최소한 개판은 안됩니다.

아무리 거대 양대들이 죽이려 악을 쓰면쓸수록  이준석의원은 더 큰 성장을하며 우리의 정치판을 바꿀것  확신합니다.",True,1,2024-11-30T10:46:13+0900,844225615698591798,62,47,7
mrm6****,5ItdH,이준석 적극 지지합니다 화이팅,True,1,2024-11-30T12:12:13+0900,844231156122517567,20,9,2
mjo6****,2cPJxa,윤과 김부부의 게이트를 개논리로 이준석에게 묻히려다 명확한논리에 개박살나는중~문젠 그걸 파는 놈과 무지성 그런줄 아는 멍청한 인간들인거지,True,1,2024-11-30T11:25:35+0900,844228150886924421,11,5,0
park****,,,False,1,2024-11-30T08:36:35+0900,844217263933358183,0,0,0
mjo6****,2cPJxa,명확하네~논란에 정확한 논리대응으로 반박하는 정치인이 있어 다행이다,True,1,2024-11-30T11:16:33+0900,844227568868524158,5,1,0
aide****,44i6t,이준석으로 몰아가는 국짐ㅋㅋㅋ 대다나다,True,1,2024-11-30T10:13:43+0900,844223520928956589,3,0,0
pump****,,,False,1,2024-11-30T09:32:52+0900,844220889372295363,0,0,3
bncs****,4Kj5q,Cbs. 웃긴것들 이준석 김종인은. 수사대상인데 자꾸 불러다 발언권을 주냐 니들 언론이 나라 이꼴만든거야,True,1,2024-11-30T20:49:02+0900,844264451380084741,7,5,0
sean****,262Jj,줌석아 다 들켯다. 중공 커넥션.  끝낫다. ㅋㅋㅋ간첩법 적국 아닌 외국.,True,1,2024-11-30T12:32:04+0900,844232434965807123,4,2,1
jyb2****,16aJQ,하버드대 개고기학과는 저런거 가르치나봐...,True,1,2024-11-30T18:59:43+0900,844257408539689120,2,0,0
reji****,,,False,1,2024-11-30T18:45:22+0900,844256484719067223,0,0,0
brea****,31qrq,이준석이 유일한 보수인듯,True,1,2024-11-30T10:36:17+0900,844224975563915321,2,0,0
hjyk****,,,False,1,2024-11-30T09:22:46+0900,844220238533755020,0,0,3
kapf****,1Gx4m,하다하다 엄마 동정표까지 동원하니?  정말 가관이네,True,1,2024-12-01T19:36:10+0900,844352528643522610,3,2,0
dolm****,6CQrp,이준석은 사사로운 원한으로 정치하지 않는다... 나라의 미래와 번영을 생각하지... 탄핵당하지않도록 잘하라고 여전히 말하고 있는거다... 탄핵하고 탄핵되면 뭐가 좋겠니? 국내도 문제지만 국제사회가 지금 일촉즉발의 위기상황이다... 정신들 차려라  정치권은,True,1,2024-11-30T10:50:09+0900,844225868497682469,2,1,0
leek****,,,False,1,2024-12-02T07:49:26+0900,844399769072697428,0,0,0
none****,4Pwe2,"같은 뱃속에서 나온것들끼리 지 잘났다며 떠드는 꼴이 우습다, 현 보수정치인중 누가 차기 대통령이 된다 해도 이명박 박근혜를 본받아 그대로 묻고 탄핵될때까지 난리칠게 눈에 보이는데 왜 딴소리를 하는 사람들이 있나 싶고 그렇네",True,1,2024-11-30T19:45:26+0900,844260354149056587,1,0,0
