user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
bull****,,,False,1,2024-12-02T18:48:40+0900,844442239202492644,0,0,4
khk7****,4vyrz,검새들 🐕소리하고있네 중립성 훼손은 니들과 술돼지가하고있지 어데서 헛소리고?,True,1,2024-12-02T19:24:39+0900,844444557377536246,164,5,3
sooh****,2l9af,아니 선택적 중립 필요없다고.....머리들이 모자르냐? 너네 충분히 중립적이지 않고 김건희 개 잖아,True,1,2024-12-02T19:43:11+0900,844445751193894969,98,2,0
hosu****,7RWGW,검찰이 중립이라고 국민들은 전혀 그렇게 생각하지 않는다.,True,1,2024-12-02T19:16:20+0900,844444021848801389,96,1,2
hosu****,7RWGW,권력에 아부하는 검찰은 국민들이 용서하지 않는다.,True,1,2024-12-02T19:14:52+0900,844443927627956517,58,1,0
nank****,,,False,1,2024-12-02T19:46:00+0900,844445933495123978,0,0,0
ksg3****,,,False,1,2024-12-02T20:10:41+0900,844447522968568061,0,0,0
clou****,2dnCT,"검사가 입에 중립을 올리는것 자체가 넌센스 아닌가 ㅋㅋㅋ
걍 기득권에 기생하고픈 공부 잘했던 애들이 된게 니들 아니냐 ㅋㅋ정의가 있냐?",True,1,2024-12-02T19:44:31+0900,844445837361676462,11,0,0
bksn****,4QlNr,검찰 중립성 훼손한 집단행동 검사들을 파면해야 한다.,True,1,2024-12-02T19:06:53+0900,844443412466762019,9,0,0
park****,PlN3,콜검들 명절떡값 삭감에 난리들이네.. 앞으로 소고기는 니들 돈으로 쳐먹어라~ㅋ,True,1,2024-12-02T20:26:40+0900,844448552921858265,8,0,2
57so****,2ie0C,뭔소리?  언제 검사가 중립이였나요?  매일 쏟아지는 윤건희 탄핵 김건희 특검은 그럼 편파란 말이지요? 국민이 크게 잘못했네.... 검찰,True,1,2024-12-02T19:11:12+0900,844443691236982846,8,0,0
toey****,1WR1u,헌법이 부여한 독립성을 심각하게 훼손하고 수사대상을 권력 유무에따라 선택하는 검찰은 더이상 검찰 역할 하면 안된다.. 그러니 탄핵 해야지 .. 수사도받고,True,1,2024-12-02T23:04:16+0900,844458706006442083,6,0,0
sshe****,QRLH,대통령도 탄핵되는 마당에 검사 나부랭이 탄핵이 무슨 대수라고. 검사의 특권의식을 고스란히 보여준다.,True,1,2024-12-02T20:44:24+0900,844449695970361478,6,0,0
king****,8Y5uo,사표 쓰시니 감사합니다. 중립성훼손은 검사님들께서 먼저하셯습니다,True,1,2024-12-02T19:45:57+0900,844445929854468399,6,0,0
drak****,ddrUn,검사 이천명 사표받고 기소청으로 바꾸고 변호사대상으로 모집공고 내라. 이 더러운 정치집단이 우리나라 발전을 막는 중대범죄자 집단이지 이게 무슨검사냐.. 배불러서 아우성인데 옷벗고 나가서 변호사하라해라..,True,1,2024-12-02T20:49:32+0900,844450026213081274,5,0,0
daew****,,,False,1,2024-12-02T20:46:08+0900,844449807404630065,0,0,0
pica****,4TBJ4,너희만  사는세상이냐.. 국민을 위해 충성해야지.. 권력에 충성하는자들은 국가 공무원을 그만둬라..,True,1,2024-12-02T19:45:17+0900,844445886367924314,5,0,0
n209****,tEH1,다    사퇴해라  니네 없으면    대한민국    더  발전한다,True,1,2024-12-02T21:08:08+0900,844451224576065583,5,1,0
tjdy****,1ul9c,언제부터 중립적이였다는거지? 그냥 해체해버리고 없애버려라 말이너무많어 검사 나부랭이들,True,1,2024-12-02T20:49:30+0900,844450024401141919,4,0,0
amcb****,1dRnq,"내년부터 선거시에 국힘은 없다.절대 않 찍는다. 두고 보자.
전국적으로 없는자 7ㅣ%가 찬성 한다.",True,1,2024-12-02T19:44:06+0900,844445810719457326,4,0,0
kjw7****,1l1BS,"니들이 뭔 대단한 사람들인양 하는데 우리세금으로 니들 월급이니 특활비니 다 나가는거야.. 니들,일 못하면 당연히 짤라야하는거 아냐?",True,1,2024-12-02T20:13:58+0900,844447734546039095,4,1,0
e2******,,,False,1,2024-12-02T19:45:00+0900,844445868684738565,0,0,1
chlw****,jn8p,검찰독재정권의 개검제도를 일본에 돌려주자. 검새들은 사냥개 노릇을 했으니 솥에 삶고. 법위에군림하여 국민의. 삶을 파괴하는 검찰독재정권의 검사들을 모두 국민의 이름으로 탄핵하자. 국민투표에 회부하자,True,1,2024-12-02T21:18:08+0900,844451869005709357,3,0,0
arum****,,,False,1,2024-12-02T20:51:06+0900,844450127362916386,0,0,0
