user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
gump****,7Lkf3,내란수괴범을 배출한 당의 대표와 내란 동조혹은 방조를한 총리가 함께 국정운영한다는게 말이되나? 개가다웃겠다. 끝까지 지놈들이 정권놓지않겠다는 야욕이지. 국민을 개무시하네..네놈들이 할일은 탄핵 협조하고 숨만쉬며 국민처분기다리는거야...,True,1,2024-12-08T13:21:16+0900,844977774731984980,71,18,2
skyb****,1PKxB,감옥갈준비나 하세요 재판연기나 신청한분이,True,1,2024-12-08T13:16:50+0900,844977489250877682,77,33,3
jack****,uItS,국회 범죄인 두 명 밀담나누는 것 봐라. 저러니 나라가 이 모양 이 꼬라지. 거대야당 제왕적 입법독재.,True,1,2024-12-08T13:27:22+0900,844978167973150824,26,8,2
dusk****,,,False,1,2024-12-08T13:22:33+0900,844977856722239643,0,0,0
lje6****,2caGvV,너나 잘 하세요. 범죄자 주제에ᆢ질서있는 퇴진이면 되었지 너네같은 떨거지들이 갑자기 정권잡아 종북세력이 침탈하는 건 두고 볼 수 없네. 넌 니 입으로 사회주의자라고 말하지 않았던가?,True,1,2024-12-08T13:28:37+0900,844978248403124421,43,30,4
lhsu****,,,False,1,2024-12-08T14:02:00+0900,844980398487240705,0,0,0
tjdd****,iOPd,닌 진짜 뭔데? 재판이나 받아라,True,1,2024-12-08T13:08:58+0900,844976982578954559,11,6,0
sua7****,2bvfVz,범죄자끼리  담화??!!  풉~ㅋ  모의작당이것지,True,1,2024-12-08T14:01:02+0900,844980336025665546,4,0,0
tydd****,5ibpU,"이분은 좀 빠졌으면합니다
윤보다 이분이 더 재수없어요",True,1,2024-12-08T13:59:04+0900,844980209273798682,3,0,0
jky0****,,,False,1,2024-12-08T13:58:51+0900,844980196170793192,0,0,0
lenn****,,,False,1,2024-12-08T13:57:47+0900,844980127535202559,0,0,0
