user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
esta****,,,False,1,2025-05-01T23:27:14+0900,858375880114700381,0,0,14
just****,cAQYq,진짜 뭐하냐??? 난 그냥 장난으로 이재명 유죄 떴다고 화풀이한다 했는데 진짜였냐?? ㅋㅋㅋㅋ 레전드 당이구나 진짜 ㅋㅋㅋㅋ,True,1,2025-05-01T23:29:28+0900,858376024197431446,143,15,6
rnfl****,3SJb1,지금 미국이랑 관세 땜에 얼마나 중요한 시점인데 이시기에 경제부총리를 보복성 탄핵하는게 뭔짓이냐 이거도 내란이다,True,1,2025-05-01T23:36:00+0900,858376444366028803,119,28,3
zeni****,2mcpa,내란범은 민주당 것들이다.,True,1,2025-05-01T23:23:04+0900,858375611276591123,81,24,3
seou****,,,False,1,2025-05-01T23:28:18+0900,858375949136167029,0,0,4
sswt****,3lykn,"국민의 먹고 사는 문제가 걸린 관세협상이 진행중인데, 경제부총리를 탄핵한다는 민주당은 제정신인가? 정권에 눈이 멀어버린 민주당을 국민들이 반드시 심판해야 한다!",True,1,2025-05-02T00:46:00+0900,858380953947471874,19,2,0
okha****,1f5tW,이재명 유죄떴다고 화풀이로탄핵 ㅋㅋ 이것들은 갱생이불가능하니 그냥 다 멸살해야된다,True,1,2025-05-01T23:29:33+0900,858376029230596269,17,2,0
lyou****,3x2WL,진짜 내란범은 더불당국회 아니야. 지금 분위기는 오죽하면 계엄했을까로 바뀌고있다. 일당독재체제로 사법무시하는 후보자는 대한민국 대통자격이 없다. 지들이 유리하면 공정이고 불리하면 보복이냐? 어리석은 자들이 권력맛을보더니 눈이 뒤집히고있다..감시 국가체제를 흔들고 국민을 조롱하다니.,True,1,2025-05-02T01:24:16+0900,858383419325808692,16,1,0
ygka****,,,False,1,2025-05-01T23:30:47+0900,858376108452610288,0,0,0
s_br****,2cvFkO,민주당 화풀이 대단하네.  법의 판단을 받아들여라. 국짐이 윤석열 헌재 판단을 받아들인 것처럼 더불어당도 대법원을 판단 받아들여야한다.,True,1,2025-05-01T23:34:04+0900,858376319811977241,12,2,0
