user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
kymj****,1UuCv,탄핵해서 연금도 못받게 해야지,True,1,2024-11-01T15:01:18+0900,841551681366786175,56,12,3
kwoo****,6b8Xw,그런다고 죄명이 죄 없어지는거 아니다....,True,1,2024-11-01T15:24:28+0900,841553173297496274,31,12,1
baek****,3Mvwb,"야당의원들 디질까봐 바등바등거리네
그래뵛자  검찰은 법대로 간다
그저 트집을잡아 물고늘어져야
산다는 방식은 끝낫다
검찰은 법대로 신속히 처리하세요
쓰레기는 쓰레기통에 보내야",True,1,2024-11-01T15:06:05+0900,841551989966897184,20,7,1
herb****,1GJ6W,개헌안에 전과자들은 정치 못하게 하는 조항 넣으면 개헌에 찬성한다.,True,1,2024-11-01T15:19:47+0900,841552872515568027,15,3,0
bong****,8U9eL,"오직이재명 사법일정에 모든것을 맞츠는구만ㆍㆍ
임기단축이 뭘 의미하는데ㆍㆍ대통령들이 너무 못하니 바꾸자고 하면서 중임제ㆍㆍ이게 뭔난센스냐ㆍㆍ차라리 대통령임기 3년제로 바꾸면 모를까ㆍ이재명사법리스크ㆍ재판 종결전에 대선 치루어서 대통령되면
끝이다라는  생각인데ㆍㆍ정말 국민들을 모지로로 보나봐",True,1,2024-11-01T15:58:50+0900,841555387537686855,7,3,0
joyf****,,,False,1,2024-11-01T16:26:05+0900,841557143759880239,0,0,0
hosu****,,,False,1,2024-11-01T15:05:55+0900,841551979229479322,0,0,0
sora****,3FA1Z,윤통 싫어도 탄핵 찬성 안할 국민이 더 많지 ㅋㅋ대신할 놈이 죄명이면 더더욱 그렇지 ㅋㅋ,True,1,2024-11-01T15:16:58+0900,841552691086754239,5,2,0
cypc****,,,False,1,2024-11-01T15:06:09+0900,841551993288785999,0,0,0
notm****,c2Wot,탄핵 ㅡ찬성!,True,1,2024-11-01T18:39:37+0900,841565746730369214,4,1,0
corb****,2tPYY,윤싸패를 카다피 꼴 가즈아~ ㅋ,True,1,2024-11-01T15:04:38+0900,841551896366809346,11,9,1
pars****,hstB,"아주 자기들이 이 세상의 중심이고, 진리이고, 국민 위의 권력자인 듯 행세하는 구만... 윤통은 왜 그리 핑계꺼리를 제공했노.... 이리 국가와 국민이 혼란 속으로 빠져들게... 쯧쯧",True,1,2024-11-01T15:35:28+0900,841553882554302704,4,2,0
psn6****,1Qd1G,"개헌이든 탄핵이든 하루빨리 용산 정리좀하자
나라가 온통 마비다  !!!!!!",True,1,2024-11-01T20:37:09+0900,841573317885296709,3,1,0
ajhk****,1FVTr,범죄인한테 해고 통지 당하는 대통령도 대통령이라고 자빠져 있냐 지금! 여지껏 범죄인 놈 잡아넣지 못하고 뭐하고 자빠졌다가 이렇게 해고 통지나 받으려고 하나?,True,1,2024-11-01T15:22:47+0900,841553065369665872,2,0,0
isyo****,,,False,1,2024-11-01T15:05:39+0900,841551961848283414,0,0,0
