user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
b2bk****,,,False,1,2024-12-03T12:52:20+0900,844512054415982712,0,0,6
hsyo****,vC3P,"지금 하는 행태가 민주주의 체제를 무너뜨리는 일인 걸 좀 알았으면 좋겠습니다. 정당을 바꿔서 같은 일이 발생했을 때에도 올바르게 국정이 진행되고 있다는 생각을 가질 수 있어야 그 체제는 정상적인 것이죠. 만약 민주당이 정권을 잡고, 국민의힘이 본인들을 수사하는 검사들을 탄핵하라느니 감사하라느니 반복적으로 물고 늘어지면, 이게 정상적인 상황이겠습니까? 민주당은 지금 국정 운영 체제를 무너뜨리는 선례를 만들고 있습니다. 한 번 선례가 생기면 향후 이런 일이 반복될 가능성이 대단히 높습니다. 원하는 걸 얻어내는 방법이 이건 아닙니다.",True,1,2024-12-03T13:19:51+0900,844513826610086231,48,19,2
mins****,9xSIs,윤석열 엉터리 사기 대통령과 개검들 싹 다 쓸어버리자!! 그래야 나라가 산다!!  특활비는 민생과 상관없다 전액 삭감!!,True,1,2024-12-03T12:51:48+0900,844512019804586267,65,40,6
kjho****,6mc29,탄핵밖에할줄모르는찢탄핵당. 국민을위해일좀해라 국개세비좀줄이는척이라도해봐라. 국개도반으로줄이고~,True,1,2024-12-03T12:59:33+0900,844512518524109016,50,27,2
ssh6****,25vc6,"하라는 일은 제대로 안하는데 누가 어떻게 해야되겠냐?
국회에서라도 탄핵하는게 당연하다.",True,1,2024-12-03T13:28:52+0900,844514407621853555,20,6,0
jwsj****,3GbuR,민주당 정말 오랫만에 국민세금값하는것같다!!!!!!!!국회의원 자리는 국민이 뽑아준자리!!!국민개개인 자리가아닌!!!국민대표자리!!!!!!!!!!!!국민을 대표하여 행동하라!!!국민세금으로 떵떵거리ㅏ며 살아가는 개검들!!!!!대한민국 진짜 범죄자들은 대한민국 검찰청에 뭉뜽거려 구데기처럼 모여서 잘먹고 잜살아가는 개검들이 아주 대한민국 대표 범죄자들이다!!!!!권력만잇고!!!책임은업는 개검들에 책임감을 부여하라!!!!로스쿨생들만 뽑아서 대한민국 검시시켜도 현재보단 수천배 좋은 결과나온다!!진짜 범죄자는 대한민국 검사=개검들!!!!!!,True,1,2024-12-03T13:26:14+0900,844514237735764063,13,4,0
navp****,2c0j3e,"경찰국 신설에 반대하는 총경회의를 집단행동으로 처벌한 것처럼 국회의 지검장 탄핵안에 집단반발한 검사들도 압색, 수사, 기소 처벌하라!!",True,1,2024-12-03T13:23:41+0900,844514073453265160,9,1,0
minj****,ONYj,파렴치한 조작 개검 위법 범법 반드시 단죄해라 특히 특활비 부정 사용 횡령은 증거 명확하니 바로 조사 처벌해라,True,1,2024-12-03T13:38:06+0900,844515002877476911,6,0,0
bemu****,,,False,1,2024-12-03T13:12:54+0900,844513379379839330,0,0,1
jjhk****,d7moK,야당이 법위에 군림하네 무법천지네  이게 대한민국에서 일어나고 있는 좌파들의 행동,True,1,2024-12-03T14:45:10+0900,844519322977042498,5,0,0
