user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
sjym****,3zq2w,윤석열 쫌 빠져라. 없어도 이길까 말까 한데 자꾸 튀어나오면 100전 120패야. 끝까지 보수를 궤멸시키는구먼.,True,1,2025-05-11T14:46:33+0900,859270048399753377,15,0,0
zero****,3Bm7C,이놈 기사는 왜쓰냐 부고만 알려라,True,1,2025-05-11T14:10:31+0900,859267726953152651,11,0,2
jkch****,,,False,1,2025-05-11T13:43:47+0900,859266004889370794,0,0,0
nech****,3aMdp,이놈은 반드시 감옥가서 다시는 못나오게 해야된다,True,1,2025-05-11T14:25:43+0900,859268705920483515,8,1,1
haya****,1m8pR,염치라고는 1도 없는 놈일세. 계엄우두머리는 입다물고  국민의 처분이나 기다려라.. 잠시도  주 둥 이 를 가만두지 못하는군.  국힘당원 씀.,True,1,2025-05-11T14:18:06+0900,859268215002365985,8,1,0
yesu****,8HmmK,니가 지금 나와서 할 말이 아니지? 불법 비상 계엄이나 때린 놈이 무슨 지금.... 그래  자유민주주의를 위해서 너는 처벌이나 제대로 받아,True,1,2025-05-11T14:09:31+0900,859267662209876109,8,1,0
kim0****,1SsUx,그 더러운 입으로 국민 운운 하지마라,True,1,2025-05-11T13:33:35+0900,859265347507716301,8,1,0
alld****,2c3XN3,ㅋㅋㅋ너 말 한마디 한마디에 국민의힘 표 이탈 된다,True,1,2025-05-11T14:55:22+0900,859270615721312361,7,0,0
luxe****,2kqn6,정말 뻔뻔한 놈이다,True,1,2025-05-11T13:56:39+0900,859266832895312015,7,0,0
leew****,LoIY,국힘은 참 힘들겠다 ㅋㅋㅋ김문수 한덕수 해결했더니 윤석열이 뛰어나오네 ㅋㅋ,True,1,2025-05-11T13:42:44+0900,859265936304111789,7,0,0
kim7****,2OxTr,가만히 있으면 경쟁률이 올라갈텐데 석렬이가 깝죽대는 바람에 김문수가 더 어려워지겠다. 아직도 자기가 무슨짓을 했는지 전혀 감이 없구나!ㅉㅉ,True,1,2025-05-11T13:50:13+0900,859266418800066621,8,2,0
jsw7****,1j3UQ,저인간 빵에 들어가는거 봐야하니깐 이번엔 이재명으로 갈거다,True,1,2025-05-11T13:45:32+0900,859266116944396419,8,2,1
h920****,3WAKB,미쳐도 곱게 미쳐야지.. 어쩜 이렇게 추하게 미칠까?,True,1,2025-05-11T14:15:06+0900,859268022467035168,7,1,0
jeju****,7r3EO,"저런인간을 풀어준 지귀연아...너 하나의 욕심 때문에 대구,경북,강원 다수만 빼고 전국민이
스트레스 받는다
지귀연 꼭 벌받을것이다.정의롭지 못한 판사로 남을것이다
이민갈 준비해라.",True,1,2025-05-11T15:29:51+0900,859272838064898280,6,0,0
ycha****,1hTy0,재명이 득표율 10% 상승...석열이 제대로 재명이 선거 운동하그만....,True,1,2025-05-11T14:09:12+0900,859267641976553528,6,0,0
