user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
alca****,a4j8X,담화에 참석하는 기자들은 반드시 질문해라~~ 특검을 거부하는 자가 범인이라고 룬석열이가 자기입으로 말했는데 지금 특검을 왜 거부하고 있냐고~~~범인이냐고~~,True,1,2024-11-06T13:39:31+0900,842010268832628980,5,1,0
scou****,D6N3,"들어보나마나.개소리말고 댁 마누라 끌고
꺼지시오!",True,1,2024-11-06T13:51:35+0900,842011046037160210,4,2,0
ksw3****,2rr2z,전과4범 사기꾼 11월이면 빵에 갑니다. 똥줄 타겘다.,True,1,2024-11-06T13:57:41+0900,842011439462875459,1,0,0
miky****,,,False,1,2024-11-06T16:01:31+0900,842019416727093466,0,0,0
s1eg****,,,False,1,2024-11-06T17:02:42+0900,842023358886314319,0,0,0
sonb****,,,False,1,2024-11-06T13:55:07+0900,842011273922084935,0,0,0
khun****,4gewz,특검이고 머고  국민앞에서 잘했다고 떠벌리고 있는 저면상을 언제까지 봐야되냐,True,1,2024-11-07T11:22:28+0900,842094210461991123,0,0,0
1000****,4hC9D,이재명 너나잘하시길,True,1,2024-11-06T21:11:55+0900,842039414564585825,0,0,0
sjp8****,3ZQ9u,"대한민국 국민 누구든 말할 자격이 있습니다
그러나 제 견해로는 리재명만은 말할 수 있는 자격도 없다고 봅니다",True,1,2024-11-06T18:21:32+0900,842028438154903760,0,0,0
jsmh****,,,False,1,2024-11-06T17:29:55+0900,842025112608702877,0,0,0
qwas****,,,False,1,2024-11-06T13:47:34+0900,842010787902914790,0,0,0
rkas****,3g9JR,윤석열은 끝났다,True,1,2024-11-06T15:48:47+0900,842018596992319886,1,2,0
tmoo****,13tS0,"에~ 쩝쩝 에~ 쩝쩝쩝 
보나마나~",True,1,2024-11-06T16:37:39+0900,842021745085907285,0,1,0
