user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
chon****,31JO9,참!  선동아!   니들은 국민과  나라에 그리 관심종자라서  게엄하고 내란을 일으켰니?   제발  아닥하고  있어라...니들이  잘했으면  이번  대선 누가 나와도  이길거 잖아....아    닥!   그리고  이번주말  강랜에  갈거니까  자리나  하나  예약해 주라.,True,1,2025-04-22T12:18:59+0900,857497886122836362,8,2,1
jkyo****,3uVpg,"나가 뭔데 물덕수 탄핵을 하라 마라 하는가??
니 쫄개냐??
니가 지금 여당이냐??
국민들을 뭘로보고 지껄이냐~~
너같은 인간의 배설은 강원도에나 통하겠지!!",True,1,2025-04-22T17:49:48+0900,857519198874632491,2,0,0
yy31****,BM8d,성동아 임명직인 총리는 권한대행이라도 선출직인 대통령과 엄연히 다르다. 대행은 어디까지나 현행유지가 럽무이다. 그걸 넘어 대통령 놀이하면 탄핵 되어야지...근데 국짐 니들은 국민들께 진심어린 사과부터 해야하는거 아니냐??? 그러고도 대선에 이기길 바래???,True,1,2025-04-22T12:19:07+0900,857497895484522548,6,5,1
cola****,2cF3HR,턴핵해라,True,1,2025-04-22T15:58:57+0900,857512057350652252,1,0,0
luna****,3pjB4,잘해야 쥐판같은 오물덩어리 내란당. 어느날 쥐가 밝혀 죽는 날이 올것 같다.,True,1,2025-04-22T12:36:17+0900,857499001254051944,1,1,0
hjan****,mgEO,한덕수밖에 없다 적극 지지합니다 한덕수 총리님 국민들을 위해 마지막 사명으로 여기시고 죽어가는 대한민국을 위해 제발 꼭 출마 해주세요.선은 악을 이깁니다.모든게 다 때가 있습니다. 지금이 그때 입니다.좌도 우도 아닌 하나가 되는 대한민국을 위해 부탁드립니다,True,1,2025-04-22T22:23:48+0900,857536851206996234,0,0,0
jsw6****,3JBqp,매국내란견들아 컵라면에 술 사 마실려고 뇌까지 당근했냐 덕수가 외신 인테뷰한거 보면 이완용이 스승님 하겠다!!,True,1,2025-04-22T21:50:01+0900,857534675134971914,0,0,0
ovar****,,,False,1,2025-04-22T18:55:08+0900,857523408026468401,0,0,0
only****,2EIzy,탄핵하면 영입해서 대선 후보낼 명분 안드는구나? 그치? 이재명만 살리면 되고 정권만 잡으면 되는 생각 없는 정당 이재명을 윤석열로 바꾸면 니들이 12.3부터 탄핵 인용될때까지 한 행위들 모두 아니냐?ㅋㅋㅋㅋㅋ졸라 스스로 까기를 실행하는 느낌이다? 니네야 말로 대권후보 내지 말자더니 8명이나 쓰레기 내보내서 분리수거 1차 컷오프한더던데 대단하다 성동아 김건희가 너보고 권성동이가 반대한다죠? 이래도 굥의 개마냥 짖는구나 참 안쓰럽다 이재명 사생팬,True,1,2025-04-22T17:54:38+0900,857519510511419587,0,0,0
dese****,2IqDC,한덕수는 탄핵 당할 짓을 차고 넘치게 하고 있다. 저런 thㄹㄱ가 무슨 대선에 나오니마니 국짐 내란당은 부추기고 자빠졌고 에레이 ㅌ!!,True,1,2025-04-22T17:08:19+0900,857516526717108337,0,0,0
ja32****,2bHIxJ,"그당은. 절대 한덕수 탄핵 못하지, 하는 순간  나가리 되거든",True,1,2025-04-22T16:05:40+0900,857512490404151548,0,0,0
thon****,4kXDJ,개성동 강냉이 다 깨지는 꼴 보기 싫으면 닥치고 가만히 쳐찌그러져 있어라 어저미 지역구 국개의원놈아,True,1,2025-04-22T15:22:14+0900,857509691998077031,0,0,0
sal_****,1aanY,권성동 내란의당은 그 뻔뻔한 입을 닥쳐라! 😡🔥🔥🔥,True,1,2025-04-22T12:38:53+0900,857499169009434941,0,0,0
whee****,1k1J8,성동아...잣이나 까 잡숴..,True,1,2025-04-22T12:38:13+0900,857499125942321252,0,0,0
f7li****,16qHQ,오로지 탄핵 특검 방탄만을 일삼는 국개들은 대한민국 국회에서 다 쫓아내야 한다. 다 몰아내야한다.  대한민국을 망조들게 하는 무리들 무도한 형수찢보 내란선동 국가폭망 따불범죄소굴당 민뇨춍 젼교죠 언룐뇨조 종북좌파시민단체들 렌닌마르크스 공산주의자들 북한3대세습 주사파들 완전진멸 척결해야 대한민국 살아난다.,True,1,2025-04-22T12:03:56+0900,857496916601078058,0,0,0
thun****,1eJmg,내란으로 탄핵소추 해놓고는 직귄남용으로 탄핵했는데 무슨 내란이냐. 민주당 모질이들아. 그리고 내란은 입법독재하고 줄탄핵을 일삼는 민주당이 내란이다. 그렇게도 중국이 좋고 열심히 일해서 중국사람한테 돈퍼주는거 좋아하면 민주당이나 찍어라 ㅋㅋ,True,1,2025-04-22T13:13:11+0900,857501378602336322,3,4,1
cjsd****,x7fE,"민주당이나 국힘이나 옳은이 하나 없네 ㅠㅠ
한심한 정치인들",True,1,2025-04-22T10:54:57+0900,857492472987648403,0,2,0
