user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
kyd8****,1hWV4,헌법재판소 반성해라,True,1,2025-05-02T14:39:28+0900,858434650299695314,1,1,0
wjdt****,3EFQs,너는 니 당권부터나 잡고 지꺼리지 넌 어차피 버림받았더라 동훈아,True,1,2025-05-03T19:28:48+0900,858546061415809241,0,0,0
thsl****,,,False,1,2025-05-03T10:19:55+0900,858510699842765069,0,0,0
true****,MQU5,역시 한동훈!  고맙습니다,True,1,2025-05-03T07:33:41+0900,858499990157262969,0,0,0
ryin****,2sper,위헌정당은 니들이지 내란수괴 윤돼지의 공범 새끼들이 어디서 개소리야,True,1,2025-05-02T17:02:21+0900,858443855102476443,0,0,0
myon****,,,False,1,2025-05-02T14:41:11+0900,858434761197092952,0,0,0
ysk1****,jjP2,너 같은 쓰레기는 암말도 하지마라~~우리나라 국격만 떨어진다,True,1,2025-05-02T14:41:07+0900,858434755979378745,0,0,0
newn****,,,False,1,2025-05-02T14:22:12+0900,858433537483735123,0,0,0
twin****,16URN,국힘이 위헌정당인것은 확실하지!!,True,1,2025-05-02T14:24:35+0900,858433691565687027,2,3,0
moon****,klFo,정치검찰  꺼져라,True,1,2025-05-02T14:42:24+0900,858434839043375310,1,2,0
sis1****,ccShc,이번대선 국짐망한거다 인물난 깐족대고촐싹대고 재수없어,True,1,2025-05-02T18:43:02+0900,858450341492949006,0,1,0
