user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
idhk****,2MRFi,얜 이준석보다 더심한데,True,1,2025-05-17T14:25:15+0900,859825304103813197,15,0,0
guih****,2ghFg,부동산 투기꾼. 이혼 3개월전에 재산 팔아치워서 마누라 빈손으로 버린 지저분한 놈.,True,1,2025-05-17T13:57:30+0900,859823516105572492,11,0,2
yaon****,3sRbc,"만약 보수에서 정권을 잡으면 이런 애들은 바로 보수가 몰락하는 줄 알고 얼마나 가슴아팠는지 아냐며 자신이 진짜 보수라고 할 사람이야 간에 붙었다 쓸개에 붙었다 하는건데 진보를 지지하더라도 이런 간신배는 멀리해라 
절대 가까이 두지 말라 지가 살 길 아니다싶으면 자신만의 정의 아래서 남의 뒤통수 후려갈기는 날이 온다",True,1,2025-05-17T15:04:32+0900,859827834695188651,7,0,0
mc72****,2CG5H,"찌질이 상욱아 탈당도 하고 의원직도 사퇴해서 보궐선거좀 하자, 세비 받아쳐먹어야 하니 의원직 사퇴는 못하지",True,1,2025-05-17T13:50:55+0900,859823092245987543,5,0,0
suje****,2cxt7e,재수없어,True,1,2025-05-17T14:23:24+0900,859825183962169459,4,0,0
shal****,,,False,1,2025-05-17T16:35:51+0900,859833717575647526,0,0,0
coco****,3jyvn,"진정한 쥐였네,,  이력을 봤어야 했는데  뭔   보수주의자 라고 위장을 ㅉ",True,1,2025-05-17T18:53:24+0900,859842579452133465,1,0,0
hype****,Ousw,살다살자 김상욱이라는 이름도 알게되네 쌥쌥이 ㅡㅡ하;;,True,1,2025-05-19T21:07:57+0900,860036790122185040,0,0,0
ldss****,2IzrX,우리나라 정치무대에서  탄핸 1순위는 전과자 이재명이다 이자는 자기 형수에게 보0  찢어버린다고 했다는데 완전 인간쓰레기,True,1,2025-05-17T22:53:29+0900,859858046183014521,0,0,0
seoi****,1T3cy,국개의원도 사퇴해야지,True,1,2025-05-17T21:17:59+0900,859851893239709995,0,0,0
wjdg****,,,False,1,2025-05-17T19:36:09+0900,859845333583134773,0,0,0
kwon****,,,False,1,2025-05-17T18:38:01+0900,859841587868336134,0,0,0
youn****,1c6i,당신이국힘공천안이면울산에서당서되였곗나사퇴하고민주당으로가던지햇어야지,True,1,2025-05-17T16:42:48+0900,859834164822671604,0,0,0
lsm7****,,,False,1,2025-05-17T16:30:15+0900,859833356748062820,0,0,0
vjxl****,,,False,1,2025-05-17T16:19:54+0900,859832690289934685,0,0,0
a116****,3Dv04,이거 지역구 주민들  쪽팔리겠다,True,1,2025-05-17T16:07:54+0900,859831917296484643,0,0,0
sewn****,3cGjH,"전라도행사...김상욱은 권력따라 다니는 양아치,,저런 인간 국민혈세와 국가예산 빨아먹는 기생충..",True,1,2025-05-17T15:42:49+0900,859830300878831923,0,0,0
ghco****,aPcPu,제발 압에서 욕나오는 말처 하지말기을,True,1,2025-05-17T15:37:07+0900,859829934095335461,0,0,0
brav****,U1fo,OOO,True,1,2025-05-17T14:56:24+0900,859827310876950659,0,0,0
w319****,7GmDr,"처음부터 민주당 가지
왜 국힘을 갔지 정치철학도
 없는 철새냐",True,1,2025-05-17T14:48:16+0900,859826786823831631,0,0,0
csh9****,1CI9k,청렴한 놈이 나라를 다스려야 나라가 똑바로선다! 청렴한 놈에게 표를 몰아주자 몰표를 주자 도둑놈 사기꾼 공짜 쓉 하는 놈은 걸르자!,True,1,2025-05-17T14:19:22+0900,859824924989063276,0,0,0
jsc9****,AdjX,"대가리 검은 짐승  누가 키윘나
같이 자폭하고 정계를 떠나라",True,1,2025-05-17T12:43:19+0900,859818736511615059,0,0,0
