user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
ergr****,qfk0,아니 계엄만 문제인가? 탄핵 30번은 문제 아니고??,True,1,2025-05-18T23:30:41+0900,859953214672339110,30,1,0
llco****,2oRty,죄명이의 실체가 적나라하게 드러나는 토론이었다… 이런 형편없는 물건이 대통령에 출마하다니… 참.. 기가찬다.,True,1,2025-05-18T22:38:37+0900,859949859665346736,29,2,5
skyc****,5Fuut,민주당이 줄탄핵하면서 정부가 하려는거 다 반대하니 경제가 나빠진거지 이건 다 민주당때문임,True,1,2025-05-18T22:38:49+0900,859949872885793014,36,10,0
whfl****,,,False,1,2025-05-18T22:43:18+0900,859950161437130837,0,0,0
lo99****,10eoj,"김문수가 낫다
이재명은 싫다",True,1,2025-05-18T22:47:03+0900,859950402743828499,28,4,0
youn****,5honR,이재명 토론 방식: 자기가 제일 극단적이면서 자꾸 상대방한테 극단적으로 몰고 간다고 프레임 씌움 ㅋㅋㅋㅋㅋㅋ준석이는 무서워서 못건드림 ㅋㅋㅌㅋㅋ그리고 자꾸 지도 잘 모르면서 거만하게 설명함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-05-18T21:09:42+0900,859944130917171434,25,2,0
iouk****,10pHK,이재명은 나라를 어떻게 살리겠다가 아니라 세금으로 돌려막기하려하네 공약은 없고 그놈에 내란내란 우두머리 지겨워,True,1,2025-05-18T21:57:51+0900,859947233561280802,27,5,1
syi2****,,,False,1,2025-05-18T21:31:40+0900,859945546561880269,0,0,0
o0ww****,4ga63,어쩌라고요? 이런 자세로 외교할거 생각하니 눈앞이 깜깜하다... 커피원가 120원 소릴 쳐하지않나 호텔경제학이라며 사기꾼짓을 하질않나.. 나는 중도인데 아무리봐도 저건 대통령깜냥이 아니다. 의외로 김문수가 진중하고 사람이 괜찮아서 놀랐다.,True,1,2025-05-18T23:53:01+0900,859954652580413448,28,7,0
sjch****,7zC2r,지지율 높다고 가증스러운 표정으로 여유부리는 모습이고 이준석에게는 실실피하고 다른후보들에겐 어린애 대하듯 여유 있는척 ㅡ,True,1,2025-05-18T21:19:44+0900,859944777594962140,22,1,1
stri****,242Qj,32명 국무의원 탄핵시켜 무정부 상태 만든 민주당이 문제아냐? 국힘 대선후보 정해진날 달러환율이 확 떨어졌다. 이건 친중친북의 민주당이 잘못하고 있다는 얘기. 계엄이 무서웠던건 부정선거 관련자들 밖에 없다.,True,1,2025-05-18T22:23:38+0900,859948894706991335,24,4,1
sake****,138p5,자세히 들어보면 이재명 아는게 없는데 꼭 자기말이.맞는것처럼 장황하게 설명하는 버릇이 있음. 김문수 이재명말 당최 이해가 안가는 표정.. 김문수 win!!!,True,1,2025-05-18T21:16:14+0900,859944551790411846,27,8,2
pga2****,,,False,1,2025-05-18T22:36:22+0900,859949714408210537,0,0,0
lby9****,ibnE,대통령이되려면 인성도 가지고 있어야한다 토론회가 끝나고 서로 고생했다 악수하는자리 권영국은  김문수가 내민 손을 끝까지 잡지 않았다 대통령 후보로는  의심가듯 인성이 제로다,True,1,2025-05-18T22:00:40+0900,859947414654550223,20,1,0
emfa****,,,False,1,2025-05-18T22:29:34+0900,859949276489318562,0,0,0
