user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
mcs7****,jcEG,"보통 사람들이 고단한 몸을 쉬는 한 밤 중 1시간 동안 벌어진 희대의 쿠테타...
윤석열의 내란의 밤이 연상되네...",True,1,2025-05-10T11:34:36+0900,859164910754463933,11,1,0
haho****,exucK,"한덕수는 윤석열의 아바타이고, 내란공범당 국민의힘 권성동이 권영세의 똘마니이며, 내란공범이다.",True,1,2025-05-10T11:28:44+0900,859164533082554620,12,3,0
myno****,1BZF4,"1억씩 받으면 경선은 왜 했나? 역시 국짐은 한결같아.
이번에 해체해라. 국민은 생각안하고 지들 이익만 생각하는 놈들은 다시 찍어주지마라. 이걸 보면서도 2찍들은 빨간색만ㅈ보고 또 찍는다.",True,1,2025-05-10T13:10:11+0900,859171068747710532,8,1,0
yeun****,1S19V,"무슨 마피아들인가 
보수는 내란수괴가 아작내고 
쌍권이 뒷청소까지 깔끔하게 마무리하는군",True,1,2025-05-10T11:43:37+0900,859165491313246379,5,0,0
hans****,4Tm7Y,한덕수는 윤석열이다 맞는 말인듯,True,1,2025-05-10T13:55:53+0900,859174012796797178,5,2,0
sung****,4R1lo,암흙시간 전문당이 국짐당,True,1,2025-05-10T20:08:50+0900,859198040085365023,3,1,0
mygi****,2dOoh,민주당애들 보면 딱 꼰대라는 느낌밖에 들지 않음 자기들 말고는 다 틀렸데 ㅋㅋㅋㅋ,True,1,2025-05-10T21:57:00+0900,859205008468475905,2,1,0
koop****,,,False,1,2025-05-10T14:56:25+0900,859177911939235973,0,0,0
lsh6****,T0A6,윤덕수는 한석열이다.,True,1,2025-05-10T15:15:14+0900,859179124663517253,1,0,0
s875****,3KqEC,"일은 저지르라고 소스질 해 놓고, 탄핵 반대하는 척하고,  슬그머니 자리 차지하고 기득권 주장하며 휘둘리며 뗑깡 부리는 문수 엉아는 판세나 잘 읽고 있을려는지......  패거리들은 똥줄 타는 모양.... 거기도 후보 바꿔! 조곤 조곤 씹히지 않을 후보로 ㅋㅋ",True,1,2025-05-10T13:11:40+0900,859171163572535465,1,0,0
s875****,3KqEC,겁먹은 모양이네! 위헌 정당 해산된 통진당 찌끄리기와도 합치는 패거리들.,True,1,2025-05-10T13:07:27+0900,859170891865522307,1,0,0
oyes****,5foj2,왜  더블어   한덕수 나오니   쫄리니,True,1,2025-05-10T22:21:30+0900,859206586332086407,1,1,0
mone****,1hlaZ,민주당이나 국힘당이나 다썩어문들어진집단들,True,1,2025-05-10T21:03:48+0900,859201580497371405,1,1,0
kkk4****,1rMjq,국민의힘 다들 자기 밥그릇 챙기느라 몸 사리기작전!!,True,1,2025-05-10T20:14:07+0900,859198380360859690,0,0,0
lms0****,2Jb7l,범죄자 소탕하는날,True,1,2025-05-10T19:47:26+0900,859196661585412227,0,0,0
guse****,7cjMi,"6,3은 쓰레기  대청소의 날!",True,1,2025-05-10T15:13:41+0900,859179024419651783,0,0,0
jsba****,,,False,1,2025-05-10T19:49:31+0900,859196795752808599,0,0,3
woan****,364Fl,누가 누구보고 내란이래? 온갖 탄핵 떼법 남발하는 민주당 너희가 내란이란다,True,1,2025-05-10T21:33:21+0900,859203485114040432,2,3,0
nora****,cxfpy,내란수괴의 오른팔 왼팔은 김용현 동조하고 계엄해제 표결 불참한 국짐들 전부다 사형!!!내란당 해체가 답이다.,True,1,2025-05-10T17:29:43+0900,859187789139280151,1,2,0
hyey****,2bK4Cm,이재멍민주당해는짓모르나니놈짓생각해바나라고위공직자들죄도없는대줄탄햭하고나라마비시커거내란수괴들당장구속하라악질범죄나라도둑질하내란수괴총살시커라,True,1,2025-05-10T22:23:04+0900,859206688119455767,0,1,0
moon****,2IKUW,김문수는 응원하고 한덕수가 그리 무섭구나 ㅋㅋㅋㅋ,True,1,2025-05-10T20:04:49+0900,859197781481357601,2,4,2
sinh****,brjmN,내란수괴 죄명이를 빨리 보내라 빵으로,True,1,2025-05-10T14:23:46+0900,859175809317863688,4,7,0
te00****,9c1qT,한덕수 출마한다니까 더듬당은 겁날거다,True,1,2025-05-10T13:49:10+0900,859173580229836834,5,9,2
