user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
samm****,,,False,1,2024-11-14T01:49:32+0900,842706698786308153,0,0,0
beck****,IY5j,탄핵할 사유가 있으면 하는건데 저기 써논 사유로는 그냥 집단 땡깡이라고 밖에는. 명백한 위헌이 아닌데 땡깡으로 탄핵이 가능하다면 앞으로 임기 채울 대통령은 왠간해선 없을것이다. 이재명은 대통령이되어도 한달안에 탄핵당하겠는데?,True,1,2024-11-14T01:37:15+0900,842705907488915491,44,13,4
capt****,2ciAM5,민주당을 보고 있으면 왠지 히틀러를 보는 느낌이 든다.  거짓과 선동으로 끝내 고통으로 몰고갔던!  다른건 모르겠고 거짓선동으로 국민들 갈라치는건 민주당이 1등이다!,True,1,2024-11-14T03:52:16+0900,842714605854654481,32,5,0
bea2****,1BGsa,대선불복같은대..ㅋㅋㅋ..지들 맘대로 갈아치울꺼면 선거는 왜하나..ㅋㅋㅋ,True,1,2024-11-14T03:42:53+0900,842714001589665859,15,4,0
sdyh****,1L0CS,그만좀해라 당대표 범죄자 아닌가요 국민혈세로 엄청난 특혜받는 국회의원 들이 허구헌날 몰려다니며 뭣들하는건지  한심하다 민생법안은 내팽겨치고 저런자들을 뽑은 내자신이  한심하다,True,1,2024-11-14T05:42:32+0900,842721710200324137,13,2,0
bear****,SaQF,민주당은 탄핵에 맛들인 김일성처럼 나라를 선동으로 반으로 나눌정당,True,1,2024-11-14T05:30:35+0900,842720940277104695,3,0,0
bgyu****,4eP07,탄핵! ㅋㅋㅋ....이것들이 박 전 대통령 탄핵을 한번 하더니 탄핵이 무슨 동네 🐕 이름 정도로 알고 있네! 대체 탄핵의 근거가 뭐냐.  이런 쓰잘데 없는 짓꺼리는 당장에 거둬치우고 돈키호테는 재판이나 성실히 잘 받아라. 이렇게 사법부를 압박하는 행위는 곧 사법농단이나 마찬가지이다.,True,1,2024-11-14T05:28:53+0900,842720830939988035,3,1,0
ekrk****,KC5p,무슨 명분으로 탄핵 할건데요ㆍ그낭 방탄용으로 보이는데,True,1,2024-11-14T06:00:28+0900,842722864674111523,2,0,0
jang****,6bTPT,"저런 짓 하는거보면 세상이 태평성대처럼 보이네. 그렇게 할일이
없냐? 정치적 능력이 없으니 되지도 않을 일에 메달리는듯…",True,1,2024-11-14T05:36:46+0900,842721338081673280,2,0,0
jang****,2OSTf,"잘못한게ㅜ있으면 탄핵 해야지..  이재명이ㅡ방탄이면 거니ㅡ여사는 무쇠방탄이가. 신이가.. 
일단 조사하자고. 거니도 특검하고.ㅡ  재명이도 조사ㅡ안되면 특검 하자고...  
이상한 논리로 억지좀 부리지.말자.",True,1,2024-11-14T05:38:55+0900,842721476426596424,2,1,0
cama****,6iVpA,꼭  마피아 카르텔을 보는거  같네  저기다  누가  크레모아 하나  안타뜨리나?,True,1,2024-11-14T05:30:23+0900,842720926603673633,2,1,0
dlcl****,2uyHX,이노무 당은 탄핵병이 들었구나,True,1,2024-11-14T10:42:37+0900,842741043072860449,1,0,0
ley8****,12T46,"범죄방탄 옹호, 불법시위는 범죄다",True,1,2024-11-14T07:41:05+0900,842729347507814418,1,0,0
173c****,,,False,1,2024-11-14T05:40:18+0900,842721565597499410,0,0,0
gc33****,,,False,1,2024-11-14T01:14:58+0900,842704471543775364,0,0,0
saoj****,9NnjL,국민이뽑은대통령을 국회의원것들이 탄핵한대 그럼 그국민들까지도 탄핵할건가?  더불어김정은당. 더불어이죄명개인당,True,1,2024-11-14T01:22:42+0900,842704970229743718,4,4,0
seog****,2jq4T,이미 대통령은 수 많은 거짓말로 더 이상 자리를 차지하기 ㅇㅓ려워 짐. 골프대통령까지  그만 집에 가는게,True,1,2024-11-14T05:38:09+0900,842721427403571214,1,1,1
