user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
zuld****,,,False,1,2024-11-10T00:25:34+0900,842330204100624479,0,0,0
lidi****,1XS25,"이철희, 문재인 사람 아닌가? 기사를 읽지는 않았다. 비뚤어진 사람의 기사는 읽을 가치가 없기 때문이다. 언론이 기울어진 마당에, 동아일보까지 굳이 이런 부류의 사람들 글을 실을 필요가 있는지 의문이다.",True,1,2024-11-10T00:34:52+0900,842330803215007904,27,1,0
pmin****,1itIF,"전세계가 불안정한데 일은 안하시고 민생은 보지도 않으면서 허구헌날 탄핵, 특검 이런거나 외치고 있는 의원님들 싹다 탄핵하고 싶습니다. 제발... 이런걸 국민의 명령 이딴 문구 넣어서 하지 마세요. 국민들은 협치와 하나된 대한민국으로 발전하는 모습을 보고 싶습니다. 뭔 만나볼일 없는 검사개혁 같은거 싹다 집어치우고 국민을  위한 법안제정을 하라는게 국민의 명령입니다!!",True,1,2024-11-09T23:43:14+0900,842327477115158574,25,0,1
char****,2tdVv,"이재명과  민주당 전과자 의원들땜에 나라가 망하게 생겼네 현대통령 또 탄핵시키고 이재명이가 방탄쓰고 대통령 되려고 발악..!  또 대규모 집회를 통해 위세를
과시해서 판사를 위협하려는 짓거리인줄 제정신 박힌 국민이면 이제 다 안다",True,1,2024-11-10T07:44:19+0900,842358470186369066,28,4,0
mmh0****,2pN3U,탄핵을 너무 우습게 안다. 나라가 흔들린다. 민주당은 정신좀차리고 중도표얻으려면 이재명으론 절대 안된다. 서결이가 왜 대통됐을지를 보면 그만큼 이재명만큼은 싫었던거지. 지금도 그건 불변이제,True,1,2024-11-10T09:10:36+0900,842364029350445166,27,3,1
kgy6****,VGbB,국회를 해산히고 민주당을 탄핵 해야한다.  범죄자를 앞세워 지들만 지키기에  열중하고.  국민의  어려움과 민생은 돌보지 않고있다.  세금이  아깝다.,True,1,2024-11-10T07:37:04+0900,842358003108675596,25,1,1
ivyl****,bx2rC,"국정농단??? 간첩 문죄인은 정치 국방 외교 문화 과학 등 모든 분야에서 우리나라를 한번도 경험해 보지 못한 나라, 김정은식 공산폭압 체제로 몰아갔다. 국민을 편 가르며 갈등과 분열을 조장했던 원흉이자 레드 바이러스의 숙주. 지은 죄가 차고 넘쳐 안보 분야만 이야기 해도 비무장지대 GP 해체, 정찰비행 금지, 한강 하류 해도 제공, 철책 철거, 대전차 장애물 철거 등 유사시 북괴의 남침 루트를 확실하게 닦아 주었다. 문죄인은 주한미군 철수를 통해 대한민국을 북에 바치려 했던 매국노다. 문죄인이 부터 참수하고 윤의 잘못을 지적해라!",True,1,2024-11-10T04:23:05+0900,842345506230239241,24,0,0
ezen****,3atAm,"대통령을 다시 뽑을께  아니라..  국회의원들을 다시 뽑아야 한다!   특검, 탄핵만 외치는 징글징글한  놈들...",True,1,2024-11-10T11:21:46+0900,842372479933481118,23,1,0
kwan****,44nnv,"민주당 니들도 탄핵감이자
  니들은 뭐 잘한거있냐
  선동질만 절라 해대는
  자격도없는 것들만 모였다
  이재명구속!!!!",True,1,2024-11-10T05:04:43+0900,842348188605087784,23,1,0
ktre****,20pok,얼어죽을 탄핵 범죄자 조국 대법원 선고 하 세월이냐 얼른 감방하고 이재명도 선거 공판받고 니네들이 윤석열 대통령보다 잘하는게 뭐하나 잇냐 매일세비 받고 탄핵 개 같은 청문회 소리나 지르고  정말 수준미달 국회를 보고 한심만 나오는 나라 ㆍ 이게 국회냐,True,1,2024-11-10T07:04:54+0900,842355930854064218,20,0,0
