user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
civi****,1nLuU,의사들도 참 어이없다. 의협회장을 대학교 학회장 뽑듯이 귀찮아서 어무나 설치고 한다고 하면 그래 너 해라 ㅋㅋㅋㅋ 이딴식으로 뽑나? ㅋㅋㅋㅋ 딱 봐도 정상이 아닌 모지리를 의협회장 으로 ㅋㅋㅋㅋ 에휴 ㅋㅋㅋㅋ,True,1,2024-11-11T03:33:08+0900,842435059016269829,17,5,1
qbq1****,1GjGN,오직 투쟁만 외치다가 간호사법에 한의사법까지 다 놓치고는 정부탓만 하다가 ㅋㅋㅋ,True,1,2024-11-11T03:19:40+0900,842434192070410285,10,1,0
hans****,39fjq,이제 의대정원은 돌이킬 수 없는 강을 건넜다~ 의사들도 의료체계 재정립에 협조해야한다~,True,1,2024-11-11T03:44:51+0900,842435814360088625,12,8,1
quit****,1Zrxa,정부와 나라를 파괴하려는 의사들 보다 대화와 협상을 원하는 회장을 원한다.,True,1,2024-11-11T09:17:27+0900,842457242270695569,3,0,0
noma****,,,False,1,2024-11-11T03:23:10+0900,842434417119985681,0,0,0
zunu****,JC13,이기흥이나  임현택은  군사격장에서 고사포로 쏴 G겨주세요,True,1,2024-11-11T11:19:41+0900,842465117126787374,2,0,0
life****,,,False,1,2024-11-11T07:16:40+0900,842449460746256484,0,0,0
kri8****,3x2uq,진짜 죡가치 생겨서 생긴대로 논다.,True,1,2024-11-11T04:23:50+0900,842438325389230120,2,0,0
stu1****,1wp6i,그래.... 관상 보고 알겠어.... 어떻게 저런 인간이 의사가 된건지 참나 ㅋㅋㅋㅋㅋ,True,1,2024-11-11T22:20:11+0900,842507668592525381,1,0,0
oysz****,4zymi,임현택 글읽는것도 국어책읽듯이하더니꼬라지좋네,True,1,2024-11-11T15:24:35+0900,842480894571708666,1,0,0
good****,5ysuo,천방지축.꿀자리얻으려고날뛰다.끝났네.,True,1,2024-11-11T10:17:15+0900,842461094889914446,1,0,0
zmfh****,SGx0,지금보다 과연 좋아질지도 의문..,True,1,2024-11-11T08:15:52+0900,842453274559774916,1,0,0
kosl****,,,False,1,2024-11-11T08:15:28+0900,842453248806748278,0,0,0
jinp****,2huCp,현재 개혁에 발목잡고있는  의사들 얼굴~~에라이,True,1,2024-11-11T08:05:33+0900,842452610165244025,1,0,0
khs0****,6DlMO,이런 넘은 국가전복 세력으로 엄히 다루어야됨,True,1,2024-11-11T08:00:09+0900,842452261652135968,1,0,0
taec****,3c6iI,봐라 현태가  있을때   잘해야지  칼자루 쥐었다고  마구 휘두르면   결국에는 그 칼끝이  너 자신에게로  향한다는걸  진작에 알았어야지   이제는 어디 조용한  시골에  가서  개인 병원  개원이나 해라,True,1,2024-11-11T04:07:28+0900,842437271578738712,1,0,0
jsai****,,,False,1,2024-11-11T03:18:42+0900,842434129407508522,0,0,0
agne****,,,False,1,2024-11-16T16:24:54+0900,842948636374466829,0,0,0
rain****,,,False,1,2024-11-13T15:28:53+0900,842666713714524536,0,0,0
hanm****,2KgeI,지잡대나온넘한테 의사면허에 완장까지 채워주니 최고권력자행세하는거다..덜 떨어진의사들아!!반성하고 무릎쪼아려라.의사는 벼슬이 아니란다.,True,1,2024-11-11T15:56:28+0900,842482948354605259,0,0,0
seea****,1C17e,사필귀정맞네 ㅋ 부메랑 처럼 되돌아온거지 ㅡㅡ,True,1,2024-11-11T15:22:57+0900,842480789462450617,0,0,0
juli****,38eZ2,의협이 뭔 힘이 있나? 없을걸요,True,1,2024-11-11T14:52:49+0900,842478847399035251,0,0,0
jaic****,e5Oez,이런 짐승은 사회 격리가 도리 아닌가요,True,1,2024-11-11T14:15:06+0900,842476417387069478,0,0,0
lsls****,8vStV,이런 인간에게 어린환자 어떻게 맡기나,True,1,2024-11-11T13:45:59+0900,842474541694321039,0,0,0
pci5****,2stgF,이해가 안되는게 처음부터 계속 저랬는데 이제와서 탄핵;,True,1,2024-11-11T13:37:40+0900,842474005947482388,0,0,0
cozy****,2dqJM,야당은 비겁하게 표 노리고 숨지마라,True,1,2024-11-11T09:20:14+0900,842457421501694060,0,0,0
k540****,2adfw,현택이 이 자슥 ...개만도 못한 짓거리하더니만 지 동료들에게서  배척 당했구나? 탄핵에 그칠일이 아니다. 의사면허 박탈하고 콩밥 먹여야 한다....의협 내에 아직도쓰레기가 제법있다. 탄핵에 동의하지 않은 25%의 쓰레기들이 아직도 있다.,True,1,2024-11-11T08:27:28+0900,842454021716312193,0,0,0
goph****,4jrZP,정부발 의료대란의 주역들이 그대로 한자리씩 해먹고 있는데 무슨 대화가 되겠냐?,True,1,2024-11-11T04:15:11+0900,842437768402436106,0,0,0
newb****,2qYi4,또라이짓 하다가 짤렸네,True,1,2024-11-11T03:26:59+0900,842434663745060933,0,0,0
dhdu****,,,False,1,2024-11-11T03:23:20+0900,842434428075507735,0,0,0
