user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
iljo****,,,False,1,2024-11-27T21:13:13+0900,843987695918121035,0,0,1
taer****,43P4A,악질 이재명 빗나간 칼빵은 15년 선고 측근 6명 죽게한 악질 이재명 사형이 마땅하다,True,1,2024-11-27T21:15:31+0900,843987843188523161,17,1,0
jtr9****,4zR8i,국민이 더불어 잠범당을 싫어하는 이유 - *민생을 볼모로* + *집단이기주의* + 국민이 지지하는 정부를 + 불명예  + 민생과 나라 파괴의 근원 +  스스로 망가져 미쳐 돌아가 + 세계 최고의 휭설수설하는 + 정치농담 + 4가지 + 꼴통 + 정부탓? = 국민은 원숭이 반쪽이 코미디 구경거리 정의없는 더불어 잠범당은 필요없다 미래를 위해서 돌팔이 거지가 잘 났다는 잡종 말종 초대형 더러운 핵폐기물 더불어 잠범당은 퇴출만이 정답이다 선진국 정부가 잘한다 화이팅 !!!!!!,True,1,2024-11-27T17:02:01+0900,843971512011587592,15,0,0
kim4****,,,False,1,2024-11-27T21:06:26+0900,843987258603208854,0,0,0
yk22****,,,False,1,2024-11-27T16:34:42+0900,843969752316510485,0,0,0
1001****,,,False,1,2024-11-27T21:13:06+0900,843987688083161127,0,0,0
hiya****,,,False,1,2024-11-27T21:09:44+0900,843987471136981201,0,0,0
noa0****,ekTPs,"전과자 45% 범죄자집단 민주당...1년 내내 일은 안하고 특검, 탄핵만 외치는 더불어범죄딩... .특활비로 세금 낭비한 문재인 가족이나 특검해라...... 민생은 뒷전이고 정쟁이 우선인 것들....세비가 아깝다....",True,1,2024-11-27T20:59:44+0900,843986826304684315,11,0,0
llcc****,,,False,1,2024-11-27T21:09:02+0900,843987426123710477,0,0,1
11rn****,6bpb5,범죄자 하나 지키자고 양심과 영혼까지 버리고 발악을 하는거 같은데 해봐 어디...뭔짓을 하든 이재명은 유죄다 그런짓거리 할 시간에 다음 당대표나 누가할지 고민해라..434억은 뱉어내고,True,1,2024-11-27T21:23:00+0900,843988325382488073,12,2,0
licj****,1yctn,나라꼴 웃기게 돌아가네요^~  피의자가  검경 탄핵하네요,True,1,2024-11-27T21:25:44+0900,843988502331785469,11,1,0
nama****,3jisr,탄핵을 해야 할 놈은 개판사 김동현이다.,True,1,2024-11-27T20:38:24+0900,843985452418465923,10,0,0
rhat****,GnHO,범죄자 지킬려고 범죄자 잡는 검사 탄핵 여기가 작은 중국인줄 알고 쎼쎼했던 전과4범 꼭 감방에 보내자,True,1,2024-11-27T20:28:52+0900,843984837869044006,10,0,0
jaco****,VK34,멍청래 또 망치 들고 난리 부르스를 추겠구만.에휴~~저런걸 내 세금 내서 월급을 주고 있으니....,True,1,2024-11-27T20:45:39+0900,843985919764594927,12,3,0
md10****,nMdL,민주당 패거리들  세금낭비로 국민이 탄핵하자,True,1,2024-11-27T21:10:23+0900,843987513130352776,11,2,0
pakj****,6sAj5,"죽이는 정치 하지 말자더니. ... 하는 꼬라지 바라,  지살자고 다죽이겠단다..  국회 권한 남용해서",True,1,2024-11-27T21:05:08+0900,843987174633242660,10,1,0
kbh5****,,,False,1,2024-11-27T20:53:02+0900,843986394845020174,0,0,0
wooj****,,,False,1,2024-11-27T20:53:57+0900,843986453749825880,0,0,0
amor****,2gWSX,대단하다 ㅋㅋㅋㅋㅋ 이재명 수령 지키기에 아주 진심이네. 지네 마음에 안들면 다 내치려들고. 딱 전향적인 공산당.,True,1,2024-11-27T23:13:24+0900,843995438250983536,11,3,0
huia****,2rCe3,절대 권력을 쥔 더불어범죄당의 안하무인식 패악질이다. 국민이 지켜보고 있음을 직시해라.,True,1,2024-11-27T21:07:40+0900,843987337674227946,8,0,0
cbak****,,,False,1,2024-11-27T20:59:03+0900,843986782432264209,0,0,0
pobb****,33lCa,"민주당은 이 나라의 시스템과 미래는 상관없이 걍 지들 건드리면 다 죽이는 놈들의 집단일 뿐이라는 것이 이런 데서 드러나는 거지. 검사가 수사하면 검사 탄핵 검찰 해체, 경찰이 수사하면 경찰 해체, 판사가 불리한 판결 내리면 판사 탄핵 ㅋㅋㅋ 허구한날 검찰개혁 부르짖는 저놈들 논리면 저놈들 뱃지는 진작에 다 날아가고 국회 해산했어야 됨. 돈봉투 받은 놈들 민주당에서만 몇명이냐? ㅋㅋㅋ 역시 북한 지령받는 민노총과 한몸다워. 그러니 국정원의 대공수사권도 없애버린 거겠지.",True,1,2024-11-27T20:49:51+0900,843986189676445996,8,0,0
i735****,2x8un,이런대도. 판사라는인간은 무죄라고 기가차다. 사람이죽어가고 위증교사했다고자백해도 무죄 ? 민주당원이냐,True,1,2024-11-27T20:36:57+0900,843985358600274260,8,0,0
otch****,1GkT4,"참 웃기는 넘들이네, 리죄명 무죄되니 법원 존경한다고하고.
수사한 검사는 탄핵하고 대통령은 민주당  탄압한다고 데모하고 정말 희안한 자석들이야, 국회 개원하자말자 지금까지 탄핵만 목에달고 다니는 탄핵찌지리들~~",True,1,2024-11-27T20:54:21+0900,843986480022945908,7,0,0
wkdc****,2Dqc3,범죄자들과 판새들이 한통속이돼 나라를 망치고있다,True,1,2024-11-27T20:38:41+0900,843985470302978296,7,0,0
gund****,iAQg,"지네가 민생얘기하자면서, 검사만 맨날 탄핵하고, 도대체 뭐하냐. 고교 방문쇼하면 민생 해결되나.ㅋㅋ",True,1,2024-11-27T17:47:39+0900,843974452034142450,7,0,0
ccss****,bHuC9,"국민 여러분  개똥만도 못한 국회를 이대로두고봐야하나요

국민이  국회해산명령을 해야하는것아닌가요",True,1,2024-11-27T21:28:08+0900,843988656313073713,7,1,0
rdj9****,,,False,1,2024-11-27T21:19:37+0900,843988108234981582,0,0,0
ksy5****,cH0W8,본인들 더듬당 을 수사 하거나 기소하는 검사을 모두 탄핵하겠다는 의도 이건  법을 무력화 하겠다는 구테타 입니다  국가 전복죄로 다스려야한다,True,1,2024-11-27T20:52:20+0900,843986349596868715,7,1,0
