user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jeny****,2L5ya,💥개무능 김문수야. 대체 대선에 왜 나온거냐?? 니가 우파 대표면 책임감 갖고 윤똥 자르고. 전광훈 잘랐어야지!!!!!! 이렇게 민심도 모르고 개무능하면서 대체 대선엔 왜나온거냐!!!!!!!!💥,True,1,2025-06-04T03:40:30+0900,861453649249828909,13,4,0
jeny****,2L5ya,💥이준석이랑 연대 그렇게 원한다면 한동훈을 뽑았어야지. 이준석이 반탄과 어케 연대함??? 개멍청 한심한 개극우 때문에 진거다!!!!💥,True,1,2025-06-04T03:46:23+0900,861454028700123166,12,3,0
ushi****,TfcK,김문수는 중도확장성이 없는 후보였는데 당원투표 50퍼 반영할때부터 망한거지 ㅋㅋ 이번에 친윤 국힘 의원들 정리나 해라,True,1,2025-06-04T03:21:50+0900,861452446726094955,10,1,0
kila****,Clv9,"탄핵반대 한계가 아니라  권성동 같은 친윤들의 뻘짓으로  이 짓이 된 것이다.    윤석열 뻘짓으로 총선 밀아먹어 탄학까지 당하고,   친윤그룹 2차 뻘짓으로 정권을 범법자에게 헌납하고. ㅋㅋ.  권성동.  이재멍. 중앙대 법대  콜라보 인가?",True,1,2025-06-04T03:40:16+0900,861453634536210458,9,2,0
jung****,tMBL,너를성원한것도 아니고 국힘응원한것도 아나다 웬수들아  재명이가 싫었던거다  윤석렬이나 만나서 쓰담쓰담이나 해라,True,1,2025-06-04T03:51:06+0900,861454332619390986,7,3,0
imjy****,5SGre,뭔 한계를 못넘어 이준석이 갈라먹은거지,True,1,2025-06-04T03:17:40+0900,861452177686659154,10,7,0
kyt1****,4VQJR,김재원의 세치 혀에  당한거지.  깨끗하게 단일화 했으면 결과는 몰랐다. 한덕수  한동훈  홍준표가  도와주지 않을때  알아봤다. 범죄자보다 못한것들이 됐네.,True,1,2025-06-04T03:36:56+0900,861453419905286229,8,5,1
rogu****,3yeJ7,한덕수랑 이준석이 반항해서 졌네,True,1,2025-06-04T03:10:26+0900,861451712387350594,8,5,2
lana****,f1JR,탄핵반대 한계를 넘지 못한게 아니고 이준석이라는 이죄명의 개가 있어서지. 말은 바로해,True,1,2025-06-04T03:31:04+0900,861453040958308360,6,3,0
shad****,2tt5T,선거조작에 대해  왜 한마디도 없는가 ?,True,1,2025-06-04T03:46:49+0900,861454055694663747,3,0,1
tais****,1XjZ8,40프로 넘겼으니까 당대표 해야지.,True,1,2025-06-04T03:39:16+0900,861453569776156714,5,3,0
igua****,5aWvh,승복??? 부정선거인데 무슨 승복???? 2찍이들 어리둥절 인지부조화 쎄게 옵니다~,True,1,2025-06-04T03:23:02+0900,861452524303941637,3,2,0
inje****,,,False,1,2025-06-04T03:33:14+0900,861453181433937957,0,0,0
yich****,4PgWv,"김문수 넌 처음부터 깜도 아니었고, 국민앞에 머리 숙일줄 모르는 교만과 뻣뻣함이 결국 실패한 거다! 국가관과 국민대하는 고자세로 걸국 나가리된거지! 준비도 안된게 잘 됐지! 다신 면상 내밀지마라!",True,1,2025-06-04T04:04:52+0900,861455218708054165,3,3,0
suhh****,2FTZj,문수는 말 바꾸기 선수!  백수가 아니라 백퍼 당권도전한다,True,1,2025-06-04T03:25:06+0900,861452656692953097,2,2,0
ana1****,37pn7,부족한 과분한 객관적 사실,True,1,2025-06-04T03:41:42+0900,861453726274027594,1,1,0
qyur****,3qJAW,내란을 해도 41% 지지했으면 이재명대통령이 내란심판해도 인정해라. 인정못해도 어쩌겠냐? 그게 사회의 정의이고 민주주의인데.ㅋ,True,1,2025-06-04T04:54:17+0900,861458402402893842,0,0,0
youa****,1UKK8,"과분하죠 , 부모가 일본인 인데 대한민국에서 성원 받으니",True,1,2025-06-04T04:43:06+0900,861457681754357772,0,0,0
shng****,,,False,1,2025-06-04T03:44:57+0900,861453935871787104,0,0,0
hosi****,5BSX3,이제 괴분한줄 아냐 영원히 과분한즐 알고 사라져,True,1,2025-06-04T04:11:07+0900,861455621696782346,1,2,0
gold****,4Cy9x,깜도안되는 뻔뻔한 원조좌파넘의 민낮,True,1,2025-06-04T04:48:59+0900,861458061573750876,0,1,0
fgc0****,327Zv,윤대통 지키지못한국힘 배신자들과 자질부족한 후보내세운 당원들도. 문제,True,1,2025-06-04T04:47:17+0900,861457951246778395,0,2,0
vjnd****,1pjIS,본인집에 불지르는 정당은 처음봤음ㅋㅋㅋ 처음부터 후보내지 말고 이준석으로 가던가 한동훈 내세웠으면 그나마 지금같은 큰격차로 깨지지는 않았을거다ㅋㅋ 극우들 그 몇이나 된다고 똥 못끊은 본인들 탓해라 멍청이들아,True,1,2025-06-04T03:13:20+0900,861451899084210232,0,2,0
chby****,14kxn,"이번 선거에서 졌지만, 김문수라는 깨끗하고 훌륭한 지도자를 발굴했다. 대한민국이 진정으로 필요로 하는 자로 앞으로 국민의 힘의 중심이 되어야 한다.",True,1,2025-06-04T03:33:53+0900,861453222622003317,10,14,1
sady****,1ldFZ,이번에 김문수 다시보게됨. 탈탈 털어도 먼지 안나오는 청렴함에 놀람. 하지만 사형수를 옹호하는걸로 이미 필패였음. 한동훈이 나왔으면 어찌됐을지 모름,True,1,2025-06-04T03:29:32+0900,861452942727708731,7,12,1
