user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
joyo****,zAPr,안철수. 청렴과 과학의 아이콘 화이팅!!! 안철수가 국힘대선후보되면 반명빅텐트는 안철수로 가능하다!!!,True,1,2025-04-22T19:32:35+0900,857525821378658515,9,1,0
ejod****,8wGL4,나경원이는 도리도리가 힘이 될줄 알았건만 결국은 또 당한 꼴이 됐네,True,1,2025-04-22T19:43:04+0900,857526496275726355,6,0,0
kidd****,21oxI,정청래 손가락 자를 준비해라..찢재명은 안철수가 막는다,True,1,2025-04-22T19:08:34+0900,857524273344938167,8,3,0
namh****,1nQDh,대충 답나왔지? 이재명을 이길려면 윤석열을 버려야 한다...그럼 누가 후보가 되는게 좋을지도 답 나오지?,True,1,2025-04-22T19:22:14+0900,857525154199109709,7,2,0
shaw****,,,False,1,2025-04-22T19:29:32+0900,857525624447697101,0,0,0
love****,2d50xK,북한지령받고 나경원을 떨어뜨린거지,True,1,2025-04-22T19:46:06+0900,857526692166500386,5,1,2
kosc****,,,False,1,2025-04-22T19:46:46+0900,857526734394753297,0,0,0
kgkm****,,,False,1,2025-04-22T19:40:11+0900,857526310686163015,0,0,0
ghkf****,4lG1V,한동훈 화이팅,True,1,2025-04-22T19:11:10+0900,857524441452642374,6,3,0
joon****,1AR7O,"나 빠루, ㅋ 어쩌나 그냥 자빠져 있지 선거 때만되면 나서는 한심한 인간  이제 그만 집에서 빨래나하고 사는것이 좋을듯 ㅎ",True,1,2025-04-22T19:58:07+0900,857527466166583336,5,2,0
hej1****,3hq2t,정말 국민의 51%가 그런선택을 했을까요?,True,1,2025-04-22T19:54:57+0900,857527262189191484,3,0,0
eo97****,JOqg,"도진개진
찌질이 못난이들 누가 올라다든 떨어지ㄴ
거기서거기
ㅋㅋㅋㅋ 모지리들 대잔치",True,1,2025-04-22T18:59:55+0900,857523716391698812,3,0,0
rumo****,,,False,1,2025-04-22T19:18:51+0900,857524936363737417,0,0,2
gm21****,28sxP,이것 저것 가리지 말고 이재명만큼은 막자 그 오래된 나라의 도둑놈에게 정권까지 도둑질당해야겠나? 나라꼴이 이래서는 안 된다,True,1,2025-04-22T19:37:54+0900,857526164086849808,7,5,2
rmsw****,1eulc,어떻게 안철수 같은 바보한테 질 수 있냐! 극우 일베 나베 이 바보!,True,1,2025-04-22T19:14:47+0900,857524674739831029,5,3,0
bhch****,alViw,입벌구. 윤석열이가 기분이 별로  이겠다. 또. 격노 하시겠다,True,1,2025-04-22T19:39:45+0900,857526282601103643,2,0,1
clan****,75gmL,찬탄이 이긴게 아니라 반탄이 홍준표 김문수가 잇기에 떨어진거지 ㅋㅋㅋㅋ뭔개소리야 이건,True,1,2025-04-22T19:37:41+0900,857526149943656642,4,3,1
hsph****,18bIs,보수는 안철수 싫어한다. 민주당 지지자들의 역선택이겠지..김문수ㆍ홍준표중 남을듯ᆢ,True,1,2025-04-22T19:52:15+0900,857527088326901845,2,1,0
kph1****,,,False,1,2025-04-22T19:00:57+0900,857523782946914687,0,0,0
lead****,xtDk,기사가 제목부터 오류 투성이네,True,1,2025-04-22T20:03:51+0900,857527835332444446,1,0,0
russ****,4h5d5,홍준표나 한동훈 되겠네. 볼 것도 없다,True,1,2025-04-22T19:54:09+0900,857527210934796353,1,0,0
zoo3****,,,False,1,2025-04-22T19:17:43+0900,857524863449956563,0,0,0
jms8****,3rTRR,"기자님 국민이 탄핵파를선택 그럴리가?~
기자와 언론이 선동한 결과  맞지않나요??",True,1,2025-04-22T19:16:45+0900,857524800803832046,2,2,0
