user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
yob2****,1l3m4,"조선시대 한 어부가 해변에서 게를잡아 뚜껑없는 망태기에 넣는걸 보고 지나가던 행인이 ""여보시오 뚜껑없는 통에 게를 담으면 게가 도망치지 않겠소""하고 물었어요. 그러자 어부는 ""게라는 것들은 남이 잘되는 꼴을 보지못해, 한마리가 탈출하려하면 잡아끌어내리지요""라고 답했어요. 저번 대선때 대깨찢 한마리가 그런말을 했었어요. ""어차피 문재앙 때문에 계층이동 사다리는 없어졌는데, 사다리를 다시 만들어 달라느니 중산층도 같이 못살게 찢재명 찍는게 현명한거 아니냐""고.. 하여튼 배급견들은  게같은 것들이에요.",True,1,2025-05-26T21:45:25+0900,860688602277871771,18,1,3
ichl****,bylOa,"리짜이밍은 더할텐데 중산층을 없애고 배급견 만들어서 노예로 길들여 부려 먹을려고 기본소득, 국토 보유세, 나누는 사회 만든다고 하드만...  돈은 누가 벌어서 나눈다는 건지? 거북섬 봐봐~이재명 거북섬으로 오면 우리가 다 나서서 알아서 해 줄 테니까 이리로 오라'고 유인을 해서 살살 꾀어와서 인허가와 건축 완공하는데 2년 정도밖에 안 걸렸다고 자랑질...여기 투자한 국민들 다 폭삭 망함...이래도 리짜이밍 지지할래??",True,1,2025-05-26T23:02:36+0900,860693575598342308,11,0,0
rgcl****,,,False,1,2025-05-26T22:17:58+0900,860690699899634013,0,0,1
toms****,ct91G,이전 대통령의 언행불일치에서 비롯된다.. 한평생 김문수처럼 약자와 동행을 해본 적이 없기에 불가능했다.. 김문수가 대통령되면 최소한 돈이 전부라고 말할 수 없는 국민들도 많이 생겨 정신적인 중산층도 많이 생길 거 같다,True,1,2025-05-26T21:46:46+0900,860688689653612772,8,2,2
real****,cz23Z,민주당 목표가 중산층 붕괴인데 그게 되겠냐.,True,1,2025-05-26T22:20:46+0900,860690880204374279,7,1,1
cp99****,3UVld,"정확히는 문재인때부터 시장경제가 뒤틀렸죠. 그 누구도 쉽게 바로잡지 못합니다. 일단 최저임금인상 멈추고, 대기업노조발 고임금부터 제한 못하면 끝없이 물가 올려야 하죠. 경제는 균형입니다 무너지면 모두에게 가혹하죠.",True,1,2025-05-26T23:18:00+0900,860694567903559682,1,1,0
savi****,,,False,1,2025-05-27T06:03:10+0900,860720670248534036,0,0,0
74fu****,304G7,"신천지,국정원 여론,댓글조작 열심히 알바중~
하는짓들하곤  쑤레기들  언론사 인 문제",True,1,2025-05-27T05:07:15+0900,860717067794382876,0,0,0
rall****,3LTT,부자들 살리기 위해 중산층을 없애는 짓은 제발 그만 좀 해라.,True,1,2025-05-27T00:34:09+0900,860699473628626981,0,0,0
kksw****,7UVw8,"이명박을 제일 욕했는데, 그후 나온 세명 모지리들 보니, 그중에 이명박이 제일 낫고, 국민들은 복이 없다, 제대로 잘 뽑아야 한다",True,1,2025-05-27T00:12:20+0900,860698067295273046,0,0,0
zzan****,2sNTU,정치인들의 말은 뭐다 개소리,True,1,2025-05-27T00:00:24+0900,860697299536314464,0,0,0
bras****,1tH4V,문재인이가? 좌파라는 새x가 있는 자들은 더 있게 없는 자들은 더 거지로 만들었지. 10새x 국민과의 대화에서 집값 잡겠다고 헛소리 해대던거 생각하면...,True,1,2025-05-26T23:58:39+0900,860697186306883755,0,0,0
skdh****,6qTH,"탄핵은 핑계고 뭐 제대로된거 하나도 없잖냐??ㅋㅋㅋㅋㅋㅋㅋㅋ 말만 뻔지르르하게 짖어대고 지지자들은 똥인지된장인지 구분도못하고 빽빽거리다가 안되면 반대쪽탓만하고, 애초에 공약자체가 현실성도 없고 근거자체가 미비해서 사실상 실현불가능한 공약들 남발하고 당선후 철회하는데 ㅋㅋ윤두창은 그런걸 강행까지해버리는 ㅋㅋㅋㅋㅋ",True,1,2025-05-26T23:55:12+0900,860696963941662762,0,0,0
coco****,,,False,1,2025-05-26T23:40:41+0900,860696029299736751,0,0,0
nant****,1llii,"풉. 이건 또 무슨 해괴망측한 그림? 상류층이라 했으면, 중상층이라 해야지. 중산층이란? 어느 정도의 자산을 형성한 계층. 중상층이 곧 중산층이던 시절이 있었기에 둘을 굳이 구분하지 않아도 별 문제 없으나, 저런 그림을 그릴 때는 구분 해야지. ""일정 수준의 자산 소득이 있는 계층"" ""근로소득과 자산소득의 균형을 이룬 계층"" 사회의 자산(물질적/비물질적 자산. 일정수준의 기득권. 쉽게 말해서 권력)을 소유 하고 있어서 사회 체제 수호 의지가 강한 계층. 즉, 중산층이 증가 할 수록 사회가 탄탄해 지지. 기본 용어 개념도 없었구나.",True,1,2025-05-26T23:09:12+0900,860694000028352572,0,0,0
so_a****,3OYma,문재앙이 집값 폭등시켜 서민들이 돈벌어 내집 마련하고 잘살게 되야하는데 집값 폭등으로  내집 구입은 커녕 전월세도 덩달아 폭등하여 서민에서 벗어나지 못합니다,True,1,2025-05-26T22:34:46+0900,860691782348833023,0,0,0
pine****,,,False,1,2025-05-26T21:58:14+0900,860689429025521743,0,0,0
ldae****,,,False,1,2025-05-26T21:45:22+0900,860688599945838720,0,0,0
sbto****,2YGSy,"그럼 국개들은 대통이 문제가 아냐 니들
말대로 국민만 팔아먹어라",True,1,2025-05-26T21:43:36+0900,860688485994987766,0,0,0
ymki****,,,False,1,2025-05-26T21:41:48+0900,860688370265751795,0,0,0
yjwv****,2c0cRF,멍~멍~멍~,True,1,2025-05-26T21:38:52+0900,860688180951646477,0,0,0
