user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
vips****,3UxrE,역시나 내란당 하는짓거리가 쌍팔년도에나 있을법한일들이 너무 자연스럽게 벌어지지  한심한것들 해체당이다 니들은,True,1,2025-06-02T13:55:23+0900,861307720421081243,52,15,2
byju****,klSR,대한민국의 현대사을 보아라 대형사고치고 부정선거하고 계엄령하고 탄핵당하고는 전부 보수정권때이다.,True,1,2025-06-02T15:18:35+0900,861313080389271788,27,3,0
cool****,3FrNi,국민의힘은 뭐하는집단인데 이런 특보임명장을 남발하는가? 특이한 정당일세...일단뿌리고보는 임명장이 무슨가치가있겠나?,True,1,2025-06-02T14:25:59+0900,861309691156758928,19,2,0
yjn8****,3Nzvq,종이한장에 한표 얻으려 늙은이들 완장주기로 바꿨구나...ㅋㅋ 무식한 노인들이 그런거 좋아하긴하지...ㅋㅋ  하여튼 하는짓이 국집 스럽네..ㅋㅋ,True,1,2025-06-02T14:00:23+0900,861308042812063921,13,4,0
2spa****,1oVHQ,남의  개인전화번호를  도용해서  일방적  무차별로 보낸 김문수 후보 선거 특보 임명장은  여러가지 범죄에 해당된다고 본다.,True,1,2025-06-02T17:40:00+0900,861322190467891207,9,1,0
secu****,7J2Uc,"“임명장 받았으니 ‘잠바’도 보내고 삼겹살 두 근, 소주 이 병도 보내라” 우하하하",True,1,2025-06-02T17:27:01+0900,861321354224336907,3,0,0
zeba****,3bOJR,그딴걸 공짜로 시키면 누가하냐 몇 억씩 줘야 할까말까한 짓을,True,1,2025-06-02T15:28:45+0900,861313735103349059,2,0,0
cran****,bj3iY,국짐당은 원초적으로 차떼기부터 시작해서 범죄정당인데 무슨짓을 못하겠나요. 내란세력들 집단으로 국민에게 심판받아야하며 한표도 주어서는 안됩니다.,True,1,2025-06-02T14:36:49+0900,861310389843919211,5,4,1
solo****,cVvIF,국힘은 사기꾼이네.,True,1,2025-06-02T16:05:47+0900,861316121628770658,2,1,0
iams****,,,False,1,2025-06-02T15:05:40+0900,861312248474239309,0,0,0
lch5****,28Eh6,이런 이상한짓 언제까지 할건지?,True,1,2025-06-03T00:49:10+0900,861349840376823851,1,0,0
jkk3****,,,False,1,2025-06-02T17:07:33+0900,861320100865638611,0,0,0
stin****,1qiYe,나도 20대 대선때 썩열이한테 저거 왔었다능 ㅋㅋㅋ  글구 오늘 02 2104 9385 일반 전화로 문수니 흉아한테 전화도 왔다능  뭐여????????,True,1,2025-06-02T16:01:11+0900,861315824286171215,1,0,0
1eod****,2wml1,선관위는 저런거 그냥 봐주는거야??,True,1,2025-06-02T15:55:08+0900,861315434484334659,1,0,0
chun****,3TSoV,"와, 임명장 정치세력! 주변 여기저기에서 문수의 임명장 속출하고, 심지어 쓰레기통에도 임명장이! 제발 그런 얄팍한 속임수 쓰지마라. 돈도 없고, 인력도 없고, 전략도 없고, 선거운동도 제대로 하지 않은 국민의힘이 손쉽게 할 수 거라곤 무작위로 이명장 보내는 것. 이런 짓은 아프리카나 남미의 후진국들도 안 한다!",True,1,2025-06-03T07:57:19+0900,861377423613100094,0,0,0
ccab****,aRsy,앜ㅋㅋㅋㅋㅋㅋㅋ OOO들아 나도 임명장 보내라 전화만 존나하지말고,True,1,2025-06-03T07:53:19+0900,861377165831176245,0,0,0
tang****,3IXhD,삼겹살 두근에 소주 이병 ㅋㅋㅋ 유머러스하고 소탈하시네요 ㅎㅎ,True,1,2025-06-03T00:04:34+0900,861346966003515562,0,0,0
kore****,tIKa,누구세요,True,1,2025-06-03T00:02:41+0900,861346845375332544,0,0,0
rafa****,1uteK,형님 내일 따블뛰는겨? ㅋㅋㅋㅋ,True,1,2025-06-02T21:14:59+0900,861336041133441373,0,0,0
so87****,1oHKg,저런 개인정보는 어떻게 알고 보내는지 조사 제대로좀 했으면 좋겠네요,True,1,2025-06-02T20:33:00+0900,861333336293900291,0,0,0
lee4****,8w9Iv,듣보좝을 실수라도 임명되었음 감사하게 생각하라 누군지도 모르겠으나 지가 뭔데 꾸짖긴 ㅋ  어디서 나온 놈인지,True,1,2025-06-02T19:46:11+0900,861330319767240761,0,0,0
sant****,2mkEL,엄지부터 짤라유 새끼부텀 짤라유?,True,1,2025-06-02T18:11:29+0900,861324219806384311,0,0,0
zhou****,1c8Gp,천박스럽기는ㅋㅋ,True,1,2025-06-02T16:48:41+0900,861318884634919217,0,0,0
vicg****,,,False,1,2025-06-02T16:42:44+0900,861318501258756407,0,0,0
jcsh****,2qsTA,피싱문자라고 의심하셨을 것으로 생각합니다. 그리고 당연히 클릭하지 않으셨겠지요? 정말 잘 하신 것입니다. 피싱문자 잘못 클릭하면 정말 정말 낭패당하십니다. 이런 문자 받으시는 분들은 당황하지 마시고 또 절대 클릭하지 마시고 신고하시기 바랍니다.,True,1,2025-06-02T16:24:46+0900,861317344553599281,0,0,0
hn44****,,,False,1,2025-06-02T16:05:02+0900,861316072974843922,0,0,0
dydv****,2xQmu,진짜~~ 가지가지 한다 지랄도 풍년이다.ㅋㅋㅋㅋ,True,1,2025-06-02T15:44:21+0900,861314740712898715,0,0,0
spma****,3PGec,"자칭 보수정권이란 ㅅ.ㄲ들은 쿠테타 정권이였다.이승만,박정희,전두환,노태우 그리고 윤석렬까지..어째서 모두 보수란 ㅅ.ㄲ들일까??",True,1,2025-06-02T15:38:29+0900,861314362319569106,0,0,0
kmda****,16eNU,나도 받았는데 ... 난 유명하지도 않은데 그래서 바로 스팸 차단...,True,1,2025-06-02T15:29:24+0900,861313776962502808,0,0,0
wtka****,DC2n,젓가락은 안 보내주세요?,True,1,2025-06-02T14:45:12+0900,861310929499848778,0,0,0
hyc2****,,,False,1,2025-06-02T14:39:13+0900,861310544362078299,0,0,0
soul****,1x1wK,발목이 없으믄 저기 허니께.. 발목부터 비고 가는게 좋겄어유~,True,1,2025-06-02T13:51:42+0900,861307482486604044,0,0,0
hoon****,,,False,1,2025-06-02T20:40:36+0900,861333826037612778,0,0,0
plus****,2DWNV,누구??????? 별,True,1,2025-06-02T15:39:10+0900,861314406074548298,0,1,0
juns****,6soJA,저거 당비내는 책임당원한테만 가는건데,True,1,2025-06-02T14:27:15+0900,861309772643696749,0,1,0
junn****,YzkB,본인의 의사를 확인하지 않고 진행하는것 자체는 누가 하든 다 문제있는거다. 하지만 윤석렬 비판했다고 김문수 지지 못할건 없는게 그게 자유민주주의이다. 당이 정한대로 개인의 의사없이 진행한다면 그건 독재이고 그렇게 조선이 붕당으로 멸망했고 그런 조선은 망해도 타당했다. 지금 여야가 극단적으로 싸우는게 이미 붕당화되었다는걸 의미하므로 한국은 이대로라면 망해도 싸다. 특히 이재명의 독단과 자신의 범죄를 무마하기 위한 사법체계 붕괴 행위는 반드시 독재로 이어질 것이다,True,1,2025-06-02T13:59:35+0900,861307990953689304,0,1,0
ljhg****,18eSN,허허 참 그냥반 생긴거하곤,True,1,2025-06-02T13:50:48+0900,861307425074970933,3,5,1
ufot****,1Y9xC,본인이 동의한다고 클릭해야 임명장 페이지가 뜬다. 동의는 왜 해놓고 딴소리 함? ㅋㅋ,True,1,2025-06-02T14:27:08+0900,861309765848924205,1,3,0
zpzp****,U9ey,"나는 임명장 두개왔다 그것도 민주당에서 ㅡㅡ 번호는 어떻게 알아가지고, 이것도 개인정보 도용이네?ㅋㅋ",True,1,2025-06-02T20:25:21+0900,861332843228299373,0,2,2
sege****,,,False,1,2025-06-02T14:46:00+0900,861310981542772738,0,0,0
japg****,,,False,1,2025-06-02T16:10:21+0900,861316415817253025,0,0,3
koht****,49HXt,김기천이 배우라고?  생전 처음보는 놈이네,True,1,2025-06-02T16:25:23+0900,861317383459963057,2,5,0
aqua****,2SmNf,아무나 주는 특보  이름 석자 알린것에 영광인줄 알아야지...,True,1,2025-06-02T13:54:52+0900,861307687135084897,0,3,0
bolk****,1baWO,안하면되잖아 어쩌라고 왜 이렇게 극단적이냐  하지마 그냥 조용히 거절하는 방법도 있잖아 너무 극단적이네  그냥 찢고 꽂고 좋아한다고해  왜이래?,True,1,2025-06-02T13:52:37+0900,861307542146384137,6,10,1
kyi3****,T91Q,"그래도 이죄명 범죄자들 가족은 머라 할래...
대장동부터 백현동까지 1억투자해서 1000억식들 벌게하고.",True,1,2025-06-02T14:33:02+0900,861310146104524815,2,6,1
qp00****,2dyVo,뭐가 문제냐?,True,1,2025-06-02T13:49:59+0900,861307372176408979,1,5,3
lms7****,22ipZ,그냥싫으면  안하면되지 뭔말이그렇게많나 웃기는놈이다,True,1,2025-06-02T15:50:33+0900,861315139893199094,0,6,0
