user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
lj******,SrmA,내 주변인들 80%가 이재명 표다 헛꿈들 꾸지마라 경기를 이지경으로 만들어놓고 한덕수인지 김문수인지 내란 떨거지 당에서 무슨 후보를 낸다고 그러냐 어처구니없다,True,1,2025-05-05T11:42:20+0900,858701552636919882,86,21,9
xrnw****,cHhNi,"결국 대선 구조는 &lt;내란 잔재 세력&gt; vs &lt;내란 종식 세력&gt; 이네... 전광훈 목사와 친한 김문수나 윤석열의 늙다리 아바타 한덕수가 당선될 가능성은 적지만... 만에 하나, 그렇게 된다면, 윤은 내년에 사면되겠네...",True,1,2025-05-05T11:36:55+0900,858701203503055096,29,6,2
ladz****,3ywmA,"전과7범,  일본 국적 운운.  국정운영 일머리없는애가  내란당 후보.. 내란당 안에서도 얼마나  싫으면 무소속 떡수와 단일화 하려는건지..  웃긴다.",True,1,2025-05-05T11:44:14+0900,858701674707943489,22,5,3
oman****,,,False,1,2025-05-05T11:36:15+0900,858701160284946504,0,0,2
veke****,zz4l,"어쩌다 나라꼬라지가....
이재명 꼭 대통령이되어서. 다 찢어주세요.",True,1,2025-05-05T11:44:42+0900,858701704302952624,22,9,0
anaa****,dqjjU,"내란당 해체는 물론이고 ,  내란당 전체 전재산을  보상금으로 내놓은다음  =  희대가  개헌을  대선공약으로  내걸고  대선에 나가라  ,  참신하게 (?)  ///   이재명이가  5천만명에게  탈탈  털리고  판결.심판받듯이  =  참신한 (?)  희대도 ,  5천만명에게   탈탈 털리고  판결. 심판을 받고   희대통해라",True,1,2025-05-05T12:47:30+0900,858705750078259317,4,0,0
scla****,3f3ck,김이 되든 한이 되든 계엄당은 확실하네,True,1,2025-05-05T17:24:39+0900,858723606086025439,2,0,0
hans****,wCss,조희대도 저기 입당하면 되겠네,True,1,2025-05-05T12:23:37+0900,858704211708215452,2,0,0
wj69****,1QmZj,어차피 탈당하나마나 니들은 침몰하는 배다 가라안는 일본 군함이 생각난다~  엄청나게 크게 만들었는데 제대로 써보지도 못하고 가라앉았지만  꼭 그꼴이다 축하한다 이 0000,True,1,2025-05-05T20:13:51+0900,858734506914349315,1,0,0
moon****,25YQO,얼마나 큰 죄를 지었길래 석렬이를 못 버리나.  뭔 짓을 지었길래.  불쌍한 할배들.,True,1,2025-05-05T13:45:02+0900,858709457037688847,1,0,0
