user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
torq****,2LqmZ,이재명의 압승을 기원합니다. 대한민국의 압승을 다시 기원합니다.,True,1,2025-05-24T16:43:29+0900,860483607850909816,242,55,8
1111****,5iFAN,대왕카스테라 업체들 하루만에 망했지 어떤놈 때문인지는 모르겠지만 오죽했으면 기생충에서도 망한 인물들이 대왕카스테라 망했다 하고 나왓을까 주댕이 한마디로 자살자 속출하고 망해서 신불들 되고 방송하고 하루만에 그랬으니 다들 날벼락 맞앗지 내옆에 가게도 오픈 3일만에 방송때문에 가계망했음,True,1,2025-05-24T17:25:55+0900,860486341530484994,48,3,6
grey****,2dnRn,투표합시다~,True,1,2025-05-24T16:54:13+0900,860484299541971030,29,0,1
pppj****,6yPda,"재야 인사들과 독재 타도를 외쳤던 깨어있는 시민들이 민주화에 큰 공헌을 했었는데! 박정희,김영삼이 민주화 세력의 질서를 무너트렸지요! 다시 시민들이 나서서 깨끗한 나라를 만들어야 합니다.",True,1,2025-05-24T17:27:13+0900,860486425919881289,30,8,0
marc****,,,False,1,2025-05-24T17:58:07+0900,860488416553336861,0,0,0
wlsv****,5HNIC,"영화 '콜걸'도  나오겠죠?  르네상스,일반미,쥴리,홑이불,환승연애......아카데미 가즈아! 🤭",True,1,2025-05-24T20:26:51+0900,860497998340161789,12,1,0
cha6****,2kaL8,이재명이 대통령이 돼서 김건희 아바타 윤썪열 집구석 비리 불법 싹다 파헤쳐 사건들 덮으려 도왔던 인간들 싹다 구속,True,1,2025-05-25T01:33:56+0900,860517782234595463,11,1,1
mulb****,BmXR,거니영화 드디어 나오는구나. 내 그럴줄 알았다. 바로 보러간다.,True,1,2025-05-25T01:59:26+0900,860519424573046831,10,0,0
jung****,1HCEl,신명 천만가자!!!,True,1,2025-05-25T07:21:56+0900,860540202148429908,8,0,0
ysjk****,4es6,넷플릭스도 풀어줘요,True,1,2025-05-24T22:27:50+0900,860505792397181141,6,0,0
swj1****,2JyJO,신명 기대중♡,True,1,2025-05-24T22:02:53+0900,860504185039225080,5,0,0
jjjj****,urjN,이영돈 때문에 대왕카스테라 하신분들 수없이 망함..그러고도 당당한거 보니..2찍인건 맞구나,True,1,2025-05-24T21:56:20+0900,860503764014989403,5,0,0
ally****,Uiqp,신명  = 명신,True,1,2025-05-25T05:23:33+0900,860532575393808430,4,0,0
gpru****,4Oe3z,"김규리배우님, 매불쇼 한번 더 나와주세요~
알고리즘에 작년쯤 나오신거 뜨더니 이런 작품이 나올줄 몰랐어요.
대선 영향을 줄까봐(?) 였나... 6/2일 개봉한다는 글을 어디서 봤어요. 맞나모르겠네... 
여튼, 중학생 딸 데리고 영화 보러 가렵니다.",True,1,2025-05-25T00:42:02+0900,860514438904545292,4,0,1
youi****,6f6Au,부정선거 주장하는 개돼지들은 6/3일 투표하지 마라.,True,1,2025-05-25T06:33:17+0900,860537067694719003,4,1,0
ygju****,400C5,오랜만에 극장 구경이나 가야겠다,True,1,2025-05-24T20:32:36+0900,860498369116635303,4,1,0
hkk7****,1vdDG,윤석열과 김거니같은 대통령 안나오게 내란관련정부관계자 색출해야한다,True,1,2025-05-25T07:06:48+0900,860539226821754964,3,0,0
flyh****,1uhA7,석열아… 3년동안 뭐했냐… 부정선거였으면 우선 니 대통령직 내려놓고 선거판 싹 뒤집지 그랬냐… 지 대통령직은 못 내려놓고… 총선 결과 참패하니까 부정선거라고 우기는데… 윤어게인 외치는 ㄴ들이나 이런 것들 때문에 비상계엄하고 그 미친 짓들 했던 거… 저 부정선거 외치는 내란옹호세력들은 절대 봐주면 안됨… 반국가세력 척결해야 나라 바로 섬….,True,1,2025-05-25T05:09:27+0900,860531667008225305,3,0,0
dggo****,h691,명신이 영화는 봐줘야지 우리가 남아가?,True,1,2025-05-25T04:53:11+0900,860530618935541768,3,0,0
mk05****,1HSGg,신명... 좋다...,True,1,2025-05-25T01:27:01+0900,860517337101500419,3,0,0
hmj9****,2g9Pb,볼만하겠네~~~ 그렇게 원하던 거니영화 나온겨&lt;~~,True,1,2025-05-25T00:49:16+0900,860514904354848802,3,0,0
over****,gVfW,영화보실때 극우꼴통의 테러조심..뱀.' 등등,True,1,2025-05-24T17:59:11+0900,860488484920492088,3,1,0
bibi****,,,False,1,2025-05-25T08:56:20+0900,860546283352358967,0,0,0
broa****,4txtv,행정가! 실천가! 이제는 이재명!,True,1,2025-05-25T06:51:34+0900,860538245639831594,2,0,0
jhyc****,19u38,좀전에 신명 몇초 예고영상 봤는데 등골이 오싹 소름 돋았습니다 김규리 연기가 잠시 나왔는데 섬뜻했네요,True,1,2025-05-24T23:18:42+0900,860509069893435567,2,0,0
djch****,1aAXW,"딱이네. 기자는 장인수, 봉지욱, 이명수겠고. 참 시대정신을 담은  멋진 영화가 탄생했구만.",True,1,2025-05-24T21:26:26+0900,860501837587939461,2,0,0
west****,1Kkzk,"75퍼,15퍼,8퍼,2퍼. 득표율이 상식이지",True,1,2025-05-24T17:55:18+0900,860488234973528150,2,0,0
hiou****,2cxtKQ,이남자 저남자 넘나들다가 얼빵한 나이든 머저리하나 물어서 온나라를 분탕질한것도 모자라서 온갖범죄를 저지르고도 모르쇠를 시전하고있는 두마리잡것을 법대로. 처벌해서 언능 쳐넣고 세금조차도 아까우니 사형으로 대미를 장식하고 남은 패거리도 소탕하고 자유대한민국 수호하자,True,1,2025-05-25T11:07:15+0900,860554718097702986,2,1,0
