user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
lees****,3YND9,탄핵의 책임은 윤석열 김건희와 친윤들한테 있습니다~ 구시대적인 사고의 구태정치인들(김문수 홍준표 한덕수) 제발좀 물러나 주세요~ 젊고 스마트하고 청렴하고 국민이 먼저인 한동훈으로 시대교체 원합니다~,True,1,2025-04-25T05:26:33+0900,857749629960192030,12,3,0
good****,2c53aN,탄핵 책임은 딸랑거리기만 하고 바른소리 한번 안한 니네  찐윤들 책임이 맞다...윤돌이 패들  차기 총선에선 모조리 짤라버려야 보수가 산다,True,1,2025-04-25T05:29:15+0900,857749803889590283,10,2,1
koko****,1Rbs1,메너 논리 전부 한동훈 압승!,True,1,2025-04-25T05:58:15+0900,857751672468799512,14,7,0
free****,1VtNs,보수 중도는 탄핵찬성자임 국민 70퍼센트이상 탄핵찬성자입니다 김훙독수 70대 운전 그만 두어야할 나이 나라위해 젊은 리스크없는 한동훈 안철수 대통령 선출되어 국민통합 잘살기를,True,1,2025-04-25T05:17:07+0900,857749021651894279,11,5,1
arch****,1zhub,"한동훈은 무슨 낯짝으로 나왔냐?? 안철수는 입으로 정치하냐?? 이 두 사람은 뭔가 본인들의 뜻과 계획대로 정치가 될거라 생각하는 순진한 사람들. 트럼프보다 세 치 혀로 국정을 말아먹고 거짓말과 조작으로 나라 팔아먹을 이재명과 민주당이 더 큰 문제다. 계엄이 잘한건 아니지만 현실을 봐라..아직도 꿈과 이상을 쫒아가냐...도토리같은 것들이 나와서 토론한들....한심하다 한심해
.힌덕수총리나 밀고 후보 사퇴해",True,1,2025-04-25T07:49:55+0900,857758865985372328,9,4,2
jisa****,2o4Ka,국민 눈높이는 대통령을 끌어내린 배신자를 극혐한다,True,1,2025-04-25T06:23:09+0900,857753275884109844,15,11,0
oskk****,3Jspj,조용한나라에 계엄을 선포한게 정당한 통치행위? 가 아니고 장기집권을 위한 술책아닌가요? 국민들이 57% 가까이 탄핵찬성을 외쳐 파면되었는데 내란잔당요원들은 사과도않고 대선출마? 국민들이 두렵지도 않나요?,True,1,2025-04-25T07:48:29+0900,857758773811347531,9,5,0
lyhu****,1PaSH,"부정선거와 야당입법독재때문에 정권을 유지할 수가 없다고 대통령이 계엄 했는데 계엄이 잘못되었다는건 어느나라 국민이냐
국회가 대통령위에서 나라를 말아먹고있는데 지켜 보는건 직무유기다",True,1,2025-04-25T07:54:22+0900,857759152204677198,8,4,0
gkdo****,aeQfo,지난 총선에서 부정선거가 있었던 것 같고 그렇게 가정한다면 윤통 탄핵에 앞장선 의원들은 국힘 민주당 모두 부정선거의 수혜자들이다. 왜냐면 윤통은 부정선거와 선관위를 조준했으니 윤통의 계엄을 내란으로 뒤집어야 하는 처지인 건 부정선거 수혜자들 모두다. 그러니까 국힘당 소속이라도 부정선거 수혜자들은 민주당과 함께 탄핵소추 의결에 나설 수 밖에 없었던 거다.,True,1,2025-04-25T06:17:16+0900,857752897172013085,7,4,2
yong****,ZmyK,"계엄책임론이나 물어라..구제불능 후보자들아..
계엄 안했으면..임기 마쳤을거 아니냐? 윤석열은 극좌파다..
이재명한테 정권 바치려고 ,3년만에 셀프계엄까지 서슴없이 저질렀어...",True,1,2025-04-25T07:46:41+0900,857758657713012863,6,3,1
