user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
moni****,303SY,전과5범의 충실한 개 노릇을 한 국정농단의 죄값을 받도록 해야한다!!!,True,1,2025-05-06T06:24:49+0900,858773867521376314,85,20,2
kawa****,1ybst,"햡의해서 재판본다는것 자체가 웃기는거 아닌가?! 어떻게 재판을 조율할수가 있는지... 각자 심리, 재판결과에 따라서 최종 인용,기각,각하가 나타나는거지. 협의를해서 재판결과를 발표한다?! 이것자체가 짜고치는 고스톱",True,1,2025-05-06T06:38:24+0900,858774743141056557,49,8,1
jinh****,2CJfI,형배야 넌 부끄러움도 없냐?,True,1,2025-05-06T05:18:59+0900,858769626794819637,50,26,3
h964****,4nyC4,전원일치를 위해 무슨 짓이라도 했다는거네. 그래서 결론을 못내고 지속적으로 설득 또는 협박이라도 해서 만장일치를 내릴때까지 계속  괴롭혔겠네. 행배답다,True,1,2025-05-06T06:34:10+0900,858774469588549649,21,5,1
whit****,AaGZ,이놈 나중에 감옥갈놈,True,1,2025-05-06T06:32:25+0900,858774357097316387,19,9,0
gree****,7G7bt,훗날ᆢ 역사는 최악의 간신들이라 칭할것 ᆢ,True,1,2025-05-06T06:35:25+0900,858774550253404204,6,2,0
pala****,2arwK,윤통 물러났으니 탄핵 31건한 이재명도 물러나는게 맞다,True,1,2025-05-06T06:40:02+0900,858774848350978054,4,0,0
ghco****,aPcPu,형배야 넌 역사책에 나올것 같에 가장 더러운 판사라고,True,1,2025-05-06T09:27:51+0900,858785659303755972,4,1,0
hich****,M26T,입법 내란 세력의 편에 선 법비 문형배. 법리가 아닌 정치적 판단으로 결론을 몰고가 스스로 헌재의 권위를 무너뜨린 법비 문형배. 증거 능력이 떨어지는 일방적 내용의 검찰 조서를 증거로 채택한 법비 문형배. 재력가 집안의 부인과 살면서 청렴한척하는 법비 문형배. 수령 이재명 등극을 위해 비단길 깔아준 법비 문형배.,True,1,2025-05-06T06:46:10+0900,858775243638964240,3,1,0
teri****,4woWB,전과잡범의 개노릇이나 했겠지. 2번의 이상한 탄핵은 후세에 길이길이 남겨질것이고 그 배후에늠 민주라는 앙아집단이 있지.,True,1,2025-05-06T06:45:46+0900,858775217802051642,3,1,0
ksk7****,RUHm,만장일치는  공산 국가에만 있는거 아닌가? 개인의 의견이 모여 다수의 의견을 완성시키는게 민의라고 봅니다.,True,1,2025-05-06T10:51:57+0900,858791077186896129,2,0,0
rkad****,FIFT,"문형배가 국민들을 설득했다고 생각하는가? 어디서 정치질인가. 윤석렬이 유죄인건 유죄인거고, 이재명이 유죄인건 유죄인거지. 사법부 협박이 정상이냐 판사야?",True,1,2025-05-06T09:11:15+0900,858784590376992832,2,0,0
bog8****,8PLgt,이자식은왜자꾸나타나요.국민에게인사도안하는인성이부족한자식,True,1,2025-05-06T07:31:18+0900,858778151298269233,2,0,0
opir****,27dvm,"헌법개판소  8적들  후손대대로  개판판새로  남을것이다.
   음란판새  행배야  홍장원 지렁이글씨  와   곽종근의  회유 는  어떻게  할거냐??
    박선원.박범계.김병주.부승찬.,이들의  회유는  어떻게 할거냐?
    언젠가는  불법판결  댓가치를것이다.?",True,1,2025-05-06T12:16:23+0900,858796516880416885,2,1,0
leej****,8d7G,"서울신문=한겨레=jtbc=오마이뉴스=종북좌파=북한 러시아 중국=문재인=김어준=찢재명=범죄자=mbc=선동=전교조=민주노총  
문형배야 현직대통령은 빛과같이 탄핵시켰는데
찢은 왜 몇년이나 걸리냐. 나라망하면 너도 을사오적정도 급 되겠드라..",True,1,2025-05-06T06:44:07+0900,858775110729859085,2,1,0
myki****,4bRae,나라를망친 매국노 그대는 국민의 심판을 받을것이다,True,1,2025-05-06T06:41:01+0900,858774911869517828,2,1,0
erg1****,3uXT3,"모든 법관의 모범 이십니다, 이런분이 이 시대, 이 순간에 우리나라 지도자급에 많아지기를 간절히 바래봅니다.",True,1,2025-05-07T07:46:11+0900,858871880654782505,1,0,0
vavi****,3owgp,그건 당신생각이고 당신 생각이 옳다는 생각을 버리셔야 지도자입니다. 김정은 푸틴이 어디 지도자입니까?,True,1,2025-05-06T11:18:07+0900,858792763028668455,1,0,0
sim0****,8maob,너는공산주의,True,1,2025-05-06T09:45:59+0900,858786828306612457,1,0,0
ooo1****,,,False,1,2025-05-06T09:37:43+0900,858786295445455015,0,0,0
edio****,66bP7,당신이 그런 의도가 판결의 정당성을 잃게 만들었다는 사실을 문형배 당신만 모르는 것 같네요 ㅋ,True,1,2025-05-06T09:25:54+0900,858785533541744837,1,0,0
visu****,1dGGa,당신이 헌법재판관이었다는 사실 자체가 대한민국 역사의 수치다!,True,1,2025-05-06T07:39:21+0900,858778669546471471,1,0,0
kore****,,,False,1,2025-05-06T07:17:46+0900,858777278732042337,0,0,0
choi****,,,False,1,2025-05-06T07:07:18+0900,858776604707389470,0,0,0
jgj0****,,,False,1,2025-05-06T06:41:35+0900,858774947504324656,0,0,0
53os****,1hKUU,억지로 만들어냈다는 소리?,True,1,2025-05-06T06:39:24+0900,858774806743482399,1,0,0
juni****,2z7Fn,헌법재판소가 불필요한 이유,True,1,2025-05-06T06:32:45+0900,858774378303717433,4,4,0
chdl****,2hwzk,대법관이랑 차이가 넘 나네요 조희대는 본인판결이 쫄린지 손을 사정없이 떨더니 반대의견ㅇ을 설득도 수렴도없이 졸속으로 판결하는게 본인을 임명한 윤석열에대한 보은이라고 생각하나봐요 이런 조의대같은인물들이 곳곳에 기관장으로 가있는 현실이 넘 아프네요,True,1,2025-05-06T15:34:07+0900,858809256005074987,1,1,0
godd****,3qDYI,재판관 각자 나온 심리대로 해야지! 여기가 공산국가냐! 탄핵심판 무효시킬 수 있는 명분을 알아서 자백하는거네 이거!,True,1,2025-05-06T09:36:39+0900,858786226189107351,1,1,0
manb****,3V0rl,"그걸 말이라고 하시나? 법관은 자기싀 양심에 따라 판단해야지. 그래서 국민은 법관의 판결에 승복하는 것이고.
조작했다고 고백하는 것처럼 들리네.",True,1,2025-05-07T10:53:09+0900,858883925924118603,0,0,0
yeda****,3Kq7v,수고하셨습니다 이젠 나라를위해 더좋은일하셔야지요,True,1,2025-05-07T10:47:35+0900,858883568133210382,0,0,0
sigm****,1eB8x,"민주당은 이런자 절대 탄핵 안하지.. 자기들 유리한것은 법치라고 지켜 세우고, 자기들 불리한것은 모두 불법 , 탄핵 등으로  윽박지르는  조폭들 하는 짓이요 ㅋ",True,1,2025-05-07T10:05:00+0900,858880823900766213,0,0,0
