user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
y4je****,3USLi,이낙연 만한 정치인 없다. 대한민국 살리려면 이 분이 대통령 돼야지 다른 사람들은 다 수준 미달. 특히 범죄자는 절대 안 되지.,True,1,2025-04-30T19:13:27+0900,858266758283264156,52,30,1
miss****,,,False,1,2025-04-30T19:57:35+0900,858269601820049601,0,0,2
bana****,2s2PY,이낙연 사법리스크도없고 능력있어서 믿음이간다,True,1,2025-04-30T21:15:20+0900,858274610926321907,14,2,0
whit****,,,False,1,2025-04-30T22:55:03+0900,858281035727634450,0,0,0
jkso****,1KPPn,이낙연총리님 화이팅입니다,True,1,2025-04-30T19:35:45+0900,858268195201482996,17,8,0
viii****,2cX48,이런 훌륭한 정치인을 두고 진짜 뭔 뻘짓들을 하는지 원,True,1,2025-04-30T19:55:55+0900,858269494798188835,11,3,0
sera****,8QBYx,어느것하나 두루뭉실 없이 확실한 이낙연,True,1,2025-05-01T00:06:06+0900,858285612602490907,8,0,0
perf****,Ai6y,"국힘은 간절함이 없음. 
국민들은 국힘보면 내란 밖에 생각 안나는데 지금 당명 따질때인가? 민주당이 대선 이기면 국힘 날아가는거 시간문제인데 진짜 정신을 못차림. 한심하다. 
진짜 이번 대선은 이낙연 후보님과 연대해서 개헌,사회통합연대 할 생각이나 해라. 
국민들은 진보,보수 이따위 관심 없고 혐오함",True,1,2025-04-30T22:28:56+0900,858279352318558703,8,0,0
reka****,,,False,1,2025-04-30T21:04:19+0900,858273900780322933,0,0,0
bbac****,223Tx,자격있는 대통령을 원한다. 이낙연!,True,1,2025-04-30T20:19:12+0900,858270994932957258,8,1,0
kink****,1mif7,ㅋㅋㅋㅋ 너 뭐 돼? ㅋㅋㅋㅋㅋㅋ 한덕수는 국힘이냐 민주당이냐 아 '국민' 후보임?ㅋㅋㅋㅋㅋㅋ,True,1,2025-04-30T20:49:57+0900,858272975349088586,9,3,1
mell****,1oYs5,"김문수 뒤에 한덕수, 한덕수 뒤에 이낙연인가 보네요? 그냥 친윤들은 한동훈만 아니면 친문 좌파들에게 당 상납도 하겠다는 거네요. 보수분들 이런 모욕이나 당하고,,,투표 잘 합시다 한동훈으로. 보수가 재건될 가능성 한동훈 외엔 답이 없네요",True,1,2025-04-30T20:52:05+0900,858273113358467099,9,4,0
seou****,5s4C0,새미래는 윤•이 동반청산을 말했음. 국민의힘은 계엄 반성이 먼저다.,True,1,2025-04-30T19:35:17+0900,858268164885053532,8,3,0
dung****,1oPAB,넘나맞말,True,1,2025-04-30T23:03:50+0900,858281600650051931,6,1,0
pand****,3RLw3,역시 일의 순서를 아시는 분👍🏻👍🏻👍🏻,True,1,2025-04-30T20:57:04+0900,858273434054950939,5,1,0
kwmi****,5JuZq,역쉬👍 나라와 국민만을 생각하는 이낙연 후보!!! 한덕수 대통령권한대행은 잘마무리 하시고 개헌연대 빅텐트에 참여하시길 바랍니다🙏 #개헌연대 #중도혁명,True,1,2025-04-30T20:26:43+0900,858271478955639040,5,1,0
bj14****,1JRgE,맞는말 하네,True,1,2025-05-01T00:54:22+0900,858288722444025940,4,0,0
00gr****,5QB3C,니가 창당해..찢 한테 갈려 존재감도 없는게 감히 어디서 나대..저런거 받으면 국짐 탈퇴 하고 무소속 뽑는다..다 같이 죽어보자 어디,True,1,2025-04-30T20:24:51+0900,858271358528782622,8,5,0
cmck****,2dcvdr,"이낙연 멋지다 . 여당이봐도,당연 어려운시국에  저런분이계셔야지.  야인게아깝네.",True,1,2025-04-30T22:26:33+0900,858279199008358717,4,1,0
ha24****,KNfG,아무하고나 손잡을 순 없지.  이낙연 후보님 응원합니다!!,True,1,2025-04-30T20:38:44+0900,858272252821504223,4,1,0
0613****,aHK9Y,한덕수 이 좌파놈아 결국 니 뒤엔 문재인잔당이였냐?,True,1,2025-04-30T20:57:01+0900,858273430800171017,3,0,0
qoqn****,372QB,한덕수 이 빙다리 인간때문에 국힘 게시판 폭발중이다 국힘 쌍권인지 잡권인지 느그들이 아주 당을 통째로 팔아먹을려고 난리네 당원들 자존심을 이렇게 건드려놓다니,True,1,2025-04-30T20:54:57+0900,858273297572299124,3,0,0
wert****,6V4ga,김문수 찍으면 이낙연이 후보 되는건가요?ㅋㅋ,True,1,2025-04-30T20:53:18+0900,858273191573848186,3,0,0
butt****,,,False,1,2025-04-30T20:49:07+0900,858272921863323695,0,0,0
8400****,C36z,풍부한 국정운영 경험과 외교정상들과의 만남. 인수위 없어도 바로 대통령직 수행할 수 있는 유경험자.,True,1,2025-04-30T20:09:27+0900,858270366575886505,4,2,0
mikh****,2CrJV,"좌우를 떠나, 보수 진보를 막론하고, 대한민국을 사랑하는 분들이라면 '찢'만큼은 막아야 되지 않겠습니까! 

계엄과 탄핵에 대한 입장정리 요구는 중도 상식적인 국민들의 요구입니다. 꼭 필요한,당연한 출발점입니다.

모두 세를 모아 타락한 더불당과 그 수괴 찢의 집권을 막아냅시다.",True,1,2025-04-30T19:25:50+0900,858267556224434458,4,2,0
ambr****,4GlDP,국힘 돌았니? 여조 암만 조작해도 윤석열 지지도가 50%야 미국에서 조산한 거로는 68% 까지 나왔어.,True,1,2025-04-30T21:55:09+0900,858277176582078580,3,1,1
embr****,2gMUJ,이낙연만이 답이다!!!,True,1,2025-04-30T21:49:51+0900,858276835098624483,3,1,0
suda****,ZMku,이낙연이  한동훈에게 대선승리할수 있는 방법을 알려주고 있는데 뭐하냐,True,1,2025-05-01T17:39:10+0900,858353455905898580,2,0,0
cybe****,1anqY,국민의힘 정신차려라. 이낙연 조언 잘 새겨들어야.,True,1,2025-05-01T13:02:24+0900,858335624862630032,2,0,0
cybe****,1anqY,국민의힘이 대선에서 이기려면 계엄 탄핵에 대한 분명한 입장발표는 당연한 수순 아닌가? 상식적인 말 같은데?,True,1,2025-05-01T12:59:46+0900,858335456067060000,2,0,0
toy1****,125v2,사사오입만 아니었어도 진즉에 대통령이 되었을 분임,True,1,2025-04-30T22:14:30+0900,858278423078895929,2,0,0
eds6****,DRVV,와.. 김덕수 국힘 좌파에 팔아넘기려 작정했냐?,True,1,2025-04-30T21:18:37+0900,858274822587679139,2,0,0
mayb****,Klqk,이낙연 대통령 가즈아,True,1,2025-04-30T20:11:37+0900,858270505910665430,2,0,0
ling****,1hgz3,낙연아 텐트는 너 혼자 쳐라 국힘은 관심없다 반명 그거 네들이나 쳐해 국힘은 한동훈으로 이겨볼테니,True,1,2025-04-30T20:51:22+0900,858273067539890323,4,3,0
miok****,4nW5J,윤석렬 안고 죽든지 상식적인 개헌연대에 올라타든지,True,1,2025-04-30T22:59:16+0900,858281307065548916,2,1,0
hunb****,6jKJc,쫌 ㄲㅈ라,True,1,2025-04-30T19:16:14+0900,858266937614925901,2,1,0
gaga****,26osp,준세기에게도 팽당한노인네여 어디서 갑질인겨? 폐족주제에,True,1,2025-05-05T20:36:06+0900,858735940024139806,1,0,0
ygks****,dmSt,해쳐먹을만큼 쳐먹고 늙어서 품위나 지키지 뭐하는 짓이냐 악마가 따로없네 니가 그렇게 하는게 바로 내란동조야 어디서 내란을 들먹여,True,1,2025-05-02T15:20:36+0900,858437300378403072,1,0,0
choi****,2v9HE,이낙연 국민의힘 왔으면 좋겟다. ㅎㅎ,True,1,2025-05-01T16:24:05+0900,858348619084857395,1,0,0
