user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
yhoh****,,,False,1,2024-11-12T07:54:30+0900,842544668964028525,0,0,6
tino****,2mGg1,'임기 단축' 보다 석열이의  '수명 단축'이 절실하다.,True,1,2024-11-12T07:44:07+0900,842544000006094868,25,6,0
vhvh****,1Mj5W,탄핵시켜라 제발 경제를모르니 걍 다 개박살나잖아,True,1,2024-11-12T09:35:04+0900,842551148308070432,11,1,0
euni****,23f5u,뻔한거아니야? 빨리 찢 대통령시켜서 재판관 다 바꾸고 지금 기소 구속 징역예정인 좌파들 다 무죄만들라는거잖아.,True,1,2024-11-12T08:55:04+0900,842548570891485203,12,5,0
silk****,dMwWR,"이재명, 조국, 민주당 좌파들.... 왜 저런 뻘짓을? ..... 기사 내용인즉,   탄핵은 현실적으로 어렵고, 임기단축은 개헌이라 역시 산 넘어 산이란다.... 결국 이재명과 조국 재판만 남았는데, 임기단축 개헌 외치면 니들이 저지른 짓들이 사라지더냐?",True,1,2024-11-12T07:47:33+0900,842544220995584120,39,34,2
yong****,ZmyK,이나라는 안돼...4년 집권한 당이...선관위 매수해 부정행위 할우려가 매우크다...,True,1,2024-11-12T07:51:36+0900,842544482334277759,4,1,0
jang****,,,False,1,2024-11-12T08:37:03+0900,842547409975246862,0,0,0
keri****,3NiTf,경제를 살려라 2030세대 일자리에 역점을 줘라,True,1,2024-11-12T07:48:03+0900,842544254029922313,3,1,0
mr_h****,2mlmI,"윤석열은 스스로 사퇴하고, 김건희는 수사하고, 이재명은 법의 심판을 받으면 되는걸...
윤석열, 이재명 없어도 대한민국은 잘 돌아갈꺼다!! 설마 서로 봐주기...이런걸로 거래하는거 아니지??
국민들은 다 보고있다!!",True,1,2024-11-12T08:37:54+0900,842547465222619376,2,0,0
taey****,co8X5,"화난다. 이것도 기사냐, 더러운 꼼수에 불가 할 뿐이다. 국민들 앞에 장난 치지 말라.",True,1,2024-11-12T08:02:12+0900,842545165586399281,2,0,0
godr****,,,False,1,2024-11-12T08:00:25+0900,842545049806831706,0,0,0
skhe****,7WxxZ,17점이면 이미 끝난거다.. 여기서 더 버티는건 역적보다 더 못한짓이지~~ 물론 끌려내려오기전에는 온갖 패악부리며 버틸것들이라는거 국민이 다 알지만~~,True,1,2024-11-12T08:23:47+0900,842546555780071651,3,2,0
inmy****,,,False,1,2024-11-12T09:26:27+0900,842550592898334874,0,0,0
sisg****,,,False,1,2024-11-12T09:17:03+0900,842549987492495376,0,0,0
hong****,2nvT4,야당 개들아!  이게 답이여!  개헌!  이죄명이 버리고 다른 대체 인물 빠르게 세우고!  현재 윤서결이 지지율이 형편 없고 그러니 대권 가면 야당이 정권 잡을 가능성이 최고다!!!   빠르게 가라!!!,True,1,2024-11-12T08:39:52+0900,842547591521501445,1,0,0
don6****,,,False,1,2024-11-12T07:39:44+0900,842543718048202930,0,0,1
army****,,,False,1,2024-11-12T08:43:04+0900,842547798166470683,0,0,0
je12****,5quRs,문씨 지령 받는것들 이재명 까기만 하는 것들,True,1,2024-11-12T22:40:26+0900,842601745270964371,1,1,0
shaz****,zdxd,"저 위선자쓰레기 집단 만에 하나라도 민주당에서 대통령 되면 8년, 20년 개헌할 위선자 쓰레기집단!",True,1,2024-11-12T12:36:29+0900,842562835618726074,1,1,0
thek****,5Wo2w,이재명은 갑니다 감옥,True,1,2024-11-12T09:48:01+0900,842551982437695497,1,1,0
i100****,1VZo4,"또믽당 사라져야.
보수보다 지독히 더 보수적인 정당은 또믽당?.",True,1,2024-11-30T03:51:10+0900,844198875668414478,0,0,0
kuni****,58nI5,"대한민국이 민주당 꺼냐? 조국당 꺼냐? 대한민국 발전 젊은이 취업, 인구감소, 소 상공인 폐업등에 정치력 좀 발휘 하라? 진정 대한민국 국민대표라 할 수 있는가?~",True,1,2024-11-18T19:59:36+0900,843148011239375057,0,0,0
jerd****,,,False,1,2024-11-12T14:14:51+0900,842569172842971487,0,0,0
kukb****,,,False,1,2024-11-12T09:20:18+0900,842550197090254980,0,0,0
jang****,,,False,1,2024-11-12T08:43:31+0900,842547827358826660,0,0,0
rala****,1IHGU,"개헌은 해야하지 않나… 노무현 때도 못하고, 이명박 때는 안하고, 박근혜 때도 못하고, 문재인도 안 했고, 차라리 윤석열이 한다면 오히려 위인으로 남을 듯 하다.",True,1,2024-11-12T08:34:23+0900,842547239015415923,0,0,0
jung****,,,False,1,2024-11-12T08:18:42+0900,842546228674691261,0,0,0
limy****,47UfS,"좌좀들은 처음에는 다해준다 그러다가 
나중에는 총칼들고 겁박하는 그런놈들",True,1,2024-11-12T08:13:57+0900,842545921802633440,0,0,0
fren****,1Al2q,탄핵이든 임기단축이든 정치마피아 이재명만 구속시키고 하자. 조국 이낙연 한동훈 장동혁 안철수 좋은 사람들 많잖아,True,1,2024-11-12T11:30:29+0900,842558583433330917,1,2,0
myli****,4e9sj,일단 이죄명이 감방부터 보내고 다른거 하자,True,1,2024-11-12T09:54:34+0900,842552403914916094,1,2,0
frid****,1kft1,김건희와 이혼하면 자신감 잃고 내려올까. 윤은 버틸거야.. 2년 참고 환부 도려낼 밖에,True,1,2024-11-12T14:58:10+0900,842571964101951553,0,1,0
ysko****,,,False,1,2024-11-12T10:21:02+0900,842554109386031122,0,0,0
isun****,,,False,1,2024-11-12T08:10:32+0900,842545702255984780,0,0,0
gbmd****,,,False,1,2024-11-12T07:47:59+0900,842544249684623569,0,0,0
zizz****,1mxQW,"제발 개헌은 좀 하자...현 대통령 임기 단축 안되더라도, 이제는 바꿀때 되지 않았냐?이건 조선왕조도 아니고 대통령 하나 잘못 뽑으면 나라가 이지경까지 간다는게,,,제발 여야 합의해서 개헌은 좀 해라..",True,1,2024-11-12T08:58:19+0900,842548780908675180,0,2,0
hink****,3cE7V,용산의 대통렁실과 여당대표 한동훈 그리고 주권자인 국민 모두가 이재명.조국의 구속이란 단어를 표현 하지 않을 뿐이지~~너희들 법정구속은 따놓은 단상 아닌가!!!,True,1,2024-11-12T07:50:17+0900,842544397877772375,0,2,0
jaey****,5STNJ,"국가와 국민에게 큰 영향을 미치는 개헌을, 여소야대라는 이유로, 헤프닝에 불과한 대통령 배우자의 의혹 몇 가지로, 자신들 당대표를 방탄하기 위한 이유로, 하겠다는게 말이 되나? 윤석열이 정치 초보고, 거대 야당의 프레임과 선동에 속아서 그렇지. 윤석열 임기 절반 동안 업적을 생각해보면, 문재인 5년간 보다 훨씬 낫다. 실업률, 물가상승률, 수출 등등등 모든 지표에서...",True,1,2024-11-12T11:32:51+0900,842558736273768790,2,5,2
rlaw****,63b2c,솔직히 문재앙의 재앙정치만 아니였으면 재매이햄이 대통해서 대한민굳 잘돌아가고있겠지 문재앙의 재앙정치때매 표이탈해서 굥재앙으로 넘어간사람 많자나 훠훠훠 여윽시 문재앙의 추천인 굥재앙 답네 검총괜히만들어준게아니여 훠훠,True,1,2024-11-12T07:46:38+0900,842544162493431951,0,3,0
letm****,aqfQg,세수도 망해! 의료도 망해! 치솟는 물가에 저출산대책도 포기해야할판..최악의 윤술꾼  근본이 틀려 먹은 놈..사람같지도 않은놈..,True,1,2024-11-12T07:36:42+0900,842543522358755463,7,12,2
