user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
lese****,1n9yf,헌법재판관 말대로 여당이 합의 안해줘도 민주당 뜻대로 하면된다,True,1,2024-11-24T09:58:29+0900,843665911800922190,5,1,0
cjrm****,BBkh,야당은 김건희 의혹과 채해병 상설특검이라도 통과하기 바랍니다,True,1,2024-11-24T10:12:20+0900,843666804197818439,3,2,0
sung****,,,False,1,2024-11-24T08:05:05+0900,843658606799749133,0,0,0
jkp4****,ek9JW,~ 상설특검  전국민들이  대찬성 한다~,True,1,2024-11-24T10:57:50+0900,843669735781433509,1,0,0
hyun****,4s2vi,이재용회장님을 검찰이 징역5년을 구형했다 과거는 관례인데 너무심한것 같다 외국에는 CEO는 구속하지않는다는데 우리나라만 유독 이재용을 흔드는지 모르겠다 이회장님은 재판 받는라 기업에 충실 할 수있겠는가 과거 문정부때 구속되어 대만에 뺏긴 반도체를 회복하기 아렵게 됐다 사법부에서 선처를 바랬는데 실망했습니다 항소심에서 선처를 부탁합니다,True,1,2024-11-25T17:38:47+0900,843788338249859376,0,0,0
hase****,cFmuZ,민주당 최고다 검찰 법원이 지켜주니 무서울 것 없는 범죄자들 특검으로 제대로 수사해서 처벌 받게 해라,True,1,2024-11-25T11:31:11+0900,843764655783411791,0,0,0
eotn****,223zF,"이재명갤러리에 좌표떠서 지원왓습니다. 

https://gall.dcinside.com/mgallery/board/view/?id=leejaemyung&amp;no=1419689&amp;page=1

여기 기사 화력 보태달라네요!!
화력!!!!응디잇!!!!",True,1,2024-11-25T10:38:41+0900,843761273597329682,0,0,0
mp31****,1ucnL,특검을 거부하는자가 범인이라고 얘기했던 윤석열... 그 말 부메랑으로 되돌려맞을 준비나 해라... 뭐가 켕기는게 많아서 그렇게 거부권을 행사하는건가,True,1,2024-11-25T10:19:41+0900,843760049179328808,0,0,0
jiri****,8zIKE,국민들은 없고 오로지 사리사욕만 챙기는 패륜아 조무래기들 딱갈이들,True,1,2024-11-24T10:06:13+0900,843666410822434847,0,0,0
db13****,a1DT5,"무식한.윤석열.정부.보다.못한정부.여태.하나도.없다.
OOO.마누라.치마폭에.쌓여.해어.나오질못 하는지능장애같은.
윤석열.탄핵이.답이다.",True,1,2024-11-24T08:32:58+0900,843660403186598009,0,0,0
y221****,bOlfB,알콜중독아  지지율 올리려면 더  더 더 쌘  알콜을 국비로 날마다 더 마니마니 밤새도록 빨고 또  빨자. 취하면  더빨고 버럭버럭 화내면서 격노격노하면서  어퍼컷 날리면서 빨고 빨고 또 빨자,True,1,2024-11-24T07:20:44+0900,843655749052661832,0,0,0
rara****,2xTt0,"계속 발릐해라. 앞으로 2년간 계속 발의하면 내년 후반쯤엔 통과 된다.. 대통령 임기가 끝나가니 레임덕에 지지율 바닥에 누가 지켜주겠냐~~ 그럼 딱 수사하고 퇴임때 쯤에 법원 판결 나오고 그 시기 퇴임을 하게 되면 바로 윤석열,김건희 부부는 나란이 깜방으로 가는 수순이지.. 딱 맞는 그림이다.",True,1,2024-11-24T08:51:25+0900,843661591634247733,0,1,0
