user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
p030****,Mkwj,고딩때 내가 감사원은 독립기관이라  대통령직속으로  중립덕으로 행동한다했는데 지금의 감사원은 그런기관인가??아니면  비리비호기관인거가??,True,1,2024-11-29T18:43:31+0900,844163593334161595,265,66,9
kim2****,edHY,대통령 지지율이 국민의 답이다,True,1,2024-11-29T18:55:10+0900,844164344466899001,245,66,6
blue****,2mxxt,요즘 같아선 정말 박정희 같은 군인이  나서서 저 썩어빠진 정치인들 다 갈아버렸음 좋겠다,True,1,2024-11-29T18:50:36+0900,844164049724768415,335,168,28
wink****,,,False,1,2024-11-29T18:41:20+0900,844163452657205345,0,0,2
luis****,1qyRw,국민들아 눈이 있으면 똑똑히 보세요 이게 나라야? 대통령도 대통령 답고 여당도 여당 다워야지 박근혜의 국정농단은 농단도 아냐. 온갖 막장들은 윤석열정권과 여당에 다 있어,True,1,2024-11-29T18:47:58+0900,844163880711094542,116,31,6
hsko****,,,False,1,2024-11-29T18:43:49+0900,844163612644737288,0,0,7
word****,4cIIu,헌정 무시하면 독재.,True,1,2024-11-29T19:05:27+0900,844165006932050047,55,7,0
jwco****,2ZkM0,미래가 암울하네 !!! 정치를 하는건지 범죄자를 위한건지 ....,True,1,2024-11-29T18:37:41+0900,844163217440637131,41,24,2
hi70****,2HNJM,검사도 감사원장도 죄지으면 탄핵해야지,True,1,2024-11-29T19:02:25+0900,844164811041275996,21,4,1
righ****,3ulou,위헌정당해산청구는 정부권한인데 해도 되냐ㅋ 권한이 중요한 게 아니고 그 피해는 국민이 져야되는데 니들이 어떤 책임도 안 진다는 거다,True,1,2024-11-29T18:55:44+0900,844164380386918604,17,7,2
phen****,,,False,1,2024-11-29T23:05:04+0900,844180444118253600,0,0,0
yn19****,3sHWE,그렇게 치면 거부권도 대통령 권한인데 왜 난리침? ㅋㅋㅋ,True,1,2024-11-29T18:45:25+0900,844163715975610495,23,17,7
bh35****,a0Que,베댓에 윤석열한테 맞으면서 박정희 찾는 2찍봨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2024-11-29T23:41:38+0900,844182799303835811,7,1,0
