user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
khan****,2N4nK,난 이 인간은 좀 조용했으면 좋겠다. 열심히 벌고 아끼고 아껴서 자식 셋이나 가르치는 나에게 세상 절망을 맛보게 했다.,True,1,2024-12-03T23:50:27+0900,844554452504412453,169,69,7
circ****,8BMHH,난 비상계엄 지지하지 않지만 조국 당신이 그런 말 할 자격은 없다고 본다. 당신은 정치를 하기 전에 재판 받고 응당한 처분을 받는 게 먼저야.,True,1,2024-12-04T00:20:58+0900,844556418441806360,55,5,1
xeux****,310aN,범죄자는 빠져라~~ 계엄군아.저것부터 치워라 니들이 그럴 자격이 있냐 검사 판사 겁박하고 좋은 민생예산 무조건 반대하고 패싱하고 윤정부 식물 만들고 조롱하고 영부인 악마화하고 윤정권 내내 그저 특검 특검 니들이 민생을 위해 한게 뭔데 니들이 무슨 자격으로 그러고 있어 난 윤통 잘했다고 본다,True,1,2024-12-04T00:00:56+0900,844555128106123870,72,31,5
lbg7****,,,False,1,2024-12-04T00:00:51+0900,844555123257508348,0,0,1
ago0****,4oMgQ,조국이 또 미쳐 날뛰니 감옥에 이번기회에 꼭 쳐넣어라.어디서 감히 입을 함부로 설치는지 범죄자는 나서지 말아라.,True,1,2024-12-04T00:02:51+0900,844555251670319681,48,22,0
jjoo****,d7eJ0,"윤두창은 진짜 문재앙이 심어놓은 ""보수 멸망 스파이""가 맞나보다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",True,1,2024-12-03T23:49:21+0900,844554381553565912,41,20,1
vavi****,2rqPN,그입 다물라. 진절머리 난다.,True,1,2024-12-03T23:48:20+0900,844554317045170400,23,8,0
kdoi****,20rZ7,조국 이죄명 결국 너희둘이 이나라를 말아먹는구나,True,1,2024-12-04T00:41:59+0900,844557773436879312,14,0,0
iceb****,1TbIN,국회가 범죄자 소굴이라자나 ....ㅋㅋㅋ 조국(곧 전과) 이재명(전과),True,1,2024-12-03T23:57:13+0900,844554889097904259,14,1,0
citr****,,,False,1,2024-12-04T00:16:11+0900,844556110781218907,0,0,0
hgna****,1Ar1P,조국이 부터 탄핵하자,True,1,2024-12-04T00:15:10+0900,844556045232636006,12,0,0
chab****,,,False,1,2024-12-03T23:55:48+0900,844554797930512912,0,0,0
lizb****,CySy,조국씨 신났어요? 그대는 제발 나대지 말고 가만 있어라,True,1,2024-12-04T00:57:56+0900,844558800655483315,8,0,0
dldu****,naYM,넌 꺼  져!,True,1,2024-12-04T00:17:22+0900,844556187302101218,6,0,0
west****,,,False,1,2024-12-04T00:08:21+0900,844555606592323795,0,0,0
scbz****,1FcA6,조구기가 국회에 있는것 자체가 불법 아닌가? ㅎㅎㅎ,True,1,2024-12-04T01:18:43+0900,844560139930304845,5,0,1
heeo****,NzMZ,이마당에 종북좌파 조국이 저렇게 떠드니 웃긴다,True,1,2024-12-04T00:15:51+0900,844556088886952425,5,0,0
cutt****,2bzcr,니같은 인간때문에 국민들이 고생이다.,True,1,2024-12-04T00:14:51+0900,844556025183863246,5,0,0
sypg****,2St9Q,범죄자들 다넣어라 조국 이재명 것들,True,1,2024-12-04T01:21:48+0900,844560338606096754,4,0,0
nost****,2K8Sz,이때다 하고 조국이 나대는 거냐? 가장 자중해야 할 사람이...,True,1,2024-12-04T00:18:37+0900,844556267765629268,4,0,0
my97****,34yWj,민주당 야기서 더 나가면 선넘는거다 조국혁신당도 마찬가지고,True,1,2024-12-04T01:42:02+0900,844561641289809926,3,0,0
rpqk****,5zSUk,조국 이재명은 다ㄹㄱ쳐라 ㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2024-12-04T01:34:50+0900,844561178020544842,3,0,0
goo8****,6EHaJ,"조국이 이놈이 문제다
이런 놈을 먼저 보내 버려라",True,1,2024-12-04T00:17:25+0900,844556190674321664,3,0,0
musc****,abFlX,애는 지가 범죄자아닌가,True,1,2024-12-04T00:12:45+0900,844555889808507354,3,0,0
yjs1****,1FheH,조국이 왜 나오냐??? 범죄자 니가 나오니깐  웃기게 되버리잖아.,True,1,2024-12-04T00:02:00+0900,844555197429579785,3,0,0
visi****,15MOT,조국이는 제발 조용히 해줬으면~~이러니 윤석열대통령이 게엄산포하지~~~조국이 같은 것들 때문에 ㅡㅡ,True,1,2024-12-04T00:00:51+0900,844555122452201993,3,0,0
baek****,,,False,1,2024-12-03T23:50:17+0900,844554442555523266,0,0,0
croi****,1TRJG,탄해에 맞들리신분,True,1,2024-12-03T23:49:16+0900,844554376637841594,8,6,0
k375****,5aAIo,"제발 조국은 딸의 의사면허증을 반납시키고 
국민들의 교육에 대한 개념을 흔들어놓은 
가짜 증명서 발급건에 대해 시인하고 
조국 자식들의 가짜서류들을 모두 시인 해줘야지
보통 대한민국의 학부모가 바르게 살 수 있겠습니다.
만약 조국이 자식들의 가짜서류에 따른 자격이 그대로 
유지된다면 조국은 영원히 범법자이며 어떤말도 믿지 못하고
대한민국의  부모들도 똑같이 가짜서류로 아이들을 교육시키고 싶다는 생각이 늘 들것입니다.
제발 조국 딸의 의사면허증과 대학졸업은 취소해주셔서 국민들의 교육관을 바로 정립될수있도록 도와주십시요.",True,1,2024-12-04T01:48:35+0900,844562063773663437,4,2,0
bow3****,2yjSn,조국 이재명 너네 부터 죄 값부터 받고 감옥 먼저 들어가 있어.. 나라 망친 2인 후,True,1,2024-12-04T01:37:07+0900,844561324988956723,3,1,0
jjan****,csu06,다른사람은 비상계엄을 이야기해도 조국 너는 이야기하면 안되지... 어떻게 범죄자가 국민을 지도한단말인가,True,1,2024-12-04T00:25:39+0900,844556720196813193,3,1,0
yund****,,,False,1,2024-12-04T12:42:32+0900,844604193527300334,0,0,0
koyn****,,,False,1,2024-12-04T06:47:41+0900,844581332993441924,0,0,0
kimi****,1PSHZ,탄핵을하던말던. 조국.찢죄명은 반드시 법의심판을 받아야지.문재앙까지 포함되면 니들하고 싶은거 다해라ㅋㅋ,True,1,2024-12-04T04:17:24+0900,844571651331850279,2,0,0
cowa****,,,False,1,2024-12-04T01:23:08+0900,844560423985348670,0,0,0
kang****,3Q6NX,이씨랑 조씨는 좀 안봤으면 좋겠는데 무슨일만 생기면 나대는건 참  종합선물세트네,True,1,2024-12-04T01:21:16+0900,844560304095363218,2,0,0
evet****,2AQl5,당신은 좀 안설쳤으면 좋겠다,True,1,2024-12-04T01:18:49+0900,844560145584226650,2,0,1
samu****,K6Zu,범죄자가 범죄얘기하는게 웃기지않나? 자기소개 열심히 하고싶어서 안달난 인간처럼 보임,True,1,2024-12-04T01:18:28+0900,844560123740291266,2,0,0
baek****,cJ5ud,조국같은것들땜에 ㄴㅏ라가 이리도 어지러운겨 ㅠ 참 대한민국 어디로갈려이러나,True,1,2024-12-04T01:17:20+0900,844560050205753505,2,0,0
ylws****,,,False,1,2024-12-04T01:04:34+0900,844559227904065819,0,0,0
ahdt****,,,False,1,2024-12-04T00:39:59+0900,844557644554306001,0,0,0
dbal****,2omCG,조국이  이나라  좀벌레다  아나라를 산업스파이  종북세력의  압자비,True,1,2024-12-04T00:35:28+0900,844557353402499274,2,0,0
rich****,1tgrx,"니. 니마누라 니자식 이 범죄자다  웃겨  제발 부끄러운줄알아라   
넌 입좀 벌리지마라 썩은내난다.
누가누굴 범죄자래~",True,1,2024-12-04T00:15:41+0900,844556078132756866,2,0,0
kih9****,1V1vc,조국 진짜 너야 말로 어울리지않는 국회의원을 하고있네. 뒷감당 어쩌려고,True,1,2024-12-04T00:00:09+0900,844555078244237396,2,0,0
